hero,para,rate,matches
naga-siren,9.12,39.44,15875
broodmother,8.76,32.93,15022
lycan,8.38,39.39,16906
phantom-lancer,6.69,37.99,37216
brewmaster,6.47,39.88,12026
leshrac,5.79,37.81,12565
gyrocopter,5.44,36.61,22716
natures-prophet,5.03,33.34,31069
drow-ranger,4.39,42.92,93194
chaos-knight,4.38,41.89,31992
visage,3.76,35.92,7609
troll-warlord,3.66,40.96,39643
night-stalker,3.37,41.18,29549
oracle,3.29,34.11,13511
bristleback,3.23,39.74,47276
centaur-warrunner,3.22,46.49,31662
tiny,2.91,36.19,41106
winter-wyvern,2.85,37.10,15475
batrider,2.82,36.09,14240
doom,2.68,34.59,14993
axe,2.63,43.40,81186
terrorblade,2.57,39.98,23307
phantom-assassin,2.55,43.17,171500
ursa,2.53,45.31,58478
legion-commander,2.25,39.84,99225
viper,2.06,39.63,41332
dragon-knight,1.85,40.00,31978
shadow-shaman,1.84,43.27,32589
vengeful-spirit,1.78,42.88,32701
lifestealer,1.76,39.42,50073
medusa,1.74,42.26,36336
bloodseeker,1.69,40.99,71074
wraith-king,1.69,46.39,65239
earthshaker,1.65,40.47,45915
arc-warden,1.53,34.25,12998
riki,1.51,44.74,89431
abaddon,1.37,46.28,28437
enigma,1.27,42.28,18144
bane,1.22,36.31,21450
treant-protector,1.19,43.72,17232
weaver,1.18,39.48,45129
clockwerk,1.09,40.65,22496
jakiro,1.07,43.45,19760
tusk,1.01,32.77,20669
disruptor,1.00,41.21,21410
dark-seer,0.80,39.62,15415
luna,0.78,44.86,49420
slark,0.74,40.99,106823
sand-king,0.67,39.62,44199
spirit-breaker,0.47,42.53,57994
faceless-void,0.40,37.64,63937
undying,0.39,40.60,20178
razor,0.38,35.83,33351
death-prophet,0.33,36.88,23054
warlock,0.12,45.31,20331
huskar,0.11,36.28,56152
beastmaster,0.01,36.45,9737
alchemist,-0.05,38.68,52849
sven,-0.22,44.12,83476
meepo,-0.24,37.45,20472
venomancer,-0.26,41.20,26498
anti-mage,-0.28,37.03,84751
windranger,-0.42,35.13,51054
ogre-magi,-0.51,43.72,35468
crystal-maiden,-0.52,44.67,45364
spectre,-0.55,44.51,40401
witch-doctor,-0.64,39.54,31609
clinkz,-0.65,35.48,42146
magnus,-0.68,36.45,26098
slardar,-0.71,40.69,48230
lich,-0.71,44.05,26089
templar-assassin,-0.71,35.10,27341
ember-spirit,-0.73,31.77,28124
bounty-hunter,-0.78,35.85,59977
zeus,-1.00,43.81,48154
lina,-1.13,34.13,36439
nyx-assassin,-1.44,39.34,38169
lion,-1.48,37.23,47843
techies,-1.53,35.42,18524
shadow-fiend,-1.72,36.96,48252
queen-of-pain,-1.78,31.98,29956
juggernaut,-1.84,39.13,102772
sniper,-1.89,40.55,107912
pugna,-1.89,35.68,18617
elder-titan,-1.93,43.36,15115
dazzle,-2.06,40.68,26081
omniknight,-2.10,48.98,44450
skywrath-mage,-2.15,35.91,23174
tidehunter,-2.17,39.47,27818
mirana,-2.20,40.82,71306
puck,-2.33,33.45,21367
pudge,-2.55,41.50,139440
storm-spirit,-2.62,38.06,50738
tinker,-2.70,36.50,51234
underlord,-2.71,43.00,22474
ancient-apparition,-2.94,39.16,21374
lone-druid,-3.17,29.59,9457
timbersaw,-3.46,37.37,49242
kunkka,-3.82,36.52,53468
necrophos,-3.89,42.86,46358
keeper-of-the-light,-3.96,38.44,18420
phoenix,-4.20,39.48,14337
morphling,-4.23,36.57,47134
silencer,-4.71,41.37,34080
rubick,-4.97,34.38,30266
shadow-demon,-5.17,34.11,12835
outworld-devourer,-6.19,37.45,40968
invoker,-6.53,34.29,90050
earth-spirit,-10.23,29.06,8167
io,-11.57,24.88,7386
chen,-18.19,26.46,8090
