hero,para,rate,matches
omniknight,8.73,45.36,116055
chaos-knight,5.78,54.66,48500
lifestealer,5.73,56.17,104808
spirit-breaker,4.51,51.63,104127
outworld-devourer,4.33,54.14,79417
slardar,4.32,52.99,88301
dragon-knight,4.04,54.69,49444
centaur-warrunner,3.79,48.42,56924
dazzle,3.62,52.03,59898
sven,3.43,49.11,154142
crystal-maiden,3.43,48.39,106237
huskar,3.38,57.66,86016
underlord,2.60,48.74,42131
io,2.53,66.31,13744
techies,2.43,57.42,31176
phantom-lancer,2.42,57.81,52982
night-stalker,2.39,53.23,46196
troll-warlord,2.36,53.55,60746
razor,2.32,57.66,54528
dark-seer,2.22,53.69,30611
ursa,2.04,48.48,101637
axe,2.04,50.45,167649
tusk,2.02,61.09,34739
necrophos,1.92,48.01,97398
sand-king,1.72,53.38,94401
venomancer,1.61,51.27,48223
ogre-magi,1.55,48.50,85647
shadow-fiend,1.53,55.15,86937
templar-assassin,1.51,57.58,46532
pudge,1.50,49.88,295144
meepo,1.46,55.18,40248
phantom-assassin,1.41,50.34,300396
undying,1.30,52.02,36868
magnus,1.28,55.98,60038
treant-protector,1.24,49.12,32236
legion-commander,1.22,53.54,227780
doom,1.22,59.23,29670
tiny,1.16,57.59,70456
shadow-demon,1.07,56.66,28996
slark,0.89,51.55,204154
viper,0.88,53.50,63498
oracle,0.81,59.72,27260
lone-druid,0.80,62.46,16219
bounty-hunter,0.53,56.18,104954
faceless-void,0.50,54.71,109675
ancient-apparition,0.47,51.69,46993
chen,0.45,60.25,8212
batrider,0.24,57.13,26727
keeper-of-the-light,0.21,51.89,42326
luna,0.21,47.28,87325
tidehunter,0.18,51.55,59942
bane,0.18,56.27,43284
bloodseeker,0.14,51.56,129880
timbersaw,0.11,53.21,97372
lion,0.11,54.19,108574
puck,0.10,57.97,41221
windranger,-0.02,56.79,96346
visage,-0.06,57.48,11479
earth-spirit,-0.13,59.88,17912
earthshaker,-0.15,51.93,98849
shadow-shaman,-0.19,49.15,66520
mirana,-0.21,49.90,165418
naga-siren,-0.28,55.71,24936
terrorblade,-0.33,52.71,35464
nyx-assassin,-0.42,51.68,74109
vengeful-spirit,-0.49,49.37,67846
gyrocopter,-0.56,57.08,35103
lycan,-0.62,55.31,25258
morphling,-0.81,53.27,97641
brewmaster,-0.84,54.02,18730
queen-of-pain,-0.94,59.19,51509
wraith-king,-0.98,45.63,117664
lich,-1.00,46.86,53801
lina,-1.04,57.01,65732
anti-mage,-1.16,54.18,156566
kunkka,-1.17,53.31,108044
invoker,-1.23,54.62,191403
beastmaster,-1.28,54.84,18413
phoenix,-1.30,49.90,31642
tinker,-1.34,53.69,100285
bristleback,-1.52,52.56,77168
pugna,-1.54,54.78,34352
storm-spirit,-1.63,51.90,100566
winter-wyvern,-1.67,55.02,30063
abaddon,-1.78,45.22,49493
weaver,-1.86,51.85,74153
elder-titan,-1.93,46.57,29693
skywrath-mage,-1.95,54.21,44637
broodmother,-2.02,61.02,20752
clockwerk,-2.04,50.54,41339
jakiro,-2.04,47.73,40278
enchantress,-2.05,60.71,28825
zeus,-2.12,46.44,86922
leshrac,-2.14,55.10,20120
juggernaut,-2.20,50.81,195452
disruptor,-2.29,49.81,48639
witch-doctor,-2.41,50.77,70340
arc-warden,-2.55,56.98,21726
ember-spirit,-2.59,58.80,48324
alchemist,-3.35,51.38,93106
riki,-3.65,45.89,151223
clinkz,-3.79,54.20,67369
death-prophet,-3.90,53.06,39991
medusa,-3.99,48.21,63205
drow-ranger,-3.99,48.63,152945
natures-prophet,-4.00,58.22,65392
rubick,-4.53,53.31,131063
warlock,-4.73,44.25,43051
silencer,-5.48,45.65,110016
spectre,-5.50,44.36,72035
sniper,-6.56,47.13,181300
