hero,para,rate,matches
storm-spirit,4.00,53.18,89881
slark,3.17,54.48,184781
centaur-warrunner,2.73,58.76,44936
templar-assassin,2.73,48.43,41569
dragon-knight,2.54,52.63,43006
clinkz,2.48,48.71,58941
mirana,2.39,55.17,126096
leshrac,2.32,48.67,15695
doom,2.28,46.34,18609
tiny,2.23,47.98,57727
timbersaw,2.13,51.82,94723
night-stalker,2.13,53.02,36733
clockwerk,2.07,53.40,33634
drow-ranger,2.04,54.33,128850
riki,1.87,57.29,125415
nyx-assassin,1.79,52.93,57756
arc-warden,1.63,46.10,17686
natures-prophet,1.62,43.82,36327
spirit-breaker,1.56,55.34,77151
lifestealer,1.55,51.56,65009
brewmaster,1.44,50.12,15124
enchantress,1.27,42.28,18144
razor,1.25,48.11,45390
pudge,1.23,55.41,216022
lone-druid,1.23,42.29,10811
huskar,1.18,48.67,70107
viper,1.16,51.45,51601
slardar,1.15,53.71,70472
juggernaut,1.13,52.53,180614
troll-warlord,1.06,52.13,49454
tusk,1.01,44.36,26136
broodmother,1.00,41.87,17734
naga-siren,0.96,48.46,22449
phantom-assassin,0.91,54.74,264199
puck,0.89,46.34,35944
alchemist,0.70,51.08,82482
terrorblade,0.66,51.35,30057
tinker,0.59,49.76,91221
weaver,0.57,51.36,64667
anti-mage,0.57,49.35,141391
morphling,0.47,50.42,86595
sniper,0.45,53.70,156635
zeus,0.44,56.66,70700
wraith-king,0.39,57.99,85680
spectre,0.34,57.11,66511
necrophos,0.34,56.94,69956
death-prophet,0.30,48.81,32625
ursa,0.30,56.52,76234
windranger,0.25,47.17,79376
sand-king,0.22,51.53,77541
ogre-magi,0.21,56.22,51826
phantom-lancer,0.13,47.48,47514
queen-of-pain,0.08,44.08,48674
luna,0.07,56.72,78665
lycan,0.05,48.24,18101
bristleback,0.04,50.54,66056
lina,0.03,46.24,49452
meepo,0.02,49.51,35518
undying,0.02,52.56,28318
chaos-knight,-0.03,52.21,39863
vengeful-spirit,-0.11,54.22,43066
batrider,-0.11,46.81,20112
ember-spirit,-0.17,43.34,46866
legion-commander,-0.21,50.89,119650
bloodseeker,-0.22,52.29,86910
shadow-fiend,-0.23,49.46,101689
bane,-0.24,47.59,28454
abaddon,-0.27,57.65,37520
silencer,-0.27,55.43,57091
treant-protector,-0.39,55.15,22319
rubick,-0.43,47.83,50678
medusa,-0.53,53.39,57966
outworld-devourer,-0.61,51.69,72344
pugna,-0.69,47.91,23990
gyrocopter,-0.71,46.12,34922
phoenix,-0.73,52.95,27969
beastmaster,-0.79,47.94,13163
invoker,-0.87,48.16,197981
axe,-0.88,53.96,115468
kunkka,-0.92,49.49,104859
bounty-hunter,-0.99,47.51,73634
shadow-shaman,-1.04,54.08,42313
sven,-1.18,55.72,174652
venomancer,-1.24,52.77,35497
earthshaker,-1.24,51.25,78501
visage,-1.26,45.75,8404
faceless-void,-1.36,48.77,96727
oracle,-1.38,43.95,19120
omniknight,-1.42,61.13,69028
skywrath-mage,-1.48,47.88,31977
crystal-maiden,-1.73,56.08,77977
lion,-1.78,48.87,72085
shadow-demon,-1.86,46.92,19909
tidehunter,-1.90,51.45,50137
underlord,-2.14,55.16,33151
dazzle,-2.33,52.42,39764
warlock,-2.68,55.87,31966
witch-doctor,-2.70,50.47,54207
earth-spirit,-2.95,42.54,12355
jakiro,-2.99,53.50,28455
keeper-of-the-light,-3.28,50.40,27311
disruptor,-3.29,51.17,36694
magnus,-3.37,46.97,74425
techies,-3.51,46.13,21074
dark-seer,-3.81,49.41,30206
ancient-apparition,-4.13,50.28,35146
io,-5.15,36.97,8908
lich,-5.18,53.61,44405
elder-titan,-5.43,53.32,23443
winter-wyvern,-6.31,44.90,20431
chen,-6.96,40.76,4303
