hero,para,rate,matches
weaver,7.25,51.89,211847
omniknight,6.61,39.94,312734
lifestealer,5.09,51.16,267566
slark,4.84,48.90,632831
medusa,3.61,47.43,179323
oracle,3.40,56.75,77229
witch-doctor,3.38,49.18,191912
shadow-demon,3.35,53.37,102258
juggernaut,2.82,48.84,597289
dazzle,2.77,47.04,152967
ember-spirit,2.76,57.58,134776
undying,2.55,48.10,94266
razor,1.99,52.97,144672
abaddon,1.93,42.46,127115
timbersaw,1.86,49.61,302753
clockwerk,1.71,47.95,111159
elder-titan,1.59,43.76,88116
queen-of-pain,1.58,56.28,142429
invoker,1.41,51.58,542420
morphling,1.41,49.95,302538
templar-assassin,1.28,52.98,126202
phoenix,1.26,46.69,93802
ogre-magi,1.18,43.86,230334
batrider,1.17,53.20,71451
rubick,1.12,51.99,223228
crystal-maiden,1.04,42.83,266213
keeper-of-the-light,0.97,47.79,117997
vengeful-spirit,0.93,45.59,198748
warlock,0.90,42.43,110671
underlord,0.85,43.46,124835
silencer,0.54,44.12,232206
bristleback,0.46,49.15,200584
bounty-hunter,0.45,51.69,303621
treant-protector,0.42,44.28,77862
kunkka,0.35,49.67,314012
ancient-apparition,0.33,47.15,125372
wraith-king,0.32,41.83,323938
magnus,0.23,50.96,148462
visage,0.22,53.23,24354
arc-warden,0.19,54.19,54078
chen,0.15,55.73,20387
io,0.08,60.55,35224
ursa,0.02,43.11,274015
lich,0.02,42.93,138333
gyrocopter,-0.01,53.00,88036
shadow-fiend,-0.01,49.87,245593
natures-prophet,-0.01,56.33,163876
necrophos,-0.03,42.69,263555
puck,-0.07,53.48,120007
windranger,-0.11,52.33,268309
outworld-devourer,-0.13,47.38,248430
tusk,-0.14,55.46,89940
sand-king,-0.24,47.91,274813
nyx-assassin,-0.31,47.30,237314
winter-wyvern,-0.44,51.30,79836
mirana,-0.51,45.34,488295
disruptor,-0.59,46.26,141449
enigma,-0.59,45.29,109675
zeus,-0.63,42.77,251329
doom,-0.66,53.79,82944
bane,-0.68,51.39,105616
pugna,-0.70,50.85,90264
beastmaster,-0.72,50.75,48155
lina,-0.74,52.83,182298
slardar,-0.75,46.00,254194
legion-commander,-0.85,48.03,612832
earth-spirit,-0.93,55.10,49459
storm-spirit,-0.95,47.85,322727
brewmaster,-1.12,49.48,41853
jakiro,-1.15,43.79,109072
lion,-1.15,49.12,305036
terrorblade,-1.26,47.82,91579
death-prophet,-1.31,50.12,100382
lycan,-1.32,50.55,59703
techies,-1.36,50.93,89407
lone-druid,-1.36,56.90,42166
venomancer,-1.42,45.36,133147
pudge,-1.55,44.02,850187
dark-seer,-1.59,47.32,76877
bloodseeker,-1.71,46.24,361619
spirit-breaker,-1.75,44.18,295064
shadow-shaman,-1.77,44.02,169890
clinkz,-1.77,50.99,188700
dragon-knight,-1.86,47.22,124184
phantom-assassin,-1.91,44.34,875499
sven,-2.00,42.21,414123
drow-ranger,-2.03,45.27,444814
viper,-2.06,47.58,172630
tinker,-2.09,48.93,295406
huskar,-2.10,50.27,245585
tidehunter,-2.16,45.99,161483
sniper,-2.17,44.99,549531
night-stalker,-2.19,46.49,121909
meepo,-2.20,48.85,106041
phantom-lancer,-2.22,50.88,140607
spectre,-2.24,41.59,213968
naga-siren,-2.25,50.29,70678
leshrac,-2.26,50.71,45770
skywrath-mage,-2.30,49.68,124402
enchantress,-2.42,56.31,70161
axe,-2.48,43.90,474876
centaur-warrunner,-2.60,41.16,153011
earthshaker,-2.61,46.31,245890
tiny,-2.78,51.06,185762
broodmother,-2.82,56.38,51939
alchemist,-3.02,47.25,255420
troll-warlord,-3.15,46.36,166242
luna,-3.48,41.29,253149
riki,-4.19,41.41,469288
chaos-knight,-4.20,45.24,120982
anti-mage,-4.31,48.21,475266
