hero,para,rate,matches
chen,6.18,41.93,18448
io,5.23,36.65,28952
arc-warden,4.94,43.02,45684
shadow-demon,4.79,45.47,89563
outworld-devourer,4.70,49.80,253003
skywrath-mage,4.16,46.01,147951
earth-spirit,3.76,41.00,42371
visage,3.64,43.48,20772
invoker,3.45,45.68,616253
oracle,3.33,41.57,70756
techies,3.22,44.80,73575
tinker,3.18,46.47,291582
elder-titan,3.12,53.58,102425
phoenix,2.94,50.33,101236
rubick,2.65,44.77,193642
ancient-apparition,2.50,49.20,154585
vengeful-spirit,2.44,51.05,155015
jakiro,2.31,51.89,112592
kunkka,2.19,46.51,280509
lina,2.14,42.74,171244
bounty-hunter,2.12,44.50,267028
pugna,2.02,44.71,80288
clinkz,1.92,43.95,158854
luna,1.87,53.24,234038
disruptor,1.58,49.23,142924
mirana,1.53,50.20,418085
ogre-magi,1.51,52.47,207007
keeper-of-the-light,1.48,48.37,109580
silencer,1.35,51.84,194677
zeus,1.28,52.66,232849
leshrac,1.25,43.69,41071
doom,1.20,41.43,61383
sniper,1.20,49.60,500423
lich,1.18,52.73,168025
dazzle,1.06,49.75,134450
beastmaster,1.06,44.37,34035
lion,1.03,45.79,283352
templar-assassin,0.98,43.15,105224
undying,0.78,48.47,72777
morphling,0.77,46.10,236313
necrophos,0.63,52.67,224825
nyx-assassin,0.60,47.84,157615
pudge,0.57,50.59,663974
queen-of-pain,0.55,39.94,137551
drow-ranger,0.52,49.05,432819
death-prophet,0.47,44.44,96364
bane,0.43,43.48,91259
enchantress,0.40,37.64,63937
terrorblade,0.37,46.74,76996
shadow-fiend,0.36,45.30,223811
venomancer,0.20,49.09,115068
crystal-maiden,-0.05,52.64,254243
batrider,-0.07,42.44,48844
alchemist,-0.21,46.19,195324
razor,-0.25,42.99,118748
treant-protector,-0.46,50.70,64856
windranger,-0.47,42.45,219706
ember-spirit,-0.48,38.92,102479
witch-doctor,-0.50,47.18,262124
warlock,-0.57,52.70,101074
viper,-0.59,46.14,142148
omniknight,-0.65,57.36,231363
underlord,-0.66,51.61,82429
timbersaw,-0.86,45.90,193434
natures-prophet,-0.91,38.47,144134
gyrocopter,-0.95,41.66,81386
storm-spirit,-1.16,46.15,259572
bloodseeker,-1.20,47.38,288874
shadow-shaman,-1.34,49.53,147943
enigma,-1.36,48.77,96727
legion-commander,-1.44,45.88,441440
tiny,-1.59,41.86,129876
winter-wyvern,-1.60,42.81,66593
tusk,-1.71,38.91,66775
slark,-1.82,47.47,384102
medusa,-1.85,48.32,144256
dark-seer,-1.87,46.04,52738
huskar,-1.96,42.82,192554
puck,-1.99,40.73,101056
meepo,-2.09,44.12,81856
earthshaker,-2.16,46.42,198680
naga-siren,-2.19,42.63,44364
dragon-knight,-2.24,45.83,91737
sand-king,-2.30,45.89,203534
riki,-2.40,50.57,363859
broodmother,-2.61,36.24,37042
night-stalker,-2.72,46.18,85802
slardar,-2.73,47.33,152804
wraith-king,-2.81,51.88,218206
clockwerk,-2.93,46.46,67804
abaddon,-2.95,51.83,93704
troll-warlord,-2.98,45.73,126283
juggernaut,-2.98,46.08,381532
ursa,-3.17,50.29,183803
spectre,-3.21,50.82,128585
tidehunter,-3.31,46.41,91866
weaver,-3.35,45.06,151780
bristleback,-3.48,44.47,132540
spirit-breaker,-3.59,48.25,204130
sven,-3.80,49.99,250212
axe,-3.84,48.08,332769
phantom-lancer,-3.84,41.36,101440
anti-mage,-3.85,42.92,274414
chaos-knight,-3.88,45.92,81846
magnus,-3.93,42.44,95637
brewmaster,-4.09,43.14,29743
lycan,-4.15,41.98,44679
lone-druid,-4.34,35.89,31252
lifestealer,-4.40,44.29,183385
phantom-assassin,-4.55,47.54,546115
centaur-warrunner,-4.80,50.26,95594
