hero,para,rate,matches
visage,6.86,53.55,10652
undying,4.53,45.91,33024
terrorblade,4.40,47.44,36481
winter-wyvern,4.14,50.53,24293
earth-spirit,3.89,54.68,12662
arc-warden,3.82,53.04,18643
templar-assassin,3.66,51.11,41590
pugna,3.53,49.90,29630
dazzle,3.27,44.21,43029
death-prophet,3.18,49.30,35223
naga-siren,3.04,49.92,25240
elder-titan,2.99,41.36,23875
underlord,2.82,41.30,34659
leshrac,2.76,50.23,19518
io,2.59,59.08,11257
shadow-shaman,2.44,42.88,53792
treant-protector,2.33,42.11,27057
warlock,2.31,40.06,34157
dark-seer,2.30,46.13,24562
night-stalker,2.22,45.54,44736
chen,2.18,53.81,7198
broodmother,2.18,56.26,23321
drow-ranger,1.96,44.08,127706
slardar,1.95,44.22,69601
batrider,1.80,50.48,22244
venomancer,1.78,43.81,44564
ursa,1.65,40.84,86460
oracle,1.53,52.68,21156
lone-druid,1.52,55.56,14904
alchemist,1.52,46.42,71894
chaos-knight,1.52,44.91,46762
bane,1.46,49.45,33429
beastmaster,1.46,48.82,15537
troll-warlord,1.43,45.52,59154
skywrath-mage,1.35,48.49,38257
lycan,1.28,48.84,26839
nyx-assassin,1.25,45.02,59170
clinkz,1.21,49.50,63504
brewmaster,1.15,47.58,17794
jakiro,1.07,41.80,33532
razor,1.01,49.43,50973
kunkka,1.01,46.96,79203
phantom-lancer,0.98,49.51,57244
bounty-hunter,0.93,48.91,87650
meepo,0.88,47.36,29895
timbersaw,0.81,46.08,70965
enigma,0.75,42.92,35103
vengeful-spirit,0.74,42.53,55772
dragon-knight,0.67,45.43,45231
phantom-assassin,0.53,42.47,226221
tidehunter,0.44,44.22,43125
lion,0.44,46.89,77968
magnus,0.43,48.04,42618
omniknight,0.42,34.84,73139
puck,0.39,50.71,31218
ancient-apparition,0.37,44.18,34068
enchantress,0.29,54.91,27402
shadow-demon,0.29,48.78,21916
disruptor,0.28,43.68,35806
earthshaker,0.14,44.63,71300
spirit-breaker,0.11,42.06,86656
lina,0.11,50.27,57568
faceless-void,0.01,47.00,88036
lich,-0.00,40.00,42066
viper,-0.03,45.58,63789
tiny,-0.03,49.50,61196
crystal-maiden,-0.03,39.48,76192
sven,-0.06,40.13,112711
abaddon,-0.10,38.73,41108
outworld-devourer,-0.20,44.37,58093
natures-prophet,-0.23,53.23,52757
silencer,-0.29,40.82,55670
ember-spirit,-0.30,52.90,39994
medusa,-0.31,42.68,55021
phoenix,-0.31,43.01,24514
weaver,-0.48,45.17,69035
tusk,-0.49,52.29,33348
luna,-0.49,39.67,77305
queen-of-pain,-0.50,52.16,45388
clockwerk,-0.51,43.93,34541
necrophos,-0.64,39.54,73321
witch-doctor,-0.71,44.28,52556
storm-spirit,-0.73,44.99,69745
axe,-0.76,41.74,122232
bloodseeker,-0.78,43.72,107963
techies,-0.88,48.20,27661
legion-commander,-0.89,45.05,154852
rubick,-0.98,47.94,51849
bristleback,-1.06,45.44,65469
windranger,-1.10,48.85,76955
invoker,-1.24,47.27,122478
tinker,-1.28,46.37,70255
sand-king,-1.30,44.46,70633
centaur-warrunner,-1.59,38.73,46782
pudge,-1.67,41.07,195223
huskar,-1.67,47.54,79914
morphling,-1.77,45.44,67640
shadow-fiend,-1.84,46.01,71420
sniper,-1.98,42.17,158376
riki,-1.99,39.50,129152
zeus,-2.02,39.31,72509
doom,-2.13,50.06,25189
keeper-of-the-light,-2.36,43.30,30088
ogre-magi,-2.52,39.40,57839
mirana,-2.72,41.44,118844
anti-mage,-3.08,45.92,113172
slark,-3.17,42.29,145082
lifestealer,-3.90,43.90,78419
wraith-king,-3.94,37.27,91629
juggernaut,-4.06,42.71,145450
spectre,-5.06,37.62,58649
