hero,para,rate,matches
visage,9.14,42.62,8545
broodmother,9.10,37.58,18588
lycan,7.17,43.79,21377
brewmaster,5.79,44.46,14302
drow-ranger,5.57,48.35,92032
enchantress,5.44,36.61,22716
chaos-knight,5.28,47.15,35756
phantom-lancer,5.19,42.17,41955
leshrac,4.50,42.04,16149
naga-siren,4.36,42.43,19901
night-stalker,4.14,46.32,36518
troll-warlord,3.97,45.90,45631
natures-prophet,3.77,37.37,42604
wraith-king,3.55,52.16,73852
ursa,3.42,50.61,67693
dragon-knight,3.13,45.28,36625
treant-protector,2.87,49.30,24114
tiny,2.82,40.74,48102
viper,2.80,44.66,48221
lifestealer,2.66,44.51,61541
slark,2.50,46.50,105207
terrorblade,2.25,44.58,26750
spectre,2.13,50.56,41428
batrider,2.04,40.37,18077
anti-mage,2.03,42.53,82373
riki,2.02,49.80,106111
legion-commander,2.01,44.46,127821
death-prophet,1.89,42.07,28783
huskar,1.85,41.51,61827
tidehunter,1.77,45.80,37569
abaddon,1.77,51.31,34672
oracle,1.70,38.01,18139
centaur-warrunner,1.64,50.61,38690
weaver,1.53,44.31,50908
bristleback,1.49,43.75,54014
spirit-breaker,1.30,47.66,70538
bloodseeker,1.29,45.55,87569
winter-wyvern,1.28,41.10,21377
chen,1.25,37.11,5866
sven,1.14,49.52,84347
phantom-assassin,1.13,47.34,166306
dazzle,1.09,46.74,36862
undying,1.09,45.60,27809
tusk,1.07,37.15,27422
luna,0.98,49.74,52448
alchemist,0.96,43.73,58557
jakiro,0.82,48.11,28604
slardar,0.76,46.01,56040
shadow-shaman,0.69,47.53,44981
vengeful-spirit,0.64,47.13,45247
clinkz,0.51,40.41,47765
razor,0.43,40.35,39006
bane,0.42,40.53,28700
juggernaut,0.41,44.69,102347
beastmaster,0.39,41.13,12908
warlock,0.37,50.19,29319
lone-druid,0.26,34.84,12254
witch-doctor,0.20,44.53,45572
pugna,0.08,40.92,25025
io,0.05,32.17,9170
clockwerk,-0.04,44.86,28540
skywrath-mage,-0.14,41.17,31614
dark-seer,-0.22,43.84,21404
omniknight,-0.22,54.66,61615
queen-of-pain,-0.26,36.78,36094
crystal-maiden,-0.32,49.50,64756
doom,-0.34,37.94,21571
underlord,-0.42,48.74,29395
lina,-0.46,38.77,46671
axe,-0.59,46.72,103741
ogre-magi,-0.59,48.40,50699
enigma,-0.71,46.12,34922
disruptor,-0.76,45.12,32240
windranger,-0.80,39.42,59275
faceless-void,-0.95,41.66,81386
necrophos,-1.05,48.82,60500
earthshaker,-1.07,43.98,63452
bounty-hunter,-1.14,40.18,74959
sand-king,-1.16,43.48,60563
pudge,-1.17,46.75,160905
morphling,-1.30,42.22,46682
arc-warden,-1.31,37.62,14454
elder-titan,-1.34,48.30,20821
sniper,-1.39,45.38,114049
ancient-apparition,-1.46,44.36,29883
zeus,-1.54,48.24,58366
meepo,-1.63,41.42,22442
storm-spirit,-1.67,42.98,56461
lion,-1.70,41.64,66925
templar-assassin,-1.71,39.14,31840
venomancer,-1.83,45.15,36470
shadow-fiend,-1.89,41.38,54944
techies,-1.91,39.70,22896
silencer,-1.92,47.22,45657
lich,-2.18,48.05,36251
medusa,-2.32,45.16,40232
nyx-assassin,-2.62,43.40,49438
magnus,-2.86,40.06,38245
kunkka,-3.19,41.19,65042
ember-spirit,-3.36,35.06,31533
timbersaw,-3.40,41.85,57445
phoenix,-3.52,44.28,20670
mirana,-3.58,44.78,91591
puck,-3.61,37.27,25925
outworld-devourer,-4.02,42.78,45308
rubick,-4.62,38.80,43324
shadow-demon,-4.66,38.58,17961
keeper-of-the-light,-4.66,42.60,25665
tinker,-6.02,39.54,57351
invoker,-6.04,38.73,95529
earth-spirit,-6.69,34.22,10794
