hero,para,rate,matches
zeus,11.25,46.42,229847
venomancer,7.59,48.07,106970
pugna,6.98,53.34,71426
clockwerk,6.76,48.89,78976
underlord,6.65,44.55,87637
earth-spirit,6.13,57.61,33487
keeper-of-the-light,6.08,48.79,81364
storm-spirit,5.91,49.74,203571
ember-spirit,5.30,57.60,104950
visage,5.08,54.40,21771
phoenix,4.76,46.91,63717
bounty-hunter,4.75,52.49,260300
arc-warden,4.50,55.12,41357
disruptor,4.43,47.20,89075
batrider,4.42,53.51,51125
lich,4.27,43.38,113865
dark-seer,4.03,48.62,55988
nyx-assassin,3.95,47.93,146657
puck,3.79,54.15,89068
skywrath-mage,3.76,51.37,98127
anti-mage,3.50,50.75,359782
alchemist,3.38,48.98,220301
morphling,3.34,49.51,189868
tidehunter,3.32,47.18,102033
io,3.32,61.17,29566
outworld-devourer,3.29,47.61,168773
spectre,3.29,42.58,151683
silencer,3.17,43.91,143538
chen,3.02,55.95,18165
luna,2.91,42.67,215598
night-stalker,2.87,47.52,118472
elder-titan,2.82,42.94,55392
meepo,2.63,49.88,87252
death-prophet,2.60,50.72,89584
queen-of-pain,2.56,55.45,118662
leshrac,2.48,51.79,40672
treant-protector,2.44,43.81,63239
winter-wyvern,2.36,51.36,62046
mirana,2.30,45.25,333440
faceless-void,2.22,49.73,245585
shadow-demon,2.17,51.38,58099
lone-druid,2.05,57.52,35765
doom,2.02,53.87,61468
ogre-magi,1.90,42.83,166144
clinkz,1.87,51.51,177382
spirit-breaker,1.85,44.44,290110
kunkka,1.80,49.01,222435
magnus,1.78,50.38,101618
rubick,1.77,50.95,126388
oracle,1.76,54.49,53852
sniper,1.76,45.44,599417
warlock,1.76,41.46,82692
jakiro,1.73,43.72,83729
terrorblade,1.66,47.87,82773
timbersaw,1.60,48.12,229065
gyrocopter,1.56,52.46,79914
sand-king,1.42,47.35,192633
naga-siren,1.40,50.80,50514
tusk,1.26,54.89,83797
bloodseeker,1.20,46.25,409605
lycan,1.15,50.46,61029
dragon-knight,1.08,47.28,120955
tinker,1.07,49.15,214713
natures-prophet,1.04,55.58,140432
techies,1.04,50.81,91569
juggernaut,0.96,46.61,469190
pudge,0.74,43.71,682952
earthshaker,0.67,46.52,205857
templar-assassin,0.64,51.29,115659
drow-ranger,0.60,45.14,440466
tiny,0.58,51.47,166541
razor,0.54,50.86,135092
undying,0.51,45.79,73980
medusa,0.49,44.66,135087
bane,0.32,50.56,85378
centaur-warrunner,0.01,40.95,122360
viper,-0.01,47.23,199738
lina,-0.03,51.86,174078
shadow-fiend,-0.21,48.43,209731
beastmaster,-0.21,49.67,36343
crystal-maiden,-0.36,40.93,229480
weaver,-0.93,46.60,193001
invoker,-1.18,48.94,404220
vengeful-spirit,-1.20,43.32,139246
lion,-1.21,47.75,233770
slark,-1.27,44.73,469535
enchantress,-1.35,55.63,69204
dazzle,-1.60,43.73,120631
lifestealer,-2.02,46.38,251896
abaddon,-2.02,39.54,111045
sven,-2.30,40.80,399462
phantom-assassin,-2.39,42.82,902877
necrophos,-2.46,40.37,226601
witch-doctor,-2.75,44.97,141687
bristleback,-3.11,46.10,208407
broodmother,-3.32,54.81,50864
shadow-shaman,-3.34,42.03,160501
slardar,-3.44,43.46,202528
legion-commander,-3.76,45.33,556833
axe,-3.88,41.99,461432
brewmaster,-3.94,46.77,37787
riki,-4.12,40.18,487067
enigma,-4.27,42.34,86016
ursa,-4.50,39.90,327339
omniknight,-5.73,34.14,220242
wraith-king,-5.91,38.00,288702
windranger,-5.97,48.00,253941
phantom-lancer,-6.48,47.40,157842
troll-warlord,-6.87,43.33,213096
ancient-apparition,-8.18,41.92,110569
chaos-knight,-9.54,41.50,130522
