hero,para,rate,matches
oracle,10.01,42.83,80223
drow-ranger,7.91,51.21,375898
broodmother,7.61,38.69,39972
io,5.32,35.41,29297
lone-druid,5.11,38.12,29179
brewmaster,3.98,45.38,29158
dazzle,3.87,49.74,238538
chen,3.83,39.67,15374
omniknight,3.83,58.58,222566
beastmaster,3.66,44.14,29587
doom,3.38,40.99,49314
elder-titan,3.38,52.33,44906
jakiro,3.12,50.91,71511
natures-prophet,3.02,38.68,117898
leshrac,2.99,43.09,33250
tidehunter,2.95,48.03,80283
lycan,2.83,43.68,48060
naga-siren,2.60,43.36,40820
underlord,2.59,51.91,71209
lich,2.09,51.83,95213
phoenix,2.08,48.54,52695
treant-protector,2.06,50.61,54459
vengeful-spirit,2.01,49.46,117142
sand-king,1.96,46.52,160512
dark-seer,1.96,46.48,44757
kunkka,1.96,45.05,175841
meepo,1.93,44.58,73744
visage,1.91,41.42,17437
axe,1.87,49.56,334975
gyrocopter,1.85,41.51,61827
dragon-knight,1.76,46.34,90152
abaddon,1.67,52.94,88851
wraith-king,1.57,52.85,223186
disruptor,1.56,47.85,75015
keeper-of-the-light,1.55,47.04,69428
shadow-shaman,1.43,49.55,142717
winter-wyvern,1.39,42.77,48999
centaur-warrunner,1.30,52.12,92792
phantom-lancer,1.27,42.22,122145
enigma,1.18,48.67,70107
earthshaker,1.08,46.60,178250
troll-warlord,0.99,46.25,160732
bristleback,0.97,45.17,151621
batrider,0.77,41.47,42353
slardar,0.74,47.66,162889
tiny,0.69,41.51,130267
razor,0.65,42.06,101980
earth-spirit,0.63,38.47,28237
rubick,0.51,42.51,119522
techies,0.50,42.29,75986
warlock,0.49,51.92,70499
chaos-knight,0.49,46.66,97454
lion,0.42,44.17,202839
ancient-apparition,0.42,46.85,72212
tusk,0.41,38.46,67609
undying,0.24,46.87,59086
medusa,0.20,47.98,102053
enchantress,0.11,36.28,56152
windranger,0.09,41.38,184789
witch-doctor,0.05,46.11,119245
timbersaw,0.03,44.97,162148
lina,-0.06,40.52,139380
bane,-0.14,41.91,71021
sven,-0.17,50.54,302558
clockwerk,-0.18,46.43,63073
night-stalker,-0.20,46.03,90426
alchemist,-0.29,44.82,166334
skywrath-mage,-0.30,42.72,82106
shadow-fiend,-0.31,43.67,160275
crystal-maiden,-0.31,51.16,195939
terrorblade,-0.32,45.09,63079
death-prophet,-0.57,42.67,69656
shadow-demon,-0.68,41.79,45966
luna,-0.83,50.49,166246
riki,-0.97,49.98,399329
spectre,-0.99,50.66,115785
weaver,-1.06,44.80,144424
legion-commander,-1.08,44.73,440344
magnus,-1.09,42.39,73685
mirana,-1.33,47.46,266861
ogre-magi,-1.34,49.67,145747
necrophos,-1.40,50.28,175474
puck,-1.49,39.65,71614
silencer,-1.49,49.06,118982
pugna,-1.53,41.85,65931
venomancer,-1.53,46.92,88178
invoker,-1.76,42.08,309282
nyx-assassin,-1.86,45.35,121718
faceless-void,-1.96,42.82,192554
phantom-assassin,-1.99,47.49,700222
queen-of-pain,-2.17,37.60,91650
ursa,-2.18,49.49,239750
slark,-2.34,45.91,359877
viper,-2.40,44.00,145920
templar-assassin,-2.57,40.36,83978
ember-spirit,-2.61,36.84,81321
anti-mage,-2.92,42.05,284355
morphling,-2.93,43.11,140393
juggernaut,-2.94,44.80,358996
arc-warden,-3.10,38.47,32986
bloodseeker,-3.10,45.17,329325
pudge,-3.12,47.43,536669
lifestealer,-3.14,43.58,187231
spirit-breaker,-3.18,47.15,229417
clinkz,-3.22,40.46,134900
bounty-hunter,-3.39,40.82,224757
tinker,-3.55,42.15,170220
outworld-devourer,-3.55,44.57,121937
sniper,-3.77,45.87,466829
zeus,-3.81,48.72,179168
storm-spirit,-4.24,43.43,157915
