hero,para,rate,matches
wraith-king,8.28,44.24,568316
medusa,6.33,47.76,288199
chaos-knight,3.89,48.16,182099
meepo,3.76,50.92,239261
omniknight,3.09,37.79,534445
doom,2.96,54.86,134121
dark-seer,2.89,48.58,123235
abaddon,2.44,41.81,223522
sven,2.30,43.20,739473
viper,2.09,48.72,262689
axe,2.01,45.04,823748
kunkka,2.00,49.60,565121
tinker,1.99,50.09,668601
broodmother,1.94,58.27,68675
brewmaster,1.91,50.11,60096
silencer,1.91,43.85,420252
leshrac,1.86,51.97,67235
warlock,1.84,41.97,174803
ancient-apparition,1.75,46.94,212434
necrophos,1.70,42.57,483061
lich,1.66,42.78,235991
razor,1.64,51.91,230471
ursa,1.60,42.93,444674
outworld-devourer,1.56,47.30,455695
oracle,1.53,54.85,129566
enigma,1.52,45.38,191403
death-prophet,1.43,50.63,169223
disruptor,1.42,46.32,232514
spectre,1.39,42.27,359734
troll-warlord,1.38,47.65,267111
dazzle,1.34,45.52,289806
lion,1.23,49.42,571031
elder-titan,1.17,42.72,119724
huskar,1.16,51.06,404220
shadow-fiend,1.14,49.56,506901
gyrocopter,1.14,52.73,122478
luna,1.13,42.41,408097
bane,1.05,51.41,194699
beastmaster,1.04,50.78,76006
lina,0.99,52.88,313163
ogre-magi,0.90,42.88,438476
witch-doctor,0.89,47.13,321054
underlord,0.86,42.61,183175
arc-warden,0.82,53.67,92467
magnus,0.80,50.38,269603
enchantress,0.79,57.32,107539
lone-druid,0.78,57.28,69149
dragon-knight,0.78,47.62,194075
tiny,0.76,52.04,308108
naga-siren,0.73,50.95,87697
terrorblade,0.73,47.91,130020
pudge,0.63,44.13,1695789
treant-protector,0.59,43.49,127427
night-stalker,0.57,46.94,182636
batrider,0.54,52.00,112942
phantom-lancer,0.51,51.43,219501
queen-of-pain,0.51,54.82,250161
zeus,0.51,42.41,458006
phoenix,0.48,45.47,154388
centaur-warrunner,0.41,41.58,246440
vengeful-spirit,0.40,44.49,293464
anti-mage,0.34,49.68,873549
shadow-shaman,0.29,44.08,299361
jakiro,0.28,43.57,171499
shadow-demon,0.28,50.91,161244
clockwerk,0.27,46.40,176463
bristleback,0.23,48.18,338524
rubick,0.21,50.65,458653
sand-king,0.18,47.25,464965
windranger,0.18,51.62,503113
natures-prophet,0.16,55.57,312517
slardar,0.16,45.56,443295
timbersaw,0.16,47.92,521140
mirana,0.15,44.77,956428
techies,0.13,50.83,163928
crystal-maiden,0.12,41.60,511534
earthshaker,0.09,46.73,443029
venomancer,0.07,45.18,204498
drow-ranger,0.05,45.37,817104
morphling,0.04,48.41,541887
juggernaut,0.04,46.66,1043422
undying,-0.05,46.02,145440
skywrath-mage,-0.06,49.96,203285
slark,-0.13,45.73,1077832
legion-commander,-0.16,47.50,1139743
lycan,-0.17,50.28,80797
chen,-0.50,54.51,36383
keeper-of-the-light,-0.53,46.22,225208
storm-spirit,-0.54,47.19,617689
tidehunter,-0.54,45.89,244995
sniper,-0.70,44.81,1037355
visage,-0.82,51.82,36249
earth-spirit,-0.86,54.29,93640
ember-spirit,-0.87,54.70,229540
bloodseeker,-1.01,45.72,621839
spirit-breaker,-1.18,43.59,498814
tusk,-1.20,54.02,143953
faceless-void,-1.46,48.42,542420
weaver,-1.64,46.74,330638
lifestealer,-1.86,46.93,484910
io,-1.89,58.54,63812
riki,-1.95,41.54,834401
puck,-2.09,51.55,244318
winter-wyvern,-2.13,49.58,123613
pugna,-2.23,49.22,161627
bounty-hunter,-2.24,49.46,549967
alchemist,-2.43,46.69,477424
clinkz,-2.53,49.76,315097
nyx-assassin,-2.66,45.34,369468
templar-assassin,-3.24,49.78,231607
phantom-assassin,-3.50,42.80,1640286
