hero,para,rate,matches
earth-spirit,4.12,40.28,86029
faceless-void,3.45,45.68,616253
anti-mage,3.09,45.14,766585
shadow-demon,2.58,43.64,151707
beastmaster,2.56,44.16,67193
slark,2.33,48.59,994569
chen,1.93,39.41,31303
nyx-assassin,1.83,47.54,309956
legion-commander,1.81,46.52,1125469
pudge,1.52,50.19,1233958
doom,1.50,40.71,111049
clockwerk,1.49,47.70,159364
io,1.36,34.51,52908
venomancer,1.32,48.76,169957
treant-protector,1.31,50.72,112036
rubick,1.28,43.31,378298
ogre-magi,1.20,51.43,396539
spirit-breaker,1.19,49.77,450276
undying,1.04,47.73,127827
lion,0.95,44.88,535127
visage,0.94,41.49,29564
ursa,0.85,51.51,397512
bane,0.84,42.80,168404
bounty-hunter,0.80,43.06,505705
slardar,0.63,48.09,402755
phoenix,0.60,48.32,135088
abaddon,0.57,52.85,186395
techies,0.48,42.75,153854
juggernaut,0.47,46.85,905783
wraith-king,0.45,52.74,518988
lifestealer,0.42,45.65,427089
keeper-of-the-light,0.42,47.00,201770
ancient-apparition,0.39,47.32,211027
disruptor,0.26,47.73,210795
batrider,0.23,41.72,95592
dark-seer,0.15,46.13,109076
oracle,0.14,39.45,116052
spectre,0.11,51.70,328017
dazzle,0.08,48.41,255097
phantom-assassin,0.05,48.97,1297761
terrorblade,0.03,45.72,114215
bloodseeker,0.02,47.10,634949
omniknight,-0.00,56.89,457250
winter-wyvern,-0.15,42.59,115304
morphling,-0.15,44.82,427863
axe,-0.21,49.03,782662
timbersaw,-0.21,45.34,456074
necrophos,-0.26,51.34,387534
underlord,-0.28,50.94,157158
silencer,-0.40,50.08,293054
vengeful-spirit,-0.42,48.76,256787
sven,-0.45,50.87,672526
night-stalker,-0.47,46.38,150592
riki,-0.60,50.64,747597
weaver,-0.61,45.48,267461
tusk,-0.65,38.51,122726
lone-druid,-0.74,36.44,59087
pugna,-0.75,42.65,114863
shadow-shaman,-0.79,48.95,259380
tidehunter,-0.84,46.73,216097
enigma,-0.87,48.16,197981
crystal-maiden,-0.89,51.33,457843
sand-king,-0.94,45.67,412520
skywrath-mage,-0.96,42.90,162261
chaos-knight,-1.08,46.41,159137
warlock,-1.10,51.57,143555
earthshaker,-1.24,46.00,407084
lich,-1.29,50.59,200776
centaur-warrunner,-1.29,51.27,210447
mirana,-1.31,47.94,723335
elder-titan,-1.33,50.42,110389
troll-warlord,-1.39,45.63,231791
jakiro,-1.39,49.16,149369
bristleback,-1.44,44.57,296572
luna,-1.53,50.61,336729
drow-ranger,-1.54,47.19,689181
clinkz,-1.55,41.62,242966
phantom-lancer,-1.55,41.51,192187
huskar,-1.76,42.08,309282
witch-doctor,-1.78,45.73,278816
lycan,-1.85,42.15,69071
natures-prophet,-1.90,37.28,280851
naga-siren,-1.94,41.90,72867
brewmaster,-2.11,43.19,47355
medusa,-2.40,47.20,196269
razor,-3.08,40.95,161675
lina,-3.47,39.58,212108
windranger,-3.83,40.21,334730
kunkka,-3.85,42.94,419583
dragon-knight,-3.95,44.20,141167
zeus,-3.96,49.11,241776
magnus,-4.21,41.50,202008
sniper,-4.26,46.10,700735
meepo,-4.47,42.23,172235
tiny,-4.66,39.75,230507
death-prophet,-4.70,41.34,89664
arc-warden,-5.05,38.13,57126
viper,-5.09,43.24,176129
broodmother,-5.67,34.34,57395
queen-of-pain,-5.72,36.67,107332
gyrocopter,-6.04,38.73,95529
ember-spirit,-6.05,35.97,130587
leshrac,-6.07,39.74,48873
puck,-6.25,38.17,94416
enchantress,-6.53,34.29,90050
templar-assassin,-6.78,39.05,93273
alchemist,-6.91,42.29,248680
storm-spirit,-7.23,42.51,174300
tinker,-8.39,40.47,173649
shadow-fiend,-9.34,40.14,172881
outworld-devourer,-9.45,42.28,152513
