hero,para,rate,matches
tidehunter,8.73,39.88,16975
disruptor,6.31,38.52,16923
storm-spirit,4.68,39.67,31502
pudge,4.55,36.13,91669
arc-warden,4.33,45.36,7443
techies,4.06,42.74,12573
spirit-breaker,3.86,36.13,34032
omniknight,3.77,29.18,31822
underlord,3.77,34.33,13277
nyx-assassin,3.61,38.42,23535
riki,3.41,34.33,51444
mirana,2.95,36.38,51153
invoker,2.79,41.46,63812
anti-mage,2.62,40.91,48338
silencer,2.25,34.55,21749
shadow-demon,2.16,41.96,11119
outworld-devourer,2.11,37.86,24384
juggernaut,2.01,37.89,60158
timbersaw,1.96,39.02,32186
morphling,1.87,39.52,31644
lifestealer,1.81,38.94,30984
ancient-apparition,1.80,37.33,15554
phoenix,1.79,36.48,11088
skywrath-mage,1.51,40.93,14563
rubick,1.38,41.43,22199
kunkka,1.34,39.54,33930
spectre,1.26,32.99,23416
necrophos,1.09,33.09,29746
slark,0.87,36.65,63059
warlock,0.82,32.41,12597
dark-seer,0.81,37.98,9441
sniper,0.78,36.01,61361
bloodseeker,0.66,36.95,41684
batrider,0.65,42.27,8765
magnus,0.45,40.49,17304
phantom-lancer,0.24,41.56,16991
ogre-magi,0.20,33.38,26716
sand-king,0.06,37.66,29937
legion-commander,0.00,38.02,65607
phantom-assassin,-0.11,34.97,93126
faceless-void,-0.12,39.45,35224
winter-wyvern,-0.25,40.87,9893
bristleback,-0.28,38.37,23351
clockwerk,-0.39,36.65,12943
treant-protector,-0.40,33.85,10481
elder-titan,-0.45,32.92,8922
medusa,-0.48,35.36,18531
tinker,-0.49,39.28,32636
axe,-0.49,34.66,51464
puck,-0.76,42.59,14336
crystal-maiden,-0.88,32.17,34218
lion,-0.89,38.85,36627
undying,-0.91,36.24,11428
tiny,-1.29,41.39,22441
doom,-1.32,42.96,10462
templar-assassin,-1.32,41.18,16168
earth-spirit,-1.36,44.39,7268
pugna,-1.39,40.09,11252
shadow-shaman,-1.56,34.10,21663
ember-spirit,-1.69,44.65,16459
witch-doctor,-1.82,36.53,22905
naga-siren,-1.84,40.14,7945
shadow-fiend,-1.96,38.61,29071
zeus,-2.10,32.34,29210
weaver,-2.26,37.10,24677
visage,-2.29,41.54,3796
venomancer,-2.40,34.89,16094
centaur-warrunner,-2.40,31.56,17829
dragon-knight,-2.51,36.77,15400
queen-of-pain,-3.03,43.43,17007
viper,-3.06,36.99,20961
night-stalker,-3.14,36.00,15164
keeper-of-the-light,-3.15,35.81,15346
wraith-king,-3.36,30.76,37359
windranger,-3.37,40.40,31743
bounty-hunter,-3.40,39.51,37945
gyrocopter,-3.51,40.92,11257
meepo,-3.80,37.95,14456
earthshaker,-3.81,35.77,28875
slardar,-3.82,34.68,27339
vengeful-spirit,-4.33,33.46,21668
enchantress,-4.35,45.07,9581
tusk,-4.45,42.92,12279
lina,-4.46,40.72,22720
enigma,-4.64,33.69,13744
chaos-knight,-4.66,35.16,15166
terrorblade,-4.74,36.21,11774
huskar,-4.82,38.83,29566
jakiro,-5.07,32.45,12932
luna,-5.18,31.10,29353
drow-ranger,-5.24,34.05,53026
alchemist,-5.51,36.17,30898
troll-warlord,-5.58,35.39,21824
brewmaster,-5.72,37.27,5846
ursa,-6.23,31.03,33849
oracle,-6.37,41.44,10426
dazzle,-6.81,33.11,20424
sven,-7.17,30.69,46486
lich,-7.65,30.41,18796
chen,-9.40,40.79,3979
broodmother,-9.46,42.94,7681
abaddon,-9.61,28.74,18345
lycan,-12.65,35.53,8896
beastmaster,-12.80,35.38,7331
leshrac,-13.27,35.83,7072
lone-druid,-14.15,40.43,6669
clinkz,-14.23,35.46,26686
razor,-15.48,34.96,20559
bane,-17.99,33.77,16815
natures-prophet,-18.34,37.33,27491
death-prophet,-26.01,29.78,16315
