hero,para,rate,matches
drow-ranger,8.29,41.53,40254
tiny,8.17,35.24,42083
slark,8.12,41.02,53928
outworld-devourer,7.70,40.05,22136
sven,6.66,44.15,48360
luna,6.51,44.40,23334
chaos-knight,6.19,39.71,19713
ursa,5.97,43.84,37896
phantom-assassin,5.41,41.44,84450
sand-king,5.38,38.61,21620
huskar,5.32,35.41,29297
faceless-void,5.23,36.65,28952
lifestealer,5.14,37.89,26058
tinker,5.02,36.60,26184
legion-commander,4.70,37.96,56132
viper,4.63,37.80,17037
windranger,4.39,34.12,23773
bristleback,4.39,37.38,24520
shadow-fiend,4.28,36.44,24273
juggernaut,4.21,38.69,50643
troll-warlord,4.19,38.33,18194
nyx-assassin,3.90,38.63,18052
clinkz,3.81,34.37,18799
phantom-lancer,3.80,34.26,14416
slardar,3.38,39.51,22967
axe,3.23,40.77,41070
razor,3.10,34.12,14729
spectre,3.06,43.21,19756
earthshaker,3.01,38.20,18341
wraith-king,3.01,44.06,32488
templar-assassin,2.92,33.72,14072
riki,2.91,42.45,39185
lycan,2.89,34.70,6626
alchemist,2.83,37.02,27792
storm-spirit,2.63,37.34,27178
death-prophet,2.44,34.95,9905
kunkka,2.39,36.13,25831
doom,2.08,31.81,8102
clockwerk,2.08,38.25,10360
ember-spirit,2.00,30.13,14200
sniper,1.73,39.23,47416
ogre-magi,1.62,41.79,15715
bloodseeker,1.59,38.16,32488
anti-mage,1.58,35.03,41082
medusa,1.43,39.32,16780
dragon-knight,1.36,37.06,14160
invoker,1.36,34.51,52908
mirana,1.23,39.45,35134
zeus,1.09,41.88,21053
vengeful-spirit,1.01,39.74,12899
terrorblade,0.81,36.56,9641
silencer,0.17,40.67,14870
necrophos,0.07,41.79,20157
gyrocopter,0.05,32.17,9170
weaver,0.02,36.32,19867
omniknight,0.01,47.15,17647
centaur-warrunner,-0.03,42.19,14848
tusk,-0.53,29.81,9293
lina,-0.60,31.77,15392
pudge,-0.79,39.47,72098
night-stalker,-1.24,36.64,12764
naga-siren,-1.41,33.05,6435
beastmaster,-2.00,33.14,5419
undying,-2.87,36.61,8300
morphling,-3.20,34.37,30045
magnus,-3.46,32.89,14804
lion,-3.65,33.83,19763
timbersaw,-3.94,34.59,28552
bounty-hunter,-3.99,32.18,24339
shadow-shaman,-4.60,37.87,12139
enigma,-5.15,36.97,8908
brewmaster,-5.41,32.91,5071
spirit-breaker,-5.51,37.37,28093
queen-of-pain,-6.28,28.19,14254
lich,-6.45,38.86,10084
lone-druid,-6.48,26.34,5209
underlord,-7.20,38.40,10561
broodmother,-7.47,25.81,6358
abaddon,-7.55,39.58,13311
batrider,-7.56,30.06,7385
jakiro,-7.58,37.14,7393
venomancer,-7.82,35.52,10959
witch-doctor,-7.85,34.15,12694
leshrac,-8.41,30.35,5117
bane,-8.47,30.44,9013
rubick,-8.61,30.67,14645
phoenix,-8.89,35.03,7842
elder-titan,-8.93,37.69,6091
treant-protector,-9.99,36.36,6771
dazzle,-10.20,34.82,10613
meepo,-10.31,31.28,13285
dark-seer,-10.66,32.69,7326
warlock,-11.05,37.73,8098
puck,-11.15,28.17,12606
enchantress,-11.57,24.88,7386
disruptor,-13.79,32.79,8727
skywrath-mage,-14.30,29.19,10422
shadow-demon,-14.83,28.41,7293
natures-prophet,-16.67,24.41,19279
crystal-maiden,-16.94,34.95,19379
arc-warden,-19.17,25.22,7564
winter-wyvern,-22.12,26.05,6713
pugna,-25.44,25.16,9011
keeper-of-the-light,-25.89,27.64,10356
oracle,-26.02,22.58,7404
earth-spirit,-29.20,21.17,6761
ancient-apparition,-35.40,24.29,11765
techies,-42.56,19.16,13996
tidehunter,-46.60,20.08,24173
visage,-46.72,17.08,4491
chen,-58.18,12.50,5882
