hero,para,rate,matches
meepo,6.31,59.16,35102
chaos-knight,4.58,55.36,45534
axe,4.16,52.83,157517
templar-assassin,3.86,60.20,45752
wraith-king,3.81,49.15,106053
io,2.63,67.55,12932
treant-protector,2.62,51.09,30628
spirit-breaker,2.60,51.99,101252
slardar,2.54,53.38,85144
beastmaster,2.43,58.18,16959
omniknight,2.36,43.98,95402
dragon-knight,2.26,55.05,46645
troll-warlord,2.25,54.79,57813
crystal-maiden,1.97,49.01,100271
lone-druid,1.96,64.39,15159
ursa,1.94,49.73,94333
enigma,1.94,52.27,40278
sand-king,1.90,54.77,91213
phantom-lancer,1.85,58.76,52818
centaur-warrunner,1.72,48.74,53627
chen,1.69,62.23,8046
tiny,1.68,59.14,64779
sven,1.60,49.53,134320
warlock,1.53,48.44,40506
medusa,1.51,52.27,59319
underlord,1.42,49.46,41223
riki,1.26,49.52,148101
puck,1.18,59.84,38248
razor,1.13,58.25,53369
legion-commander,1.09,54.75,192324
terrorblade,1.07,54.72,34111
lion,1.07,55.98,108785
spectre,1.06,48.72,67681
naga-siren,1.01,57.70,23813
earthshaker,0.98,53.80,86158
vengeful-spirit,0.96,51.37,63526
dazzle,0.96,51.98,56342
abaddon,0.96,47.76,46843
broodmother,0.93,64.05,21152
faceless-void,0.91,56.21,109072
shadow-shaman,0.78,50.91,64256
tusk,0.77,61.57,32530
luna,0.70,48.80,86539
phoenix,0.66,52.17,30526
night-stalker,0.66,53.60,44496
shadow-demon,0.64,57.68,30727
phantom-assassin,0.63,51.23,264043
techies,0.58,57.64,29437
nyx-assassin,0.53,53.45,72013
earth-spirit,0.52,61.50,16598
kunkka,0.26,55.34,98949
lycan,0.16,57.00,23855
doom,0.11,59.82,26944
clockwerk,0.08,52.90,39855
ogre-magi,0.06,49.06,83468
bristleback,0.04,54.66,72202
tidehunter,-0.01,52.72,53193
magnus,-0.09,56.48,51227
shadow-fiend,-0.15,55.49,80763
invoker,-0.22,56.43,171499
bane,-0.27,57.26,40162
storm-spirit,-0.28,53.87,93095
necrophos,-0.29,48.24,91942
morphling,-0.30,54.80,84739
visage,-0.31,58.57,11465
dark-seer,-0.32,53.62,28614
venomancer,-0.35,51.55,48465
lich,-0.48,48.37,51171
batrider,-0.49,57.95,25757
queen-of-pain,-0.50,60.67,48522
timbersaw,-0.51,54.14,90017
winter-wyvern,-0.52,56.90,28678
bloodseeker,-0.54,52.48,123207
skywrath-mage,-0.62,56.19,43881
disruptor,-0.73,51.87,48209
gyrocopter,-0.76,58.20,33532
alchemist,-0.82,53.98,80209
drow-ranger,-0.87,51.47,148462
windranger,-0.92,57.51,90412
slark,-0.97,51.86,182232
arc-warden,-0.98,59.12,20592
witch-doctor,-0.98,52.77,68606
zeus,-1.00,48.23,85799
bounty-hunter,-1.03,56.55,102052
undying,-1.07,52.05,36162
lina,-1.19,58.16,65429
ember-spirit,-1.21,60.83,42915
keeper-of-the-light,-1.22,52.40,41258
ancient-apparition,-1.23,52.07,44955
pudge,-1.28,49.77,262983
outworld-devourer,-1.30,52.47,76207
death-prophet,-1.30,55.74,38780
huskar,-1.31,56.28,83729
natures-prophet,-1.38,61.01,59646
weaver,-1.49,53.29,70610
brewmaster,-1.53,54.88,17352
leshrac,-1.62,56.62,19573
elder-titan,-1.64,47.96,28527
mirana,-1.71,50.40,154048
oracle,-1.71,59.43,26894
pugna,-2.02,55.74,33906
viper,-2.04,53.19,63312
lifestealer,-2.06,53.27,90375
tinker,-2.09,54.52,91994
anti-mage,-2.11,54.89,138685
silencer,-2.22,48.47,72185
clinkz,-2.26,56.28,64454
juggernaut,-2.42,51.93,178690
enchantress,-2.84,61.39,27445
rubick,-3.48,55.11,71065
sniper,-3.50,49.89,181701
