hero,para,rate,matches
lone-druid,4.36,44.90,13270
lycan,3.31,51.13,21331
undying,3.24,55.56,29877
huskar,3.12,50.91,71511
tusk,3.07,46.56,25387
night-stalker,2.93,54.74,37212
templar-assassin,2.73,49.73,39021
phantom-lancer,2.63,49.97,48117
slark,2.58,55.46,169282
doom,2.52,47.74,22512
clinkz,2.52,50.04,56426
pudge,2.33,57.30,202363
chaos-knight,2.32,54.74,41388
faceless-void,2.31,51.89,112592
viper,2.17,53.27,55323
weaver,2.16,53.47,62589
lifestealer,2.09,53.13,78874
anti-mage,1.88,51.29,133554
bloodseeker,1.76,54.62,102952
broodmother,1.75,43.44,17057
natures-prophet,1.71,45.14,44567
riki,1.66,58.44,119992
juggernaut,1.55,54.04,169111
troll-warlord,1.54,53.67,51456
spirit-breaker,1.53,56.60,79205
wraith-king,1.47,59.87,96812
phantom-assassin,1.47,56.32,247134
drow-ranger,1.40,55.27,136892
leshrac,1.39,49.51,14522
beastmaster,1.37,50.28,13963
brewmaster,1.26,51.32,14824
vengeful-spirit,1.23,56.22,40290
storm-spirit,1.20,53.04,83982
legion-commander,1.18,52.89,161169
ursa,1.15,58.27,82207
enchantress,1.07,43.45,19760
luna,1.05,58.53,76384
slardar,1.03,54.93,72145
dragon-knight,0.98,53.12,43714
terrorblade,0.98,52.80,30580
alchemist,0.90,52.47,75986
gyrocopter,0.82,48.11,28604
arc-warden,0.81,47.00,16541
pugna,0.81,49.92,25184
ember-spirit,0.76,45.01,40174
tiny,0.66,48.52,54353
mirana,0.64,55.50,114586
death-prophet,0.63,50.25,32186
meepo,0.54,51.05,29595
razor,0.47,49.01,46018
naga-siren,0.42,49.48,19930
dazzle,0.38,55.15,29213
treant-protector,0.21,56.74,19468
shadow-fiend,0.19,50.94,71657
batrider,0.18,48.22,19370
nyx-assassin,-0.05,53.25,54884
venomancer,-0.05,54.67,35423
clockwerk,-0.06,53.55,32752
sniper,-0.07,54.68,155464
sven,-0.08,57.58,125076
witch-doctor,-0.11,53.08,35802
ogre-magi,-0.11,57.30,44641
bristleback,-0.13,51.72,63345
spectre,-0.14,58.08,66587
magnus,-0.20,49.78,43228
puck,-0.22,47.10,32101
outworld-devourer,-0.25,53.14,68270
bane,-0.35,48.80,23456
necrophos,-0.44,57.74,63836
morphling,-0.47,51.22,77740
bounty-hunter,-0.50,49.02,74272
abaddon,-0.66,58.65,36877
windranger,-0.79,47.94,73959
queen-of-pain,-0.81,44.94,41663
medusa,-0.85,54.47,54399
omniknight,-0.90,62.64,53191
centaur-warrunner,-0.95,57.89,44451
sand-king,-1.05,52.13,66636
visage,-1.17,47.04,8222
lina,-1.29,46.89,45706
invoker,-1.39,49.16,149369
zeus,-1.41,56.85,66309
shadow-shaman,-1.44,55.10,36433
earthshaker,-1.61,52.31,55344
axe,-1.98,54.60,130020
tidehunter,-2.05,52.61,40857
silencer,-2.13,55.62,46883
tinker,-2.13,49.66,80370
dark-seer,-2.17,51.49,21451
underlord,-2.30,56.29,32534
kunkka,-2.41,49.99,80583
lion,-2.42,49.79,51640
skywrath-mage,-2.44,48.65,26471
chen,-2.50,43.94,5771
warlock,-2.76,57.03,24243
timbersaw,-2.88,50.51,79238
enigma,-2.99,53.50,28455
crystal-maiden,-3.07,56.52,47089
rubick,-3.12,47.76,35382
ancient-apparition,-3.43,51.88,24296
lich,-3.44,55.79,28981
techies,-3.60,47.32,20098
shadow-demon,-3.72,47.26,16544
oracle,-3.85,44.07,15293
disruptor,-4.10,51.96,24999
phoenix,-4.12,52.35,20037
keeper-of-the-light,-4.33,51.07,20725
winter-wyvern,-4.49,46.98,16547
elder-titan,-5.23,54.62,20075
earth-spirit,-6.82,42.02,10853
io,-7.58,37.14,7393
