hero,para,rate,matches
spectre,8.38,48.77,393884
zeus,5.63,48.07,459080
timbersaw,4.48,53.50,519760
centaur-warrunner,4.19,46.59,260049
phoenix,4.14,50.62,153995
clockwerk,4.08,51.66,187121
elder-titan,3.69,47.22,128597
nyx-assassin,3.51,51.70,371132
gyrocopter,3.26,57.29,145450
batrider,3.06,56.75,117105
naga-siren,3.00,55.56,99102
kunkka,2.93,53.51,554423
tidehunter,2.92,50.95,259130
leshrac,2.80,55.89,75959
underlord,2.79,46.83,204224
ancient-apparition,2.76,50.86,210941
jakiro,2.75,48.07,178690
tinker,2.71,53.90,522912
sand-king,2.69,51.89,479499
enigma,2.38,49.19,195452
earthshaker,2.11,51.11,451313
ember-spirit,2.08,59.70,230847
pudge,2.06,48.17,1541701
crystal-maiden,1.93,45.71,484511
necrophos,1.72,45.95,482446
treant-protector,1.69,47.36,132109
brewmaster,1.58,53.36,68069
viper,1.56,51.88,311448
warlock,1.42,45.14,181891
tiny,1.29,55.71,333694
arc-warden,1.29,57.29,88216
lich,1.27,45.96,236524
pugna,1.22,54.35,154953
lifestealer,1.20,51.79,503840
tusk,1.04,58.59,157224
earth-spirit,1.03,58.67,85953
bristleback,1.02,51.95,372593
bloodseeker,1.00,50.03,707881
oracle,0.99,57.91,123983
ogre-magi,0.97,46.26,422549
keeper-of-the-light,0.97,50.31,212656
venomancer,0.95,48.97,227353
slardar,0.94,49.30,462921
phantom-assassin,0.75,48.05,1825552
undying,0.70,49.74,159432
witch-doctor,0.70,50.43,318677
silencer,0.67,46.66,379289
phantom-lancer,0.58,54.84,265650
natures-prophet,0.57,59.11,297080
magnus,0.55,53.63,256638
dark-seer,0.55,50.86,128631
alchemist,0.54,51.49,471839
enchantress,0.28,60.30,120874
disruptor,0.24,49.15,229515
bounty-hunter,0.24,54.08,554181
lina,0.23,55.83,333064
doom,0.20,56.73,135631
shadow-demon,0.19,54.23,154210
wraith-king,0.12,44.20,617504
rubick,0.11,53.97,409108
puck,0.07,56.03,211503
death-prophet,0.05,53.31,175582
spirit-breaker,0.04,47.46,547217
queen-of-pain,0.03,57.87,247517
skywrath-mage,0.01,53.35,211240
outworld-devourer,-0.02,49.93,419890
invoker,-0.03,53.34,1043422
medusa,-0.07,48.23,308417
bane,-0.09,54.19,184496
winter-wyvern,-0.10,53.96,130463
shadow-fiend,-0.16,52.29,469174
broodmother,-0.30,60.24,81022
mirana,-0.35,47.89,883522
sniper,-0.41,48.28,1104013
slark,-0.42,48.93,1179613
omniknight,-0.43,39.66,570898
razor,-0.49,54.16,256696
lone-druid,-0.71,59.68,71639
axe,-0.78,47.12,926492
windranger,-0.78,54.45,490404
huskar,-0.83,53.39,469190
beastmaster,-0.99,53.09,78927
storm-spirit,-1.05,50.28,549130
lion,-1.09,51.62,555704
io,-1.19,62.11,60158
morphling,-1.20,51.14,532226
chen,-1.35,57.31,35533
luna,-1.36,44.63,474290
lycan,-1.41,52.96,99533
riki,-1.41,45.04,887807
visage,-1.44,54.79,39911
vengeful-spirit,-1.45,46.97,299563
anti-mage,-1.56,52.05,873721
night-stalker,-1.60,49.23,210373
dragon-knight,-1.61,49.80,223127
chaos-knight,-1.69,48.88,215306
shadow-shaman,-1.72,46.48,303172
terrorblade,-1.97,49.93,154898
templar-assassin,-2.44,53.46,226503
drow-ranger,-2.45,47.50,872399
faceless-void,-2.55,51.16,597289
abaddon,-2.58,42.97,229019
techies,-2.63,52.70,173567
sven,-2.82,44.26,845388
dazzle,-2.83,46.90,269693
weaver,-3.16,49.27,366169
troll-warlord,-3.19,48.76,317706
legion-commander,-3.37,49.22,1192161
meepo,-4.12,50.28,210155
ursa,-4.23,43.64,533459
clinkz,-4.47,51.97,325910
