hero,para,rate,matches
earth-spirit,6.30,44.56,78384
magnus,5.57,49.25,245108
io,4.21,38.69,50643
nyx-assassin,4.10,52.10,344390
tidehunter,3.78,52.40,239662
clockwerk,3.13,51.93,166862
batrider,3.03,46.29,109281
sand-king,3.01,50.95,440748
underlord,2.90,56.01,183622
spirit-breaker,2.81,54.02,455938
tiny,2.70,46.21,259039
venomancer,2.69,52.87,210413
kunkka,2.66,49.28,452233
tusk,2.61,43.10,131041
pugna,2.61,47.51,140536
techies,2.59,47.06,144730
elder-titan,2.52,55.82,119831
crystal-maiden,2.49,56.52,534083
bounty-hunter,2.48,47.18,502383
lone-druid,2.37,40.84,58067
skywrath-mage,2.15,47.65,192575
rubick,2.15,47.08,367860
keeper-of-the-light,2.13,51.23,208434
ogre-magi,2.11,55.32,415240
dark-seer,2.08,50.44,114694
bane,1.99,46.67,174385
centaur-warrunner,1.98,56.37,225715
chen,1.93,42.71,31475
phoenix,1.85,52.34,138470
earthshaker,1.80,50.84,425497
zeus,1.76,55.45,420471
slardar,1.63,51.99,402991
ancient-apparition,1.60,51.31,209338
tinker,1.60,48.28,493301
jakiro,1.55,54.04,169111
disruptor,1.55,51.75,226824
visage,1.53,45.08,33648
beastmaster,1.53,47.09,68462
lich,1.50,55.42,223740
puck,1.45,44.64,195058
timbersaw,1.33,49.44,466177
lion,1.30,48.43,566274
leshrac,1.25,46.19,66216
shadow-demon,1.17,46.40,141642
enigma,1.13,52.53,180614
undying,1.11,51.16,141209
axe,1.10,53.08,767643
night-stalker,1.07,50.50,169404
lina,1.06,44.77,298511
outworld-devourer,0.94,50.53,365826
mirana,0.75,52.33,784093
pudge,0.60,53.12,1362692
bloodseeker,0.55,50.73,566395
silencer,0.51,53.91,345626
invoker,0.47,46.85,905783
arc-warden,0.43,43.62,71523
gyrocopter,0.41,44.69,102347
razor,0.39,45.75,201051
witch-doctor,0.33,50.08,299031
brewmaster,0.30,47.60,55232
naga-siren,0.28,46.18,73337
queen-of-pain,0.26,42.24,221955
oracle,0.26,42.76,119728
viper,0.22,49.02,255947
winter-wyvern,0.20,46.07,124102
treant-protector,0.05,53.45,120376
shadow-shaman,-0.05,52.67,316600
doom,-0.16,43.31,118306
necrophos,-0.19,54.72,447161
shadow-fiend,-0.32,47.47,391751
alchemist,-0.40,48.58,384270
warlock,-0.40,55.27,168088
bristleback,-0.43,48.36,307276
vengeful-spirit,-0.53,52.06,257236
ember-spirit,-0.53,41.29,171951
riki,-0.58,53.99,750622
meepo,-0.61,47.26,170307
dragon-knight,-0.64,49.06,167366
dazzle,-0.68,51.38,249173
storm-spirit,-0.74,48.82,485002
abaddon,-0.82,55.43,187237
spectre,-0.90,54.50,197503
windranger,-1.12,44.61,415513
chaos-knight,-1.16,49.69,151316
sniper,-1.54,50.72,842882
weaver,-1.61,48.32,270114
phantom-lancer,-1.67,44.71,178494
legion-commander,-1.74,48.20,911934
enchantress,-1.84,39.13,102772
templar-assassin,-1.93,44.33,181652
death-prophet,-1.93,45.81,152321
sven,-2.42,53.14,462822
wraith-king,-2.46,54.48,420471
ursa,-2.50,53.07,352890
luna,-2.63,53.31,274335
phantom-assassin,-2.68,50.90,1065044
clinkz,-2.84,44.30,244975
slark,-2.92,49.37,623418
broodmother,-2.93,38.41,67712
huskar,-2.94,44.80,358996
faceless-void,-2.98,46.08,381532
medusa,-2.99,50.18,211204
morphling,-3.01,46.78,304171
lycan,-3.14,44.82,74285
natures-prophet,-3.20,39.90,255434
omniknight,-3.30,58.17,430350
troll-warlord,-3.35,47.96,222574
lifestealer,-3.89,46.92,339135
terrorblade,-3.95,47.13,96556
drow-ranger,-7.05,47.68,533599
anti-mage,-7.86,43.42,439740
