hero,para,rate,matches
wraith-king,9.55,48.54,158824
bristleback,7.73,55.59,78589
medusa,5.58,51.14,78533
timbersaw,3.99,53.43,184521
tidehunter,3.40,51.36,55988
dark-seer,3.02,52.28,29777
necrophos,2.68,46.55,104838
broodmother,2.53,62.12,18291
windranger,2.39,56.36,100696
techies,2.33,55.56,35285
abaddon,2.26,45.28,52705
phoenix,2.25,49.87,35322
centaur-warrunner,2.12,45.84,54763
terrorblade,2.11,52.18,31855
underlord,1.96,46.62,42739
axe,1.90,48.57,171529
gyrocopter,1.88,56.70,30088
io,1.85,64.19,15346
leshrac,1.79,55.52,17431
enchantress,1.69,61.32,25761
winter-wyvern,1.64,55.08,29114
visage,1.41,56.55,9213
kunkka,1.41,52.90,115136
jakiro,1.38,47.60,41258
dragon-knight,1.31,51.45,43876
morphling,1.29,52.60,115925
omniknight,1.25,40.50,119597
riki,1.24,46.43,167376
treant-protector,1.22,47.31,30250
naga-siren,1.08,54.70,21550
razor,1.06,55.17,53940
chaos-knight,0.97,50.37,40802
undying,0.96,50.04,35260
shadow-shaman,0.88,47.88,66550
troll-warlord,0.81,50.94,56497
viper,0.76,51.64,59151
dazzle,0.70,48.77,64037
lich,0.69,45.87,53307
mirana,0.66,48.55,195781
elder-titan,0.65,46.01,28144
doom,0.62,57.14,30469
vengeful-spirit,0.59,48.11,69232
shadow-fiend,0.48,52.80,93773
ancient-apparition,0.47,49.90,52186
invoker,0.46,53.78,225208
disruptor,0.32,49.36,53874
silencer,0.32,46.67,82520
witch-doctor,0.31,50.40,71966
sven,0.28,45.83,144811
earthshaker,0.16,50.31,96203
magnus,0.12,53.57,54621
pugna,0.10,53.92,35600
chen,0.09,58.31,9648
shadow-demon,0.03,54.32,39085
lycan,0.03,53.91,20921
lion,0.01,52.36,133788
lina,-0.01,55.86,68090
weaver,-0.01,51.05,73473
drow-ranger,-0.01,48.87,172005
outworld-devourer,-0.03,50.09,89175
warlock,-0.04,44.66,40030
puck,-0.07,56.12,47636
phantom-lancer,-0.13,54.62,49166
oracle,-0.14,57.43,31925
rubick,-0.15,54.00,84424
tiny,-0.19,55.07,67747
ogre-magi,-0.20,45.90,99979
enigma,-0.22,48.11,42326
beastmaster,-0.24,53.65,18847
bloodseeker,-0.29,49.56,131518
sand-king,-0.43,50.48,101256
slardar,-0.44,48.79,93469
spectre,-0.48,44.95,78296
ember-spirit,-0.52,58.35,49074
luna,-0.61,45.14,91071
arc-warden,-0.76,56.30,20419
zeus,-0.77,45.33,94279
skywrath-mage,-0.82,53.08,46154
faceless-void,-0.87,52.21,117997
venomancer,-0.93,48.23,50521
juggernaut,-0.96,49.69,212656
queen-of-pain,-0.97,57.46,52515
ursa,-1.02,45.27,95330
legion-commander,-1.02,50.59,221732
templar-assassin,-1.04,54.39,47157
clockwerk,-1.15,49.23,42451
sniper,-1.23,48.05,199688
brewmaster,-1.30,52.02,14829
batrider,-1.31,54.52,26178
natures-prophet,-1.35,58.14,69474
lone-druid,-1.37,59.44,16484
nyx-assassin,-1.41,49.41,88031
tinker,-1.54,51.83,115347
crystal-maiden,-1.59,44.30,115083
anti-mage,-1.60,52.20,173629
death-prophet,-1.61,52.59,38879
earth-spirit,-1.63,57.29,20875
night-stalker,-1.95,49.22,45520
storm-spirit,-1.96,49.98,131548
alchemist,-2.10,50.31,90171
bounty-hunter,-2.12,52.97,119140
tusk,-2.18,56.89,34321
slark,-2.20,48.23,217998
pudge,-2.52,46.17,323311
spirit-breaker,-3.34,46.03,107929
bane,-3.34,52.59,44131
lifestealer,-3.74,49.43,99060
meepo,-3.79,50.62,42295
clinkz,-3.81,52.49,67002
phantom-assassin,-4.03,45.93,295781
huskar,-5.17,51.21,81364
