hero,para,rate,matches
anti-mage,6.32,50.28,175235
clinkz,4.28,47.72,57262
outworld-devourer,3.87,52.17,85230
lone-druid,3.31,41.38,13656
slark,3.26,52.69,211944
naga-siren,2.99,47.61,19638
lycan,2.88,47.78,17271
nyx-assassin,2.85,51.65,67468
terrorblade,2.84,50.63,29318
ursa,2.68,56.06,86606
abaddon,2.59,57.51,38903
phantom-lancer,2.51,46.79,55108
templar-assassin,2.43,46.47,44039
pudge,2.36,54.22,263519
alchemist,2.35,50.10,97128
weaver,2.21,50.37,64083
juggernaut,2.13,51.23,208434
chaos-knight,2.04,51.48,42490
riki,2.01,55.57,130317
morphling,1.95,49.35,105947
clockwerk,1.82,51.45,36010
troll-warlord,1.77,50.68,50233
meepo,1.63,48.50,39410
huskar,1.55,47.04,69428
faceless-void,1.48,48.37,109580
mirana,1.26,52.76,145175
bounty-hunter,1.24,46.79,81349
arc-warden,1.22,44.14,16907
lifestealer,1.20,49.57,89259
storm-spirit,1.04,49.87,112006
spirit-breaker,0.94,53.21,85858
medusa,0.87,52.35,63061
tinker,0.73,48.04,104885
bloodseeker,0.67,50.97,113672
spectre,0.58,55.48,80189
tusk,0.58,42.41,26499
viper,0.53,49.34,51522
omniknight,0.52,60.64,58585
doom,0.48,43.76,26273
slardar,0.48,51.57,89841
luna,0.47,55.18,81561
drow-ranger,0.44,51.69,136786
invoker,0.42,47.00,201770
phantom-assassin,0.36,52.66,296502
brewmaster,0.33,47.79,13062
dragon-knight,0.20,49.65,43639
zeus,0.10,54.71,75132
wraith-king,0.04,56.04,111884
centaur-warrunner,-0.04,55.43,50254
ogre-magi,-0.06,54.31,53932
bristleback,-0.15,48.67,77326
razor,-0.18,45.66,47672
shadow-fiend,-0.21,47.70,85697
tiny,-0.37,45.00,63795
legion-commander,-0.41,49.02,193214
sven,-0.46,54.38,151134
ember-spirit,-0.47,41.48,47583
night-stalker,-0.53,49.87,37604
bane,-0.58,45.66,24409
undying,-0.67,50.43,28216
venomancer,-0.69,51.30,32114
vengeful-spirit,-0.88,52.04,36837
death-prophet,-0.93,46.45,30715
necrophos,-1.24,54.31,70434
sniper,-1.29,51.02,168722
silencer,-1.29,53.12,51039
queen-of-pain,-1.31,41.75,45494
beastmaster,-1.74,45.74,14901
puck,-2.16,43.22,40122
treant-protector,-2.32,52.35,18728
shadow-shaman,-2.41,51.60,33246
natures-prophet,-2.49,40.36,47986
windranger,-2.49,44.15,82512
timbersaw,-2.56,47.71,107318
axe,-2.56,51.32,155853
pugna,-2.57,45.27,22267
sand-king,-2.59,48.35,80486
magnus,-2.65,45.59,47554
underlord,-2.68,53.14,35317
lina,-2.70,43.27,47167
lion,-2.77,46.65,59757
dark-seer,-2.81,48.19,21079
warlock,-2.97,54.00,21993
lich,-3.00,53.13,26779
broodmother,-3.18,38.47,14674
enigma,-3.28,50.40,27311
earthshaker,-3.65,48.29,65063
witch-doctor,-3.73,48.22,34146
kunkka,-3.77,46.36,101044
dazzle,-3.86,49.90,27758
enchantress,-3.96,38.44,18420
phoenix,-4.01,49.49,22253
elder-titan,-4.02,52.42,19796
rubick,-4.26,44.28,42573
jakiro,-4.33,51.07,20725
gyrocopter,-4.66,42.60,25665
leshrac,-4.75,43.62,12399
batrider,-4.84,42.91,20437
crystal-maiden,-5.04,52.53,45328
earth-spirit,-5.05,39.97,13814
skywrath-mage,-6.47,43.79,26586
winter-wyvern,-6.82,43.00,15080
tidehunter,-7.46,46.89,50008
techies,-7.49,42.59,25242
disruptor,-7.75,47.17,24071
shadow-demon,-7.80,42.44,17809
ancient-apparition,-8.52,46.35,25067
oracle,-9.22,38.87,15202
visage,-9.89,40.16,6240
chen,-20.96,33.25,6716
io,-25.89,27.64,10356
