hero,para,rate,matches
chaos-knight,4.63,49.94,114132
meepo,4.49,52.72,111379
beastmaster,3.50,53.44,45277
phantom-lancer,3.23,54.24,135036
axe,2.79,46.78,461071
luna,2.37,44.30,235840
terrorblade,2.05,49.94,84067
sand-king,2.03,49.52,264729
warlock,1.92,43.36,100255
abaddon,1.81,42.91,120506
oracle,1.74,56.35,75322
vengeful-spirit,1.62,46.42,168136
tidehunter,1.59,48.27,147199
anti-mage,1.51,51.65,422538
morphling,1.41,50.47,270744
enigma,1.37,46.69,108044
centaur-warrunner,1.36,43.34,143065
dazzle,1.33,46.89,149413
nyx-assassin,1.31,48.58,207390
chen,1.31,56.88,20066
bane,1.27,52.92,102877
shadow-demon,1.19,52.77,103401
night-stalker,1.02,48.53,112651
lion,1.01,50.70,299470
dark-seer,0.96,49.05,72860
lone-druid,0.94,58.72,39454
razor,0.85,52.89,134697
ogre-magi,0.85,44.22,230402
storm-spirit,0.84,49.23,288733
medusa,0.80,46.65,155512
viper,0.77,49.47,157120
witch-doctor,0.74,48.44,173788
leshrac,0.73,52.77,43519
disruptor,0.64,47.34,132508
lich,0.63,43.69,126767
legion-commander,0.58,49.24,572267
pugna,0.57,52.00,82325
broodmother,0.51,58.80,47947
elder-titan,0.49,43.79,77482
undying,0.48,47.64,92127
shadow-shaman,0.48,45.53,158520
pudge,0.43,45.41,808264
necrophos,0.40,43.37,256802
underlord,0.37,43.75,116184
treant-protector,0.35,44.75,74303
shadow-fiend,0.32,50.54,237869
dragon-knight,0.30,48.77,117990
crystal-maiden,0.24,42.99,260087
queen-of-pain,0.24,56.04,134854
drow-ranger,0.12,46.77,425705
mirana,0.06,46.10,474181
skywrath-mage,0.05,51.38,113774
magnus,-0.00,51.35,146071
lycan,-0.00,51.73,55856
spectre,-0.03,43.02,191076
spirit-breaker,-0.05,45.44,271590
death-prophet,-0.08,51.25,92641
enchantress,-0.09,58.15,66191
naga-siren,-0.14,51.88,57522
earthshaker,-0.16,47.98,243820
arc-warden,-0.29,54.43,51632
jakiro,-0.32,44.66,98949
faceless-void,-0.34,50.33,314012
lina,-0.40,53.51,171550
tiny,-0.43,52.79,175853
brewmaster,-0.50,50.29,39630
windranger,-0.52,52.62,250302
earth-spirit,-0.58,55.79,49645
omniknight,-0.59,37.72,277658
slardar,-0.63,46.56,243517
bristleback,-0.63,49.12,188881
ancient-apparition,-0.77,47.14,121209
slark,-0.83,46.76,544720
io,-0.85,60.46,33930
gyrocopter,-0.87,53.04,79203
phantom-assassin,-0.91,45.29,784278
clockwerk,-1.11,47.11,105900
ursa,-1.11,43.12,243954
zeus,-1.18,43.02,235204
batrider,-1.19,52.46,68156
troll-warlord,-1.25,47.77,149643
natures-prophet,-1.27,56.11,160332
phoenix,-1.29,46.01,86662
doom,-1.35,53.91,74820
rubick,-1.42,51.19,223387
riki,-1.44,43.09,432525
tusk,-1.51,55.19,88329
bloodseeker,-1.52,46.83,338093
timbersaw,-1.52,48.47,287283
keeper-of-the-light,-1.53,47.10,115136
templar-assassin,-1.63,51.96,119915
outworld-devourer,-1.64,47.16,239673
huskar,-1.67,50.99,222435
sven,-1.67,42.84,381676
venomancer,-1.69,45.73,124728
silencer,-1.73,43.61,202570
visage,-1.74,52.69,23786
tinker,-1.79,49.58,294254
invoker,-1.89,50.40,565121
bounty-hunter,-2.05,50.90,293369
wraith-king,-2.08,41.31,288229
clinkz,-2.12,51.31,168615
puck,-2.21,52.83,119831
winter-wyvern,-2.37,50.80,71755
weaver,-2.40,47.72,185805
ember-spirit,-2.49,55.13,127951
techies,-2.78,50.69,89652
juggernaut,-3.17,46.49,554423
alchemist,-3.32,47.59,240400
sniper,-3.72,44.76,505078
lifestealer,-4.37,47.04,258244
