hero,para,rate,matches
meepo,3.10,46.98,90805
anti-mage,3.07,46.53,364893
chen,3.02,41.18,16311
wraith-king,2.73,55.35,235639
juggernaut,2.66,49.28,452233
tidehunter,2.49,49.71,109038
io,2.39,36.13,25831
storm-spirit,2.34,48.30,226549
underlord,2.33,53.67,87623
faceless-void,2.19,46.51,280509
slark,2.13,49.90,472450
lifestealer,2.01,47.77,206796
huskar,1.96,45.05,175841
terrorblade,1.94,47.99,70653
shadow-demon,1.84,44.70,93319
visage,1.80,43.20,18197
luna,1.79,53.71,200524
ursa,1.64,53.30,203213
lycan,1.61,45.01,43758
necrophos,1.59,53.69,211589
legion-commander,1.57,47.80,465733
undying,1.51,49.34,68517
doom,1.41,42.02,58911
morphling,1.28,46.84,240000
alchemist,1.22,47.36,191098
treant-protector,1.10,52.01,59199
oracle,1.08,41.15,60292
spirit-breaker,0.85,50.98,203670
bane,0.84,44.16,86529
beastmaster,0.79,44.76,33888
ogre-magi,0.73,52.57,171335
spectre,0.73,53.40,165405
omniknight,0.72,58.66,209003
outworld-devourer,0.71,48.41,185300
dazzle,0.69,50.08,122076
templar-assassin,0.62,43.50,90461
viper,0.56,47.19,122184
timbersaw,0.53,47.05,225684
dragon-knight,0.52,47.64,87771
night-stalker,0.51,48.21,83864
nyx-assassin,0.37,48.24,165921
chaos-knight,0.22,48.39,87051
phantom-assassin,0.22,50.42,638507
slardar,0.10,49.21,185860
brewmaster,0.06,45.51,29752
sven,0.06,52.51,312338
elder-titan,-0.01,52.46,58447
dark-seer,-0.02,47.42,62809
centaur-warrunner,-0.04,53.28,107074
troll-warlord,-0.07,47.60,121936
arc-warden,-0.08,41.45,39397
abaddon,-0.16,53.83,90435
pudge,-0.16,50.73,609932
venomancer,-0.35,49.32,98414
razor,-0.45,43.40,107158
silencer,-0.49,51.40,163993
bounty-hunter,-0.62,43.80,236019
pugna,-0.74,43.99,68270
clockwerk,-0.81,47.98,82156
lone-druid,-0.81,37.69,31823
naga-siren,-0.92,43.68,46609
enigma,-0.92,49.49,104859
warlock,-1.03,52.96,82223
phoenix,-1.06,48.87,69498
batrider,-1.07,42.50,54745
riki,-1.17,51.71,348576
earth-spirit,-1.18,39.52,36528
clinkz,-1.22,43.09,140285
shadow-shaman,-1.23,50.09,130486
ancient-apparition,-1.23,47.91,104709
axe,-1.24,49.88,348709
death-prophet,-1.30,44.15,71611
leshrac,-1.33,43.07,35377
bloodseeker,-1.34,47.81,269590
skywrath-mage,-1.38,44.05,92982
lion,-1.41,45.18,245601
weaver,-1.60,46.37,153627
vengeful-spirit,-1.70,49.48,128466
phantom-lancer,-1.72,42.76,108516
mirana,-1.87,49.01,389928
crystal-maiden,-1.96,52.13,213054
sand-king,-1.98,46.54,201887
medusa,-2.07,48.71,132778
witch-doctor,-2.08,46.93,141773
magnus,-2.21,43.69,125947
shadow-fiend,-2.22,44.63,188502
zeus,-2.25,51.33,182439
bristleback,-2.26,45.53,142070
broodmother,-2.35,36.80,37303
jakiro,-2.41,49.99,80583
winter-wyvern,-2.65,42.84,60364
ember-spirit,-2.69,38.52,97469
queen-of-pain,-2.76,39.09,103670
tinker,-2.78,44.27,221049
lina,-2.94,41.09,138243
disruptor,-2.96,47.52,108874
rubick,-3.08,42.76,171689
earthshaker,-3.14,46.45,186745
gyrocopter,-3.19,41.19,65042
sniper,-3.21,47.93,414183
tiny,-3.39,41.57,132779
lich,-3.44,50.81,104781
puck,-3.46,40.59,89409
keeper-of-the-light,-3.77,46.36,101044
enchantress,-3.82,36.52,53468
invoker,-3.85,42.94,419583
tusk,-3.98,38.48,64133
techies,-4.21,42.05,69112
windranger,-4.22,41.33,196442
drow-ranger,-4.44,47.11,324231
natures-prophet,-5.42,37.17,133022
