hero,para,rate,matches
anti-mage,6.60,55.36,997118
ember-spirit,5.28,60.60,252643
broodmother,4.96,62.47,88998
bristleback,4.39,52.70,429079
arc-warden,4.31,58.03,90272
naga-siren,4.31,55.28,102135
natures-prophet,3.91,60.12,351898
clinkz,3.65,55.42,354384
juggernaut,3.52,50.78,1148134
enchantress,3.40,61.24,132277
lycan,3.36,54.56,108617
terrorblade,3.35,51.66,160070
huskar,3.32,54.66,537383
silencer,3.02,46.79,358525
bloodseeker,2.92,50.02,816128
viper,2.90,51.59,334694
drow-ranger,2.80,49.10,928230
phantom-lancer,2.80,55.09,289060
death-prophet,2.73,53.77,182107
brewmaster,2.67,52.97,72147
warlock,2.58,44.70,183555
alchemist,2.57,51.57,534521
queen-of-pain,2.54,58.39,262943
sniper,2.46,48.71,1207651
venomancer,2.22,48.62,227409
weaver,2.17,51.02,395399
meepo,1.85,52.46,227075
puck,1.69,55.99,218093
slark,1.65,48.99,1201217
doom,1.63,56.59,140073
zeus,1.63,45.30,478644
undying,1.54,49.20,160208
leshrac,1.34,54.15,78901
bounty-hunter,1.29,53.69,604270
tinker,1.24,52.17,583975
dark-seer,1.08,50.17,126286
keeper-of-the-light,1.07,49.41,214342
tusk,1.06,57.67,166625
lone-druid,0.95,59.76,77702
visage,0.85,55.13,41061
faceless-void,0.81,51.97,590945
night-stalker,0.81,49.49,221449
gyrocopter,0.79,54.98,149170
earth-spirit,0.74,57.57,83659
storm-spirit,0.68,50.21,552985
pugna,0.64,53.10,165883
techies,0.62,53.52,198435
spectre,0.61,44.34,387481
skywrath-mage,0.58,52.71,227379
necrophos,0.56,44.48,517095
chen,0.25,57.31,38697
lina,0.24,54.90,351942
morphling,0.22,50.93,516015
pudge,0.22,46.36,1678199
batrider,0.19,54.24,115024
outworld-devourer,0.16,49.07,424104
rubick,0.16,53.05,348104
invoker,0.15,52.50,1097879
disruptor,0.07,48.12,217134
io,0.05,62.01,63134
lifestealer,0.05,50.26,593906
bane,0.01,53.30,204789
phoenix,-0.06,47.63,154395
nyx-assassin,-0.07,48.97,350155
windranger,-0.16,53.86,545106
mirana,-0.21,47.02,924987
earthshaker,-0.32,48.95,482093
shadow-fiend,-0.40,51.22,499587
tiny,-0.49,53.80,352753
chaos-knight,-0.50,48.53,244359
shadow-shaman,-0.54,46.10,345989
kunkka,-0.57,50.76,553549
beastmaster,-0.78,52.26,78828
underlord,-0.81,44.26,198072
centaur-warrunner,-0.96,43.36,271004
clockwerk,-0.98,48.21,184710
phantom-assassin,-0.99,46.29,1948267
razor,-1.02,52.94,273068
witch-doctor,-1.12,48.58,338985
timbersaw,-1.14,49.69,551088
treant-protector,-1.17,45.10,140659
elder-titan,-1.25,44.05,125645
jakiro,-1.27,45.26,184629
enigma,-1.34,46.48,219002
ancient-apparition,-1.37,47.89,219643
ogre-magi,-1.44,44.24,422888
spirit-breaker,-1.60,45.77,582407
lich,-1.75,43.68,252391
axe,-1.75,45.74,1013059
magnus,-1.81,51.45,254904
tidehunter,-1.93,47.62,243854
templar-assassin,-1.95,52.81,232377
abaddon,-1.98,42.32,243750
crystal-maiden,-2.07,43.01,547717
dragon-knight,-2.29,48.54,240619
vengeful-spirit,-2.40,45.60,307009
shadow-demon,-2.56,51.83,164921
riki,-2.65,43.57,1090672
medusa,-2.72,46.04,316546
sand-king,-2.76,48.22,477671
luna,-2.93,43.01,458484
slardar,-2.93,46.50,467636
troll-warlord,-2.94,47.97,384237
sven,-2.98,43.27,910288
lion,-3.13,49.64,571931
ursa,-3.22,43.20,587079
oracle,-3.78,54.28,130178
omniknight,-4.18,37.31,559432
winter-wyvern,-4.85,50.51,162715
dazzle,-5.12,44.90,322752
wraith-king,-5.32,40.91,708385
