hero,para,rate,matches
io,4.70,37.96,56132
broodmother,4.41,40.38,75967
techies,4.37,46.90,157935
dark-seer,4.08,50.45,111910
phoenix,3.57,52.25,135693
elder-titan,3.10,55.17,101528
brewmaster,2.95,47.89,59125
tidehunter,2.89,50.98,210441
visage,2.67,44.63,33995
lich,2.61,55.07,217197
bristleback,2.34,48.74,341355
magnus,2.32,46.78,212832
crystal-maiden,2.30,55.46,487063
enchantress,2.25,39.84,99225
puck,2.25,44.04,214691
queen-of-pain,2.08,42.07,245981
ember-spirit,2.06,41.43,211937
tinker,2.02,47.52,559358
gyrocopter,2.01,44.46,127821
naga-siren,2.00,46.02,82819
invoker,1.81,46.52,1125469
ancient-apparition,1.72,50.41,197014
kunkka,1.57,47.80,465733
chen,1.53,41.61,26681
omniknight,1.43,60.10,508292
timbersaw,1.29,48.46,484707
zeus,1.27,54.23,472087
treant-protector,1.26,53.15,116837
jakiro,1.18,52.89,161169
dazzle,1.18,51.39,262502
leshrac,1.12,45.19,68980
shadow-fiend,1.12,47.21,467707
abaddon,1.11,55.57,192388
earthshaker,1.05,49.52,422303
windranger,1.04,44.64,488143
terrorblade,1.01,48.61,129461
skywrath-mage,0.78,46.07,235984
lina,0.66,43.65,335929
disruptor,0.61,50.33,195979
meepo,0.60,46.89,199241
warlock,0.59,54.87,162560
ursa,0.56,53.79,429467
riki,0.46,53.62,797633
underlord,0.42,53.72,164556
sniper,0.41,50.78,1078368
razor,0.40,44.81,229173
witch-doctor,0.39,49.17,297536
medusa,0.32,50.95,268026
phantom-lancer,0.29,44.67,236422
sand-king,0.26,48.65,388253
weaver,0.20,48.27,338566
slardar,0.14,50.28,413547
viper,0.13,48.03,292411
troll-warlord,0.12,48.75,286483
centaur-warrunner,0.09,54.40,215256
clinkz,0.08,44.69,312074
arc-warden,0.07,42.54,79090
night-stalker,0.05,49.04,179262
lycan,0.04,45.35,73771
tusk,-0.02,41.08,137710
earth-spirit,-0.05,40.99,67551
oracle,-0.06,41.71,102556
chaos-knight,-0.11,49.28,185165
dragon-knight,-0.12,48.38,190828
death-prophet,-0.14,45.71,165545
sven,-0.17,53.43,666404
enigma,-0.21,50.89,119650
rubick,-0.22,45.05,340865
pugna,-0.28,45.23,140793
phantom-assassin,-0.29,51.21,1561689
keeper-of-the-light,-0.41,49.02,193214
luna,-0.48,53.56,384966
venomancer,-0.56,50.26,191279
alchemist,-0.56,47.57,431972
batrider,-0.58,43.74,99407
clockwerk,-0.58,49.13,157123
tiny,-0.62,43.79,298096
lion,-0.64,46.57,550522
undying,-0.66,49.32,130686
lone-druid,-0.72,38.71,51758
axe,-0.72,51.18,652842
silencer,-0.73,52.32,339105
shadow-shaman,-0.78,51.36,302206
bane,-0.81,44.46,171451
winter-wyvern,-0.90,44.64,111772
nyx-assassin,-0.92,48.65,321185
mirana,-0.97,50.50,793911
ogre-magi,-0.98,52.72,376953
vengeful-spirit,-0.98,50.89,251035
necrophos,-1.03,53.33,480670
anti-mage,-1.07,45.69,730676
huskar,-1.08,44.73,440344
spectre,-1.19,53.42,310374
slark,-1.27,49.27,987953
templar-assassin,-1.33,43.68,208713
pudge,-1.39,51.14,1474732
wraith-king,-1.42,54.14,425593
bloodseeker,-1.44,48.80,566232
faceless-void,-1.44,45.88,441440
bounty-hunter,-1.45,44.45,500378
outworld-devourer,-1.52,48.37,372711
doom,-1.52,41.81,93299
spirit-breaker,-1.54,50.81,473206
juggernaut,-1.74,48.20,911934
morphling,-1.83,46.43,459582
beastmaster,-2.41,44.35,59443
natures-prophet,-2.55,39.28,226314
storm-spirit,-2.84,46.87,518956
drow-ranger,-3.19,48.74,753352
shadow-demon,-3.19,43.50,112774
lifestealer,-3.76,46.07,334701
