hero,para,rate,matches
io,9.35,64.17,7072
tidehunter,8.28,48.87,25303
meepo,7.99,51.90,15258
visage,5.71,54.16,7901
elder-titan,4.90,43.26,14481
earth-spirit,4.78,56.32,7614
chen,4.53,56.21,4316
omniknight,4.31,37.26,40429
underlord,3.87,42.85,20280
naga-siren,3.75,51.42,14373
treant-protector,3.63,43.77,16316
chaos-knight,3.37,46.87,24037
phantom-lancer,3.19,51.74,28596
shadow-shaman,3.10,44.29,29926
warlock,3.06,41.46,19548
arc-warden,3.04,53.80,11736
dark-seer,3.04,47.61,14954
winter-wyvern,2.88,51.07,14703
enigma,2.76,44.90,20120
broodmother,2.58,57.61,13260
templar-assassin,2.47,51.67,20614
dragon-knight,2.46,47.37,24410
faceless-void,2.44,49.29,45770
techies,2.40,50.94,15262
jakiro,2.20,43.38,19573
alchemist,2.10,47.82,38985
terrorblade,1.99,47.48,19498
timbersaw,1.98,47.75,37892
shadow-demon,1.96,50.73,12545
batrider,1.96,51.69,13990
beastmaster,1.84,50.14,8594
necrophos,1.79,41.60,40739
magnus,1.66,49.77,23915
ancient-apparition,1.53,45.82,20779
brewmaster,1.33,48.79,10885
slardar,1.28,45.05,36562
crystal-maiden,1.25,41.07,42404
sand-king,1.00,46.61,39454
axe,1.00,43.58,64137
lycan,0.99,49.83,15223
slark,0.95,45.20,78279
troll-warlord,0.92,46.41,28330
lich,0.88,41.45,24690
abaddon,0.80,40.16,24500
night-stalker,0.73,45.99,23408
disruptor,0.69,44.97,21157
ursa,0.60,41.51,44971
morphling,0.50,47.61,35740
spirit-breaker,0.48,43.31,45910
storm-spirit,0.42,46.63,40658
oracle,0.42,53.23,14009
outworld-devourer,0.39,45.74,32026
dazzle,0.37,44.07,25282
tinker,0.30,48.24,39029
puck,0.16,51.72,16796
earthshaker,0.13,45.74,38641
weaver,0.13,46.56,35821
undying,0.13,45.08,18789
venomancer,0.12,44.20,24846
bounty-hunter,0.11,49.63,48991
lone-druid,0.10,55.89,8184
riki,-0.05,41.36,67919
vengeful-spirit,-0.08,43.28,29595
ember-spirit,-0.12,54.11,20722
phoenix,-0.15,44.17,13682
bane,-0.17,49.78,20666
sven,-0.27,41.12,57014
centaur-warrunner,-0.31,40.30,25788
medusa,-0.37,43.75,28749
lion,-0.42,47.60,44057
phantom-assassin,-0.48,43.13,112671
skywrath-mage,-0.61,48.67,21904
witch-doctor,-0.63,45.41,30121
bloodseeker,-0.74,44.84,55845
nyx-assassin,-0.80,45.21,35852
kunkka,-0.81,47.23,43519
tiny,-0.88,50.19,32384
wraith-king,-1.11,39.43,48466
enchantress,-1.28,55.15,16273
tusk,-1.28,52.98,17095
luna,-1.36,40.39,40301
doom,-1.37,51.55,14050
pudge,-1.41,42.25,108664
razor,-1.52,49.29,27815
death-prophet,-1.52,48.16,21125
legion-commander,-1.58,45.83,81976
clockwerk,-1.62,44.53,20116
shadow-fiend,-1.67,47.19,35920
queen-of-pain,-1.74,52.60,25096
zeus,-1.90,40.42,40010
bristleback,-1.93,46.14,34473
invoker,-1.94,48.03,67235
lina,-2.06,50.28,32334
keeper-of-the-light,-2.15,44.48,17431
mirana,-2.25,42.72,62109
windranger,-2.33,49.33,41349
drow-ranger,-2.43,43.26,63904
ogre-magi,-2.49,40.47,31162
clinkz,-2.49,48.78,34659
huskar,-2.53,48.21,40672
gyrocopter,-2.64,49.77,19518
natures-prophet,-3.04,52.81,30917
pugna,-3.27,47.71,19940
rubick,-3.30,47.89,27356
juggernaut,-3.33,44.11,75959
viper,-3.47,45.08,32276
anti-mage,-3.77,46.67,64354
spectre,-4.07,39.05,30169
lifestealer,-4.33,44.77,41785
silencer,-4.70,40.05,32537
sniper,-5.45,41.72,79172
