hero,para,rate,matches
broodmother,8.68,38.54,11012
naga-siren,8.48,45.28,12010
lycan,7.82,45.23,12942
natures-prophet,6.21,39.35,24271
enchantress,5.79,37.81,12565
brewmaster,5.44,45.46,9126
phantom-lancer,5.34,43.37,24920
chaos-knight,5.00,48.19,21484
night-stalker,4.95,47.85,20140
gyrocopter,4.50,42.04,16149
terrorblade,4.16,46.56,16906
bane,4.13,43.16,15325
death-prophet,3.91,44.04,16003
visage,3.60,41.57,6120
oracle,3.28,39.69,10321
clinkz,3.17,42.59,28354
huskar,2.99,43.09,33250
lone-druid,2.82,36.78,6942
razor,2.73,42.39,22325
arc-warden,2.60,40.20,9275
pugna,2.40,42.98,14413
treant-protector,2.39,50.22,12656
enigma,2.32,48.67,15695
queen-of-pain,2.19,38.76,18822
dragon-knight,2.18,45.99,21227
vengeful-spirit,2.18,49.00,21910
viper,2.10,45.48,25994
troll-warlord,2.09,46.20,24377
ursa,2.00,51.05,38708
lifestealer,1.83,45.27,35633
dark-seer,1.75,45.83,11904
bristleback,1.64,44.93,29150
clockwerk,1.63,46.73,16797
earthshaker,1.49,46.25,29369
anti-mage,1.49,43.42,54971
tusk,1.46,38.35,13699
magnus,1.42,42.93,18939
windranger,1.39,41.39,31777
jakiro,1.39,49.51,14522
abaddon,1.38,52.24,19677
riki,1.35,50.61,55434
slardar,1.35,47.41,31089
centaur-warrunner,1.34,51.60,21752
tiny,1.30,41.23,27108
sven,1.28,50.72,51824
winter-wyvern,1.27,42.19,10970
juggernaut,1.25,46.19,66216
faceless-void,1.25,43.69,41071
slark,1.21,47.04,67982
shadow-shaman,1.18,48.89,21573
legion-commander,1.12,45.19,68980
spirit-breaker,1.11,48.70,37511
bloodseeker,1.08,46.58,46179
lina,1.08,40.45,23000
witch-doctor,1.08,46.04,21025
dazzle,0.89,47.77,17798
luna,0.85,50.81,33419
phantom-assassin,0.84,48.33,97925
undying,0.78,46.58,15490
drow-ranger,0.78,47.28,52586
bounty-hunter,0.72,42.03,38547
omniknight,0.55,56.19,28832
wraith-king,0.42,51.71,43700
warlock,0.38,51.32,14347
weaver,0.32,44.89,29605
underlord,0.28,50.20,16866
meepo,0.21,43.30,12239
sand-king,0.14,45.16,31747
venomancer,0.12,47.16,19043
silencer,0.10,49.31,23207
medusa,0.10,47.40,24555
doom,0.09,39.17,11903
mirana,0.06,47.59,46140
batrider,-0.16,40.57,10962
axe,-0.22,48.01,55381
lion,-0.38,43.30,29640
skywrath-mage,-0.53,42.09,15646
lich,-0.55,49.96,17583
spectre,-0.63,50.31,28138
elder-titan,-0.67,49.74,11254
beastmaster,-0.75,41.74,7276
ogre-magi,-0.96,49.32,22353
pudge,-1.06,47.90,82811
sniper,-1.26,46.54,63663
disruptor,-1.29,45.98,14982
kunkka,-1.33,43.07,35377
alchemist,-1.53,43.73,32609
shadow-fiend,-1.59,42.59,27636
nyx-assassin,-1.81,44.85,26536
necrophos,-1.93,49.49,29520
ember-spirit,-2.10,36.54,17494
outworld-devourer,-2.37,44.60,24941
storm-spirit,-2.56,43.67,29502
templar-assassin,-2.58,39.84,16429
crystal-maiden,-2.61,49.45,29118
chen,-2.63,36.71,3487
tidehunter,-2.87,44.79,20423
zeus,-2.90,48.66,28233
puck,-3.01,38.54,12027
morphling,-4.14,42.07,30424
shadow-demon,-4.60,39.64,9712
keeper-of-the-light,-4.75,43.62,12399
rubick,-4.80,39.77,19313
phoenix,-5.05,44.64,10184
tinker,-5.08,40.98,29157
timbersaw,-5.64,41.92,31147
invoker,-6.07,39.74,48873
techies,-7.14,38.59,11747
ancient-apparition,-7.21,42.80,15434
earth-spirit,-7.49,34.90,5860
io,-8.41,30.35,5117
