hero,para,rate,matches
tidehunter,5.22,56.94,70321
meepo,5.12,59.95,89090
omniknight,4.26,46.23,131122
io,3.75,69.59,18796
medusa,3.58,54.78,74086
phantom-assassin,3.31,54.04,374481
necrophos,3.20,51.37,120249
warlock,2.78,50.47,54766
dragon-knight,2.73,56.73,59955
lone-druid,2.67,66.17,20876
troll-warlord,2.63,56.42,79052
axe,2.61,53.48,206129
underlord,2.52,51.44,50614
slardar,2.51,54.80,108598
chaos-knight,2.47,55.67,70884
sven,2.13,51.22,181872
chen,1.92,63.72,11020
vengeful-spirit,1.84,53.25,82090
ursa,1.79,51.08,129698
luna,1.70,50.70,112092
dazzle,1.64,53.75,76243
beastmaster,1.52,59.06,22011
terrorblade,1.44,56.33,43728
legion-commander,1.42,56.33,263217
abaddon,1.35,49.36,71466
drow-ranger,1.30,54.01,196321
alchemist,1.11,56.44,107885
timbersaw,1.04,56.39,117599
tusk,0.96,63.02,42898
shadow-fiend,0.93,57.48,106358
earthshaker,0.92,55.17,112599
enigma,0.90,53.14,53801
morphling,0.88,56.85,108973
templar-assassin,0.87,59.85,56165
treant-protector,0.86,51.63,39191
razor,0.86,59.47,69946
shadow-shaman,0.85,52.36,87877
elder-titan,0.83,50.57,34788
witch-doctor,0.79,55.12,93122
spirit-breaker,0.73,52.45,136984
techies,0.70,59.08,42388
wraith-king,0.69,49.08,154580
earth-spirit,0.65,62.90,22534
viper,0.47,55.95,83852
jakiro,0.46,51.63,51171
tiny,0.45,59.79,84780
spectre,0.40,49.81,96229
disruptor,0.37,53.85,62604
winter-wyvern,0.35,58.77,35635
bristleback,0.28,56.18,96761
lion,0.27,56.92,146643
crystal-maiden,0.25,49.58,137759
sniper,0.01,53.11,244980
gyrocopter,0.00,60.00,42066
faceless-void,-0.01,57.07,138333
doom,-0.11,61.02,35715
ogre-magi,-0.11,50.38,108268
bounty-hunter,-0.13,58.43,138940
ancient-apparition,-0.15,54.03,59120
magnus,-0.20,57.78,65903
outworld-devourer,-0.26,54.41,94470
enchantress,-0.27,64.30,35925
storm-spirit,-0.33,55.23,121011
undying,-0.42,53.79,45546
silencer,-0.43,50.75,97655
night-stalker,-0.43,54.41,57112
kunkka,-0.48,56.31,126767
bloodseeker,-0.52,53.87,165804
lifestealer,-0.53,55.49,121678
clinkz,-0.56,58.61,94370
windranger,-0.56,59.08,119105
keeper-of-the-light,-0.58,54.13,53307
leshrac,-0.61,58.55,24690
clockwerk,-0.62,53.91,49408
ember-spirit,-0.67,62.47,56482
batrider,-0.68,59.19,32573
dark-seer,-0.78,54.75,37783
puck,-0.79,60.01,48396
death-prophet,-0.88,57.34,57198
venomancer,-0.96,52.61,61703
riki,-0.97,49.82,202237
juggernaut,-1.06,54.04,236524
queen-of-pain,-1.08,61.62,62235
lina,-1.08,59.56,86109
centaur-warrunner,-1.18,48.74,68966
invoker,-1.21,57.22,235991
zeus,-1.31,49.46,113483
skywrath-mage,-1.31,57.15,57182
sand-king,-1.55,54.28,116291
nyx-assassin,-1.59,53.69,90789
pudge,-1.63,50.97,362003
arc-warden,-1.64,60.04,26890
lycan,-1.65,57.32,30352
visage,-1.70,59.08,14072
pugna,-1.76,57.23,44096
phoenix,-1.78,52.28,40158
shadow-demon,-1.80,57.62,39442
naga-siren,-1.84,57.41,29924
bane,-1.88,57.68,54170
mirana,-1.89,51.68,194028
rubick,-1.89,57.35,106035
weaver,-1.98,54.39,92556
oracle,-2.00,60.56,34665
broodmother,-2.03,63.44,26520
tinker,-2.06,55.88,117529
brewmaster,-2.09,55.92,22168
phantom-lancer,-2.29,57.71,71685
slark,-2.45,52.44,240545
huskar,-3.04,56.62,113865
natures-prophet,-3.28,61.10,81115
anti-mage,-3.62,55.37,184803
