hero,para,rate,matches
death-prophet,6.99,54.93,52970
clinkz,5.61,53.02,89447
anti-mage,4.00,53.81,178199
abaddon,3.02,62.22,62192
slark,3.00,57.12,224867
legion-commander,2.61,55.07,217197
spectre,2.50,61.01,104524
night-stalker,2.38,55.87,48969
lone-druid,2.27,45.41,16249
riki,2.18,60.13,164858
lycan,2.14,51.98,26013
huskar,2.09,51.83,95213
templar-assassin,2.06,50.83,51574
weaver,1.95,54.78,81105
tiny,1.86,50.53,71922
phantom-lancer,1.86,51.02,62888
natures-prophet,1.76,46.57,58416
wraith-king,1.66,61.36,151221
spirit-breaker,1.61,58.05,109675
pudge,1.55,58.26,271702
juggernaut,1.50,55.42,223740
drow-ranger,1.47,56.72,164678
lifestealer,1.45,54.21,105995
phantom-assassin,1.43,57.70,337588
doom,1.40,48.64,30179
alchemist,1.40,54.14,101562
storm-spirit,1.38,54.55,109104
outworld-devourer,1.24,55.34,86151
bristleback,1.23,53.84,85774
faceless-void,1.18,52.73,168025
viper,1.17,54.16,73740
troll-warlord,1.15,54.87,68486
chaos-knight,0.95,55.41,54720
shadow-fiend,0.93,52.73,92507
bloodseeker,0.80,55.50,138153
ursa,0.76,59.41,113139
tusk,0.76,46.92,32825
morphling,0.69,53.22,100949
broodmother,0.63,44.35,21704
razor,0.62,50.49,60886
slardar,0.41,55.98,93263
meepo,0.38,52.37,41327
timbersaw,0.35,53.60,101473
ember-spirit,0.34,46.22,55110
centaur-warrunner,0.31,59.99,58912
ogre-magi,0.25,58.87,59390
mirana,0.21,56.65,144535
sven,0.20,59.11,174028
luna,0.09,59.34,98387
windranger,-0.02,49.71,96768
sniper,-0.17,56.02,211694
treant-protector,-0.19,57.88,27059
dragon-knight,-0.21,53.88,56183
bounty-hunter,-0.24,50.54,102223
beastmaster,-0.30,50.85,17039
undying,-0.33,55.02,34594
brewmaster,-0.36,51.89,18873
magnus,-0.46,51.04,66849
vengeful-spirit,-0.52,56.62,48193
leshrac,-0.55,49.96,17583
clockwerk,-0.58,54.65,40830
queen-of-pain,-0.61,46.42,53155
enchantress,-0.71,44.05,26089
axe,-0.75,56.65,183309
terrorblade,-0.76,53.27,38370
puck,-0.86,48.18,41048
silencer,-0.95,57.65,60800
naga-siren,-1.06,50.14,24570
zeus,-1.10,58.38,87259
omniknight,-1.12,63.77,68584
sand-king,-1.20,53.43,90342
necrophos,-1.24,58.62,80380
invoker,-1.29,50.59,200776
lina,-1.35,48.24,59805
nyx-assassin,-1.51,53.84,69615
medusa,-1.52,55.47,69976
arc-warden,-1.53,47.29,21409
earthshaker,-1.56,53.70,80513
skywrath-mage,-1.84,50.32,34133
bane,-1.86,49.44,31756
tinker,-1.87,51.17,103318
tidehunter,-2.04,53.97,56730
gyrocopter,-2.18,48.05,36251
shadow-shaman,-2.26,55.99,46198
batrider,-2.27,48.41,23500
venomancer,-2.43,54.72,41408
rubick,-2.54,49.42,46703
warlock,-2.66,58.41,31445
pugna,-2.74,49.52,27513
crystal-maiden,-2.81,57.99,63906
underlord,-2.89,57.27,40123
keeper-of-the-light,-3.00,53.13,26779
earth-spirit,-3.18,45.01,14725
oracle,-3.27,45.68,19168
chen,-3.41,44.87,6819
kunkka,-3.44,50.81,104781
jakiro,-3.44,55.79,28981
phoenix,-3.64,53.95,25739
techies,-3.68,48.62,28685
visage,-3.80,47.14,9875
lion,-3.81,50.43,72093
witch-doctor,-3.94,52.38,48518
dazzle,-3.99,54.08,37172
dark-seer,-4.06,51.84,28141
elder-titan,-4.66,56.24,24667
disruptor,-4.88,52.86,33026
winter-wyvern,-5.02,48.05,21312
enigma,-5.18,53.61,44405
ancient-apparition,-5.23,52.23,30781
shadow-demon,-5.24,47.84,20191
io,-6.45,38.86,10084
