hero,para,rate,matches
spectre,10.62,48.49,188786
zeus,8.80,48.24,220404
pudge,6.17,48.87,790686
nyx-assassin,5.85,51.62,173752
tiny,5.64,56.87,176436
centaur-warrunner,5.31,45.86,144955
tinker,5.14,53.94,246366
elder-titan,4.56,46.40,62326
earthshaker,4.51,51.08,218789
clockwerk,4.44,50.61,91768
timbersaw,4.32,52.19,255328
kunkka,4.23,52.96,258244
alchemist,4.10,52.09,243212
keeper-of-the-light,3.95,50.57,99060
leshrac,3.81,55.23,41785
pugna,3.80,54.52,75899
batrider,3.61,55.85,58436
arc-warden,3.49,57.33,44904
ember-spirit,3.40,59.28,109966
gyrocopter,3.28,56.10,78419
silencer,3.22,46.64,172693
bloodseeker,3.00,49.81,362572
outworld-devourer,2.91,50.18,198326
doom,2.71,56.96,68608
phoenix,2.67,48.69,73111
jakiro,2.46,46.73,90375
viper,2.41,51.11,168871
earth-spirit,2.40,58.29,39450
sand-king,2.11,50.39,222746
rubick,1.99,53.79,158152
necrophos,1.98,44.87,241808
techies,1.92,53.97,88631
huskar,1.81,53.62,251896
chen,1.74,57.93,18124
invoker,1.70,53.07,484910
bounty-hunter,1.68,53.66,265983
skywrath-mage,1.65,53.03,105459
ogre-magi,1.59,45.36,209648
crystal-maiden,1.52,44.35,250426
enchantress,1.45,59.85,68225
visage,1.41,55.19,21928
puck,1.38,55.58,96589
disruptor,1.37,48.51,113063
lina,1.27,55.23,164973
tusk,1.14,57.49,82442
underlord,1.01,44.84,98899
sniper,1.01,47.78,513536
axe,1.00,46.78,455676
warlock,0.94,43.75,92192
brewmaster,0.91,51.82,37929
dragon-knight,0.80,49.83,123424
night-stalker,0.77,49.23,116067
lich,0.66,44.51,121678
naga-siren,0.55,53.06,53202
venomancer,0.55,47.59,112928
queen-of-pain,0.45,56.96,121523
lone-druid,0.39,59.19,38093
spirit-breaker,0.26,46.40,262549
bane,0.21,53.18,98371
shadow-fiend,0.01,51.20,217099
mirana,-0.02,46.87,389213
legion-commander,-0.04,49.75,617704
oracle,-0.10,56.13,59297
storm-spirit,-0.10,49.58,230104
slardar,-0.15,47.59,236159
lion,-0.18,50.91,271169
death-prophet,-0.27,51.96,90966
wraith-king,-0.28,42.86,313569
meepo,-0.50,51.01,94859
luna,-0.64,43.80,220912
undying,-0.67,47.90,83724
morphling,-0.76,50.19,224778
shadow-demon,-0.80,52.53,71751
treant-protector,-0.90,44.99,70622
witch-doctor,-0.98,48.42,157548
broodmother,-1.00,58.70,46774
natures-prophet,-1.02,57.04,151157
io,-1.12,61.06,30984
drow-ranger,-1.19,46.96,409353
juggernaut,-1.25,48.21,503840
lycan,-1.33,51.85,57395
shadow-shaman,-1.35,45.50,165037
clinkz,-1.38,52.49,166976
dark-seer,-1.38,48.72,63011
ancient-apparition,-1.46,47.61,106112
razor,-1.71,52.35,135900
vengeful-spirit,-1.94,45.58,151305
beastmaster,-1.95,51.42,41516
sven,-2.05,43.46,414019
tidehunter,-2.12,47.30,124133
bristleback,-2.15,49.17,205168
winter-wyvern,-2.20,51.68,67530
anti-mage,-2.22,50.55,368953
magnus,-2.81,50.70,126451
medusa,-2.82,45.76,148415
terrorblade,-3.37,48.07,81966
phantom-lancer,-3.48,51.49,138262
abaddon,-3.53,41.43,115376
slark,-3.90,46.09,511076
chaos-knight,-4.18,46.51,119475
windranger,-4.30,51.40,243942
phantom-assassin,-4.42,44.46,810876
faceless-void,-4.82,48.84,267566
riki,-5.01,42.29,424630
ursa,-5.32,42.04,286837
dazzle,-5.33,44.58,133702
weaver,-5.50,46.97,186157
templar-assassin,-5.70,50.57,113979
troll-warlord,-6.50,45.99,176895
enigma,-6.50,43.83,104808
omniknight,-6.62,36.15,246780
