hero,para,rate,matches
visage,5.17,45.48,18251
io,5.14,37.89,26058
slardar,4.09,52.02,211800
nyx-assassin,3.69,50.67,166864
elder-titan,3.67,55.24,50600
earth-spirit,3.52,42.22,34365
puck,3.41,44.30,100412
ancient-apparition,3.40,51.00,94873
tidehunter,3.38,50.98,103049
batrider,3.23,45.18,52849
techies,3.18,46.12,67938
sand-king,3.10,49.78,186397
axe,2.79,52.76,309419
gyrocopter,2.66,44.51,61541
dark-seer,2.55,49.47,55661
bounty-hunter,2.43,45.97,236687
lina,2.42,44.18,145773
disruptor,2.38,50.97,100522
storm-spirit,2.30,49.11,265141
brewmaster,2.29,47.34,30770
chen,2.28,41.69,14081
broodmother,2.25,39.31,39210
skywrath-mage,2.23,46.49,91683
jakiro,2.09,53.13,78874
centaur-warrunner,2.08,55.24,103185
kunkka,2.01,47.77,206796
tiny,1.95,44.68,129754
riki,1.93,54.16,400597
magnus,1.90,46.35,100648
phoenix,1.89,51.16,65327
leshrac,1.83,45.27,35633
queen-of-pain,1.80,41.73,113912
oracle,1.79,42.25,52567
enchantress,1.76,39.42,50073
doom,1.69,42.94,47656
timbersaw,1.63,48.39,209963
shadow-fiend,1.58,47.18,194158
tinker,1.57,47.07,238066
enigma,1.55,51.56,65009
lich,1.45,54.21,105995
rubick,1.24,45.48,161130
venomancer,1.24,50.93,94151
lion,1.23,47.21,244096
keeper-of-the-light,1.20,49.57,89259
naga-siren,0.99,45.33,41394
windranger,0.95,44.37,211345
underlord,0.87,53.73,78644
bristleback,0.80,47.77,145149
earthshaker,0.74,49.13,185174
arc-warden,0.74,42.59,38424
bane,0.73,44.92,81162
razor,0.71,44.72,105391
warlock,0.70,54.70,81445
crystal-maiden,0.61,54.30,216233
witch-doctor,0.60,49.03,139196
abaddon,0.55,55.03,90755
vengeful-spirit,0.55,51.44,124214
winter-wyvern,0.51,45.04,57428
dazzle,0.47,50.79,121067
dragon-knight,0.43,48.41,87075
invoker,0.42,45.65,427089
beastmaster,0.40,45.39,31704
spirit-breaker,0.36,51.55,410626
ogre-magi,0.34,53.19,176245
tusk,0.32,40.99,67986
viper,0.23,47.84,136878
silencer,0.22,52.58,156675
treant-protector,0.06,52.28,57907
weaver,-0.09,47.89,150830
medusa,-0.09,50.51,111525
zeus,-0.10,53.27,200665
ursa,-0.15,53.17,181262
ember-spirit,-0.15,40.31,93660
clockwerk,-0.20,49.08,78239
mirana,-0.27,50.63,347621
pugna,-0.30,44.99,67036
phantom-lancer,-0.37,44.14,103858
shadow-shaman,-0.38,51.33,138768
sniper,-0.47,50.10,429624
clinkz,-0.48,44.21,141759
undying,-0.53,49.16,65958
phantom-assassin,-0.56,50.84,610003
lone-druid,-0.59,38.54,25439
night-stalker,-0.68,48.45,87654
death-prophet,-0.69,45.23,79019
chaos-knight,-0.91,48.65,82315
troll-warlord,-0.98,47.97,122255
necrophos,-1.05,53.10,211208
wraith-king,-1.16,54.05,179693
bloodseeker,-1.17,48.70,247492
outworld-devourer,-1.29,48.25,167662
alchemist,-1.48,46.89,180842
slark,-1.48,48.94,367204
lycan,-1.51,44.42,38482
templar-assassin,-1.52,43.37,97266
meepo,-1.54,45.66,77274
spectre,-1.55,52.99,115231
pudge,-1.62,50.79,599794
luna,-1.70,52.67,152493
sven,-1.78,52.33,248627
shadow-demon,-2.16,43.73,57531
terrorblade,-2.45,46.71,57801
natures-prophet,-2.97,38.89,109766
morphling,-3.02,45.64,166508
omniknight,-3.12,57.18,204898
huskar,-3.14,43.58,187231
legion-commander,-3.76,46.07,334701
juggernaut,-3.89,46.92,339135
faceless-void,-4.40,44.29,183385
anti-mage,-4.84,43.72,265698
drow-ranger,-5.18,47.52,293234
