hero,para,rate,matches
meepo,5.28,49.19,63715
chen,4.75,54.93,14101
omniknight,4.53,36.06,162694
terrorblade,3.61,46.85,59451
phoenix,3.61,44.47,52587
abaddon,3.52,39.92,82949
visage,3.49,51.64,17540
dark-seer,3.42,46.41,46047
io,3.32,59.28,22720
brewmaster,3.15,48.29,28338
troll-warlord,3.13,46.06,115052
arc-warden,2.89,52.35,33886
timbersaw,2.72,46.73,167862
broodmother,2.64,56.29,36775
undying,2.55,44.82,59054
naga-siren,2.53,49.45,38640
underlord,2.48,40.95,73247
ursa,2.36,40.91,181712
elder-titan,2.30,40.86,46428
death-prophet,2.28,48.65,67823
leshrac,2.18,49.72,32334
earth-spirit,2.15,53.54,28324
lone-druid,1.95,55.57,26988
warlock,1.93,39.70,64394
beastmaster,1.91,48.81,28733
winter-wyvern,1.85,49.20,45984
treant-protector,1.79,41.67,50052
ancient-apparition,1.79,44.59,72868
necrophos,1.77,40.28,162405
outworld-devourer,1.75,45.01,130397
batrider,1.70,50.20,41817
jakiro,1.70,41.84,65429
oracle,1.68,52.54,43216
shadow-demon,1.67,49.23,48284
lich,1.63,40.44,86109
enigma,1.42,42.99,65732
dazzle,1.40,43.19,91654
night-stalker,1.38,44.94,79472
skywrath-mage,1.36,48.28,77234
magnus,1.21,48.20,81900
lycan,1.03,48.50,41816
bounty-hunter,0.95,48.69,195623
tinker,0.87,47.17,163629
faceless-void,0.84,47.17,182298
crystal-maiden,0.81,39.59,175462
sven,0.73,40.23,246954
venomancer,0.65,43.11,85010
techies,0.64,48.72,59189
slardar,0.61,43.42,145665
queen-of-pain,0.57,52.50,88048
dragon-knight,0.55,45.16,81663
clinkz,0.52,48.94,120592
doom,0.48,51.17,48316
kunkka,0.46,46.49,171550
morphling,0.44,46.24,151537
bane,0.44,48.73,67355
sand-king,0.41,45.01,153689
axe,0.24,41.94,284494
luna,0.23,39.75,156145
bloodseeker,0.16,43.92,245452
alchemist,0.07,45.54,150655
huskar,0.04,48.14,174078
keeper-of-the-light,0.01,44.14,68090
lion,0.00,46.47,189178
phantom-lancer,-0.01,48.80,97907
enchantress,-0.07,54.50,50398
gyrocopter,-0.11,49.73,57568
storm-spirit,-0.12,45.05,170367
puck,-0.15,50.22,67563
tiny,-0.18,49.21,118023
shadow-fiend,-0.25,46.54,153004
legion-commander,-0.25,45.12,365271
tidehunter,-0.26,43.69,86527
shadow-shaman,-0.27,41.53,113982
juggernaut,-0.29,44.17,333064
slark,-0.29,43.33,334507
vengeful-spirit,-0.34,41.86,105508
disruptor,-0.46,43.15,75543
bristleback,-0.49,45.49,130098
drow-ranger,-0.51,42.80,282371
witch-doctor,-0.54,44.14,111475
chaos-knight,-0.55,43.78,80995
anti-mage,-0.60,46.87,253954
silencer,-0.67,40.46,122972
ember-spirit,-0.69,52.47,78726
earthshaker,-0.70,44.04,150652
rubick,-0.70,47.86,125031
razor,-0.85,48.30,96589
templar-assassin,-0.85,48.67,77049
riki,-0.93,39.71,302592
windranger,-0.95,48.70,172034
ogre-magi,-0.97,39.82,132513
natures-prophet,-0.97,52.62,107344
tusk,-0.99,51.82,59387
phantom-assassin,-1.02,41.60,564117
invoker,-1.09,47.12,313163
weaver,-1.11,44.67,128801
zeus,-1.12,39.46,168314
spirit-breaker,-1.17,41.31,190362
pudge,-1.27,41.02,486908
nyx-assassin,-1.28,43.68,128042
viper,-1.37,44.75,122577
lifestealer,-1.52,44.77,164973
pugna,-1.59,47.22,60642
wraith-king,-1.80,37.90,192608
mirana,-1.87,41.60,263878
clockwerk,-2.03,43.05,66831
medusa,-2.19,41.66,99627
centaur-warrunner,-2.24,38.27,91135
sniper,-2.52,41.73,370787
spectre,-4.40,37.69,117536
