hero,para,rate,matches
broodmother,5.72,36.21,29859
lycan,5.41,42.85,36027
naga-siren,4.46,42.25,32685
meepo,3.84,43.51,50081
phantom-lancer,2.99,41.07,88816
anti-mage,2.77,42.63,242475
visage,2.61,39.86,13019
slark,2.42,46.24,307306
lifestealer,2.42,44.18,145773
chaos-knight,2.25,45.58,75254
underlord,2.22,49.81,60614
lone-druid,2.18,35.30,22388
chen,2.14,37.23,10185
faceless-void,2.14,42.74,171244
brewmaster,1.94,42.62,23870
terrorblade,1.83,44.17,51429
wraith-king,1.64,50.97,183515
tidehunter,1.59,45.50,72478
treant-protector,1.48,48.42,38676
abaddon,1.25,50.82,67604
undying,1.22,45.44,48548
troll-warlord,1.17,44.45,99637
storm-spirit,1.17,44.01,116883
night-stalker,1.11,44.75,67581
alchemist,1.09,43.57,125956
leshrac,1.08,40.45,23000
juggernaut,1.06,44.77,298511
doom,0.98,38.24,42052
sven,0.93,49.20,234206
natures-prophet,0.92,36.13,81645
ursa,0.78,49.09,160030
luna,0.71,49.39,129825
weaver,0.67,43.72,107073
legion-commander,0.66,43.65,335929
phantom-assassin,0.66,46.90,464427
beastmaster,0.63,41.01,23121
oracle,0.50,37.35,29122
dark-seer,0.33,43.87,35697
centaur-warrunner,0.24,49.69,80318
bristleback,0.23,42.99,116085
spectre,0.22,49.40,116829
razor,0.22,40.06,76315
omniknight,0.08,54.61,115170
enigma,0.03,46.24,49452
riki,0.02,48.60,254357
huskar,-0.06,40.52,139380
dragon-knight,-0.09,43.65,71972
viper,-0.11,43.18,94208
pudge,-0.14,47.01,385296
sand-king,-0.26,43.66,125844
spirit-breaker,-0.27,46.70,163463
bounty-hunter,-0.29,40.32,155963
warlock,-0.32,49.63,45092
venomancer,-0.36,45.61,62364
clockwerk,-0.41,44.47,56887
slardar,-0.44,45.24,128682
gyrocopter,-0.46,38.77,46671
morphling,-0.46,42.37,130587
shadow-shaman,-0.47,46.76,78144
clinkz,-0.50,39.79,98149
dazzle,-0.57,45.75,61734
io,-0.60,31.77,15392
magnus,-0.61,40.78,64225
arc-warden,-0.61,37.69,25134
templar-assassin,-0.66,39.35,58710
elder-titan,-0.70,48.40,35901
bloodseeker,-0.83,44.38,205922
vengeful-spirit,-0.90,46.20,73892
medusa,-0.99,45.56,85570
tiny,-0.99,39.02,97280
enchantress,-1.13,34.13,36439
mirana,-1.13,45.70,188851
pugna,-1.16,40.21,41693
batrider,-1.17,38.89,31917
necrophos,-1.19,48.53,118296
ogre-magi,-1.26,47.85,96969
jakiro,-1.29,46.89,45706
lich,-1.35,48.24,59805
drow-ranger,-1.41,44.94,228313
earthshaker,-1.45,43.60,116047
ember-spirit,-1.45,35.56,64839
death-prophet,-1.48,40.48,46957
nyx-assassin,-1.52,43.67,100687
axe,-1.53,46.07,251543
shadow-demon,-1.54,39.64,33643
bane,-1.61,39.51,48881
techies,-1.62,39.61,45254
shadow-fiend,-1.63,41.28,108899
phoenix,-1.67,44.91,38230
silencer,-1.72,47.10,85244
witch-doctor,-1.76,43.44,74672
crystal-maiden,-1.79,48.55,120059
ancient-apparition,-1.81,43.98,50063
tusk,-1.86,35.87,48385
disruptor,-1.96,44.37,50097
queen-of-pain,-2.04,35.93,59615
outworld-devourer,-2.26,43.35,93073
windranger,-2.41,38.58,123146
winter-wyvern,-2.41,39.39,32934
timbersaw,-2.49,42.04,138236
skywrath-mage,-2.65,39.93,51771
puck,-2.65,37.44,45106
keeper-of-the-light,-2.70,43.27,47167
kunkka,-2.94,41.09,138243
earth-spirit,-2.96,35.39,21300
sniper,-3.16,44.35,282855
lion,-3.35,40.74,130876
rubick,-3.45,39.08,77455
invoker,-3.47,39.58,212108
zeus,-3.67,46.98,109511
tinker,-3.78,40.28,111385
