hero,para,rate,matches
wraith-king,4.35,43.83,373831
troll-warlord,3.64,49.93,156896
ursa,3.44,44.90,266654
legion-commander,3.30,50.37,593137
techies,2.73,53.36,86392
riki,2.33,44.54,454228
slark,2.31,48.04,574665
crystal-maiden,2.02,43.56,323568
anti-mage,1.82,51.61,457256
enchantress,1.54,58.91,69177
broodmother,1.54,59.21,44870
bloodseeker,1.46,48.05,360153
storm-spirit,1.41,49.31,317801
brewmaster,1.21,50.96,39149
juggernaut,1.19,48.38,555704
huskar,1.14,52.25,233770
faceless-void,1.13,50.88,305036
bristleback,1.11,49.79,201637
slardar,1.10,47.17,257307
windranger,1.02,53.24,272161
bounty-hunter,1.02,52.30,308754
shadow-fiend,1.02,50.70,242576
chaos-knight,0.97,48.00,111770
omniknight,0.94,38.12,311356
night-stalker,0.92,48.29,113561
ember-spirit,0.92,56.86,127278
sven,0.79,43.72,403598
shadow-shaman,0.76,45.46,201825
phantom-assassin,0.76,45.86,861192
timbersaw,0.72,49.37,288094
morphling,0.70,49.92,287657
abaddon,0.66,42.24,130756
tiny,0.58,53.13,180684
io,0.57,61.15,36627
leshrac,0.39,52.40,44057
terrorblade,0.38,48.93,84234
tusk,0.37,56.05,87523
spirit-breaker,0.34,45.43,306747
naga-siren,0.29,51.91,57105
earthshaker,0.28,48.00,267481
phantom-lancer,0.26,52.48,128316
clinkz,0.26,52.36,176670
necrophos,0.22,43.11,274378
dragon-knight,0.20,48.52,117330
lifestealer,0.19,49.09,271169
weaver,0.18,48.78,197513
ancient-apparition,0.16,47.39,136619
skywrath-mage,0.14,51.24,125052
chen,0.10,56.01,20928
lone-druid,0.10,58.05,39403
queen-of-pain,0.10,55.77,139260
dazzle,0.09,46.13,174847
nyx-assassin,0.07,47.79,216155
witch-doctor,0.05,47.91,206670
natures-prophet,0.04,56.66,168556
sand-king,0.04,48.36,271384
meepo,0.01,50.26,108184
lycan,0.01,51.55,53347
lina,-0.00,53.53,189178
keeper-of-the-light,-0.01,47.64,133788
puck,-0.03,53.81,125296
oracle,-0.08,55.15,81618
enigma,-0.13,45.81,108574
pudge,-0.24,44.92,838186
winter-wyvern,-0.33,51.67,78324
lich,-0.35,43.08,146643
ogre-magi,-0.36,43.50,278749
magnus,-0.37,50.97,146171
gyrocopter,-0.39,53.11,77968
tinker,-0.44,50.07,300816
vengeful-spirit,-0.46,45.28,189754
phoenix,-0.51,46.19,89646
doom,-0.52,54.17,72406
axe,-0.52,45.09,461679
zeus,-0.54,43.11,249131
disruptor,-0.54,46.59,148243
treant-protector,-0.56,44.15,77793
bane,-0.61,51.74,115089
alchemist,-0.63,48.72,235507
viper,-0.77,48.52,166695
luna,-0.83,42.73,241343
kunkka,-1.02,49.30,299470
drow-ranger,-1.02,46.04,456003
mirana,-1.02,45.41,512789
batrider,-1.10,52.32,68049
warlock,-1.15,41.87,108539
invoker,-1.18,50.58,571031
elder-titan,-1.27,42.83,75729
templar-assassin,-1.27,51.95,121323
death-prophet,-1.31,50.43,99370
jakiro,-1.33,44.02,108785
visage,-1.40,52.68,24395
clockwerk,-1.47,46.75,107989
centaur-warrunner,-1.55,41.90,146332
rubick,-1.60,50.90,251447
sniper,-1.62,45.55,550803
underlord,-1.71,42.66,108876
dark-seer,-1.76,47.54,76371
earth-spirit,-1.77,54.94,52502
venomancer,-1.79,45.50,124650
arc-warden,-1.91,53.36,52188
razor,-2.30,51.05,138855
shadow-demon,-2.38,50.71,102685
outworld-devourer,-2.47,46.57,229564
beastmaster,-2.69,50.05,44878
pugna,-3.00,49.97,93417
silencer,-3.04,42.84,222716
undying,-3.14,45.73,92883
tidehunter,-3.37,45.72,151141
medusa,-3.37,44.53,177806
spectre,-3.79,41.22,200007
