hero,para,rate,matches
meepo,7.27,48.67,105359
arc-warden,4.68,43.23,42834
anti-mage,4.16,46.82,461726
alchemist,3.71,48.32,239093
templar-assassin,2.90,44.29,115630
terrorblade,2.57,48.09,76991
magnus,2.23,45.48,127161
sniper,2.20,50.41,470196
ember-spirit,2.05,40.21,117367
shadow-fiend,1.90,46.31,226765
lycan,1.81,44.91,45865
phantom-assassin,1.62,50.93,808033
troll-warlord,1.56,48.18,142055
tinker,1.53,46.04,277976
slark,1.50,49.40,569717
underlord,1.48,53.03,86785
dark-seer,1.46,47.92,56378
outworld-devourer,1.33,48.51,221154
juggernaut,1.30,48.43,566274
weaver,1.27,47.53,171884
timbersaw,1.26,47.19,275500
lifestealer,1.23,47.21,244096
naga-siren,1.19,44.41,47423
clinkz,1.16,43.94,153251
lone-druid,1.04,38.21,33237
faceless-void,1.03,45.79,283352
phantom-lancer,1.01,43.75,130088
invoker,0.95,44.88,535127
medusa,0.88,49.98,151434
undying,0.84,48.82,70873
sven,0.82,52.71,401008
riki,0.80,52.55,368407
abaddon,0.75,54.12,100090
luna,0.71,52.95,208904
drow-ranger,0.67,49.44,381906
ursa,0.55,52.54,252616
morphling,0.52,46.30,272357
huskar,0.42,44.17,202839
pudge,0.23,50.73,677499
doom,0.20,41.33,63264
bounty-hunter,0.10,43.92,219214
storm-spirit,0.09,47.04,271679
bristleback,0.03,46.40,188395
mirana,0.02,49.76,382070
natures-prophet,-0.11,39.07,119461
zeus,-0.19,52.21,191754
elder-titan,-0.20,52.17,49528
bloodseeker,-0.24,48.15,310049
queen-of-pain,-0.35,39.88,118329
leshrac,-0.38,43.30,29640
techies,-0.45,43.51,56368
spectre,-0.57,52.52,205547
legion-commander,-0.64,46.57,550522
warlock,-0.68,52.96,56663
tiny,-0.68,42.55,153669
centaur-warrunner,-0.76,52.71,128585
clockwerk,-0.77,47.80,90591
chaos-knight,-0.79,47.71,106981
omniknight,-0.87,57.54,159836
visage,-0.89,41.88,15667
broodmother,-0.96,37.14,37934
chen,-0.99,39.39,12786
earth-spirit,-1.00,39.41,32777
brewmaster,-1.15,44.76,33442
puck,-1.17,41.37,102281
beastmaster,-1.21,43.68,36031
phoenix,-1.34,48.55,57740
treant-protector,-1.37,50.54,47274
kunkka,-1.41,45.18,245601
venomancer,-1.41,48.61,80129
spirit-breaker,-1.43,49.64,239443
wraith-king,-1.47,52.89,285735
death-prophet,-1.47,43.89,78514
enchantress,-1.48,37.23,47843
razor,-1.48,42.77,124860
tusk,-1.52,39.28,66765
necrophos,-1.55,51.84,183729
night-stalker,-1.62,47.00,100375
tidehunter,-1.67,47.50,129916
gyrocopter,-1.70,41.64,66925
slardar,-1.72,48.13,232690
sand-king,-1.77,46.44,195710
enigma,-1.78,48.87,72085
silencer,-1.79,50.54,133835
viper,-1.80,45.89,144854
nyx-assassin,-1.93,46.94,165730
pugna,-2.09,43.21,53187
vengeful-spirit,-2.14,49.07,91079
batrider,-2.16,41.85,52945
earthshaker,-2.32,46.65,152505
windranger,-2.33,41.96,219887
dragon-knight,-2.37,46.08,110916
jakiro,-2.42,49.79,51640
axe,-2.69,48.96,408198
keeper-of-the-light,-2.77,46.65,59757
skywrath-mage,-2.90,43.19,67202
ogre-magi,-3.10,50.39,126074
ancient-apparition,-3.21,46.76,64898
lina,-3.35,40.74,130876
crystal-maiden,-3.46,51.14,119760
disruptor,-3.60,47.02,62277
io,-3.65,33.83,19763
shadow-demon,-3.78,42.05,41815
witch-doctor,-3.80,45.92,81781
lich,-3.81,50.43,72093
dazzle,-3.89,47.62,73997
shadow-shaman,-4.41,48.29,85915
oracle,-4.67,38.63,38816
winter-wyvern,-4.69,41.76,38396
rubick,-5.33,41.58,98765
bane,-5.66,41.13,56312
