hero,para,rate,matches
io,12.59,59.57,6669
visage,12.04,50.85,4004
arc-warden,11.10,51.51,8525
tidehunter,10.34,43.50,20319
techies,8.09,47.47,15267
chen,7.53,51.53,4077
ancient-apparition,7.26,42.27,17001
shadow-demon,6.31,46.70,11934
earth-spirit,6.12,50.83,7385
pudge,3.85,38.67,103950
templar-assassin,3.31,46.06,20116
pugna,3.24,44.91,13176
terrorblade,3.11,42.06,15453
dark-seer,3.06,41.69,10832
meepo,2.93,43.50,15967
nyx-assassin,2.88,40.99,28410
elder-titan,2.69,36.66,10374
batrider,2.66,46.05,10177
morphling,2.39,42.59,36723
silencer,2.38,37.32,25788
keeper-of-the-light,2.08,40.56,16484
abaddon,2.08,35.09,19588
anti-mage,1.91,43.50,57960
oracle,1.87,48.04,10252
faceless-void,1.85,43.10,42166
rubick,1.53,44.38,25282
puck,1.53,46.49,15972
winter-wyvern,1.38,44.42,11162
medusa,1.37,38.77,24636
vengeful-spirit,1.35,38.18,24979
naga-siren,1.34,44.32,10300
riki,1.31,36.30,64527
outworld-devourer,1.20,40.32,29110
treant-protector,1.12,37.06,11991
juggernaut,1.07,40.32,71639
mirana,1.00,38.43,59593
omniknight,0.96,30.83,35285
storm-spirit,0.94,41.06,35589
clockwerk,0.92,39.91,15221
lycan,0.88,43.90,11038
skywrath-mage,0.56,43.40,17451
bane,0.52,44.26,16507
wraith-king,0.38,34.54,44679
broodmother,0.14,50.41,9493
disruptor,0.00,38.97,16982
queen-of-pain,-0.08,47.65,20468
magnus,-0.12,43.09,20092
leshrac,-0.13,44.11,8184
lion,-0.14,41.95,39403
alchemist,-0.31,40.95,35877
underlord,-0.34,35.59,15762
ursa,-0.38,35.59,41092
slardar,-0.38,38.64,32444
undying,-0.45,39.14,13560
tinker,-0.45,42.10,36877
dragon-knight,-0.47,40.30,19607
dazzle,-0.52,38.04,21283
lifestealer,-0.55,40.81,38093
beastmaster,-0.60,43.15,7851
spirit-breaker,-0.63,37.24,40835
bounty-hunter,-0.69,43.45,44044
phoenix,-0.75,38.28,12875
razor,-0.85,43.84,23223
shadow-fiend,-0.87,41.82,35730
spectre,-0.88,34.89,28774
luna,-1.01,35.06,35668
invoker,-1.03,42.72,69149
night-stalker,-1.04,39.51,19292
windranger,-1.18,44.14,36928
sniper,-1.19,37.99,75749
bloodseeker,-1.27,38.96,51573
kunkka,-1.30,41.28,39454
enigma,-1.31,37.54,16219
enchantress,-1.32,49.37,11521
legion-commander,-1.35,40.25,80682
natures-prophet,-1.39,47.95,27089
brewmaster,-1.40,41.76,7038
witch-doctor,-1.43,39.40,25997
viper,-1.58,40.29,27073
zeus,-1.62,35.09,34689
weaver,-1.66,40.07,30970
clinkz,-1.70,43.44,29580
chaos-knight,-1.73,38.94,19005
ember-spirit,-1.77,47.46,20133
gyrocopter,-1.83,44.44,14904
centaur-warrunner,-1.84,34.29,21099
venomancer,-1.85,37.76,20023
axe,-1.87,36.82,60617
tiny,-1.93,43.93,27373
tusk,-2.07,46.83,15233
drow-ranger,-2.15,37.82,61597
death-prophet,-2.23,42.12,15813
lina,-2.33,44.43,26988
troll-warlord,-2.58,39.21,27615
sand-king,-2.63,39.34,34632
huskar,-2.65,42.48,35765
earthshaker,-2.66,38.88,33476
shadow-shaman,-2.89,36.25,25719
jakiro,-3.36,35.61,15159
slark,-3.37,37.76,74283
ogre-magi,-3.42,34.72,29672
warlock,-3.49,33.53,14778
bristleback,-3.50,39.83,29316
phantom-lancer,-3.68,42.68,23157
crystal-maiden,-3.74,33.75,38243
doom,-3.85,44.63,12636
necrophos,-4.03,33.93,35854
sven,-4.16,34.21,54629
phantom-assassin,-4.60,35.97,110361
timbersaw,-4.83,39.08,38015
lich,-4.84,33.83,20876
