hero,para,rate,matches
dazzle,7.77,44.80,18119
vengeful-spirit,6.34,44.83,21985
death-prophet,5.65,38.87,13719
huskar,5.11,38.12,29179
viper,4.62,40.65,22917
bane,4.53,37.52,13381
jakiro,4.36,44.90,13270
clinkz,3.76,37.09,24415
natures-prophet,3.67,32.93,20171
keeper-of-the-light,3.31,41.38,13656
razor,3.22,36.87,19151
broodmother,2.92,31.18,8174
leshrac,2.82,36.78,6942
oracle,2.82,33.98,8628
slardar,2.80,42.16,24840
beastmaster,2.68,37.45,6731
juggernaut,2.37,40.84,58067
ursa,2.32,45.25,32736
lich,2.27,45.41,16249
witch-doctor,2.22,40.70,20761
lina,2.18,35.30,22388
disruptor,2.16,41.71,14079
drow-ranger,2.12,42.02,48199
bloodseeker,2.07,41.17,38927
templar-assassin,1.95,36.07,17036
weaver,1.92,39.80,25169
slark,1.91,41.50,60991
chaos-knight,1.74,40.86,15612
earth-spirit,1.61,32.92,6061
riki,1.43,44.73,51024
spirit-breaker,1.43,42.97,30869
sand-king,1.41,39.94,26338
rubick,1.34,36.69,23280
night-stalker,1.34,40.39,15257
shadow-shaman,1.25,43.05,20703
enigma,1.23,42.29,10811
tiny,1.16,35.60,22090
puck,1.09,34.65,14437
lion,1.04,38.21,33237
phantom-lancer,0.97,35.98,19508
luna,0.97,44.97,28352
queen-of-pain,0.93,32.89,17776
sven,0.90,44.65,42585
tusk,0.89,32.76,12242
phantom-assassin,0.86,42.49,90433
skywrath-mage,0.85,37.03,14368
bristleback,0.82,38.85,22910
tinker,0.80,37.84,32790
troll-warlord,0.72,39.83,22133
bounty-hunter,0.68,36.41,35181
axe,0.65,42.59,43386
gyrocopter,0.26,34.84,12254
shadow-fiend,0.14,37.69,29492
sniper,0.09,41.40,60547
ogre-magi,0.08,44.01,24826
earthshaker,0.07,39.87,26684
winter-wyvern,0.06,36.12,9383
windranger,-0.03,35.29,30196
dragon-knight,-0.29,39.19,16060
zeus,-0.34,44.13,29409
shadow-demon,-0.52,35.81,10162
crystal-maiden,-0.53,44.70,29637
warlock,-0.57,45.02,12318
lifestealer,-0.59,38.54,25439
phoenix,-0.64,40.98,9918
ember-spirit,-0.68,31.81,16742
legion-commander,-0.72,38.71,51758
invoker,-0.74,36.44,59087
venomancer,-0.77,41.02,16545
nyx-assassin,-0.79,39.63,22679
kunkka,-0.81,37.69,31823
wraith-king,-0.91,45.23,32993
timbersaw,-0.91,38.39,28833
storm-spirit,-1.13,38.67,31001
pudge,-1.20,42.10,82881
mirana,-1.21,41.27,47704
pugna,-1.22,35.95,11543
morphling,-1.23,37.75,29724
doom,-1.24,33.29,9458
necrophos,-1.39,44.00,29110
batrider,-1.45,34.62,7883
meepo,-1.63,36.96,13404
techies,-1.80,35.35,12062
treant-protector,-1.80,42.45,9707
outworld-devourer,-1.80,39.23,24172
terrorblade,-1.89,38.26,12356
clockwerk,-2.09,39.40,12040
medusa,-2.25,40.63,19935
lycan,-2.37,35.51,8732
omniknight,-2.51,48.80,28486
silencer,-2.55,42.34,22045
centaur-warrunner,-2.69,43.86,16067
magnus,-2.95,35.65,14716
anti-mage,-2.95,36.07,46062
underlord,-3.00,42.90,12428
abaddon,-3.01,44.31,15629
arc-warden,-3.01,32.74,7357
enchantress,-3.17,29.59,9457
brewmaster,-3.29,36.25,5713
elder-titan,-3.47,42.71,7923
undying,-3.57,39.03,10808
faceless-void,-4.34,35.89,31252
ancient-apparition,-4.43,38.59,13921
dark-seer,-4.70,37.49,8720
naga-siren,-4.98,34.37,8289
alchemist,-4.99,36.80,28759
spectre,-5.38,42.38,21872
io,-6.48,26.34,5209
tidehunter,-7.97,37.15,15337
chen,-8.57,29.60,4037
visage,-9.33,31.41,3381
