hero,para,rate,matches
omniknight,4.71,46.58,211286
slardar,3.61,55.54,193884
outworld-devourer,3.30,56.50,179759
silencer,3.15,52.72,161182
undying,2.95,55.76,75196
timbersaw,2.80,57.52,216082
death-prophet,2.74,59.58,81823
faceless-void,2.59,58.70,243707
io,2.55,68.91,28220
tidehunter,2.53,55.63,118324
legion-commander,2.33,56.99,458484
oracle,2.20,63.29,56389
dazzle,2.18,54.19,115123
visage,2.13,61.52,20765
phantom-assassin,2.10,53.56,688781
vengeful-spirit,1.94,53.44,136232
ancient-apparition,1.84,55.25,88958
puck,1.60,61.60,88257
drow-ranger,1.55,54.29,372956
clinkz,1.42,59.92,148822
weaver,1.39,56.40,166618
razor,1.38,59.92,119307
dragon-knight,1.36,56.12,104451
earth-spirit,1.34,63.47,36868
batrider,1.31,60.51,56012
disruptor,1.27,54.48,98226
bane,1.21,59.63,79228
naga-siren,1.19,59.33,51677
juggernaut,1.09,55.35,455814
lycan,1.04,59.02,51832
leshrac,1.02,59.66,38696
troll-warlord,0.96,55.65,143953
doom,0.92,61.79,61212
necrophos,0.91,50.38,202476
pugna,0.91,58.92,70446
storm-spirit,0.90,56.06,218641
axe,0.89,52.73,359461
queen-of-pain,0.88,62.98,111021
templar-assassin,0.87,59.98,101100
phoenix,0.82,53.80,66246
shadow-fiend,0.80,57.55,196464
windranger,0.75,59.99,206620
chen,0.74,63.11,17400
shadow-shaman,0.74,52.45,137623
winter-wyvern,0.66,59.10,58052
lone-druid,0.65,65.00,34261
morphling,0.61,56.83,211026
lion,0.60,57.25,232248
tusk,0.52,62.88,73943
anti-mage,0.52,57.89,336058
natures-prophet,0.52,63.64,129771
keeper-of-the-light,0.51,54.86,87765
lifestealer,0.50,56.20,212009
riki,0.50,50.70,377522
skywrath-mage,0.47,58.32,94884
beastmaster,0.47,58.58,37030
treant-protector,0.42,51.55,61786
enchantress,0.30,64.80,59295
magnus,0.29,58.21,110974
alchemist,0.28,56.12,195505
gyrocopter,0.27,60.29,74232
venomancer,0.24,53.40,106087
bloodseeker,0.18,54.40,294742
earthshaker,0.07,54.85,193712
ember-spirit,0.04,63.05,102758
witch-doctor,0.03,54.85,140171
ogre-magi,-0.04,50.56,174795
enigma,-0.09,52.76,83671
lina,-0.16,60.25,150323
night-stalker,-0.18,54.69,102421
bounty-hunter,-0.19,58.53,241915
mirana,-0.24,52.70,360431
centaur-warrunner,-0.25,49.34,119591
ursa,-0.28,50.19,220102
tiny,-0.31,59.48,149040
crystal-maiden,-0.41,49.40,208041
elder-titan,-0.46,50.07,61356
techies,-0.47,58.54,70667
sven,-0.56,50.02,325078
brewmaster,-0.60,56.91,34931
jakiro,-0.67,51.20,82838
arc-warden,-0.71,60.74,41716
medusa,-0.74,52.64,138231
invoker,-0.84,57.57,391980
terrorblade,-0.84,55.21,78066
dark-seer,-1.17,54.68,59348
spirit-breaker,-1.33,51.52,237272
chaos-knight,-1.34,53.74,105480
shadow-demon,-1.46,57.96,74192
warlock,-1.52,48.50,85350
lich,-1.68,49.30,107244
pudge,-1.71,51.07,605279
wraith-king,-1.73,48.04,246300
kunkka,-1.80,55.70,227518
viper,-1.91,54.76,151594
phantom-lancer,-1.98,58.03,128651
huskar,-2.00,57.36,207801
nyx-assassin,-2.01,53.60,167331
sniper,-2.14,52.10,475243
broodmother,-2.30,63.39,44550
abaddon,-2.38,47.68,101270
tinker,-2.47,55.78,212640
rubick,-2.52,57.12,165336
sand-king,-2.52,53.89,203496
slark,-2.82,52.38,440213
bristleback,-3.05,54.45,165980
clockwerk,-3.39,52.55,86811
zeus,-3.51,48.50,200870
underlord,-3.70,48.45,94065
spectre,-4.42,47.56,164350
meepo,-5.84,53.83,84927
