hero,para,rate,matches
io,6.51,44.40,23334
shadow-demon,5.71,53.51,148743
chen,5.49,49.16,15333
beastmaster,4.32,53.35,36537
drow-ranger,4.19,58.38,318944
tusk,3.91,48.54,64185
vengeful-spirit,3.59,59.10,173987
clockwerk,2.96,56.75,78285
tidehunter,2.86,56.82,113198
oracle,2.72,48.66,49732
bane,2.61,51.83,73626
spirit-breaker,2.58,58.74,207503
disruptor,2.52,57.11,91270
treant-protector,2.30,59.47,58854
natures-prophet,2.26,46.95,114516
earth-spirit,2.20,47.65,33533
batrider,2.20,50.77,49129
doom,2.19,49.16,55896
night-stalker,2.07,55.85,88981
rubick,1.90,51.81,136303
faceless-void,1.87,53.24,234038
broodmother,1.86,45.03,37091
puck,1.86,49.65,79849
kunkka,1.79,53.71,200524
techies,1.77,51.53,62171
visage,1.67,49.97,17549
bounty-hunter,1.64,51.64,219279
nyx-assassin,1.60,55.68,155661
pudge,1.59,58.43,537375
winter-wyvern,1.39,51.44,53761
slardar,1.34,56.65,174631
dazzle,1.30,57.20,104062
undying,1.28,56.05,70035
queen-of-pain,1.23,47.42,96497
witch-doctor,1.21,55.34,130555
storm-spirit,1.18,54.58,197020
mirana,1.09,57.29,292136
pugna,1.07,51.60,64081
ogre-magi,1.06,59.48,174407
jakiro,1.05,58.53,76384
gyrocopter,0.98,49.74,52448
earthshaker,0.97,55.23,182808
lone-druid,0.97,44.97,28352
abaddon,0.95,61.10,92715
tiny,0.94,50.21,122226
ember-spirit,0.93,46.64,80203
underlord,0.86,59.62,87181
leshrac,0.85,50.81,33419
elder-titan,0.83,59.62,57246
enchantress,0.78,44.86,49420
brewmaster,0.76,52.62,29893
lina,0.71,49.39,129825
lion,0.71,52.95,208904
necrophos,0.69,59.91,180861
venomancer,0.67,56.60,93692
lycan,0.66,51.37,43435
sand-king,0.64,54.57,192016
skywrath-mage,0.62,51.73,83408
templar-assassin,0.55,50.23,83839
omniknight,0.53,64.98,192309
axe,0.51,57.51,341960
dragon-knight,0.51,54.41,87804
keeper-of-the-light,0.47,55.18,81561
razor,0.39,50.52,94580
ancient-apparition,0.38,55.46,84762
phoenix,0.36,56.33,60097
windranger,0.35,50.04,168345
chaos-knight,0.33,55.21,79296
arc-warden,0.32,48.32,33637
silencer,0.32,58.53,139577
bloodseeker,0.31,55.38,254818
warlock,0.21,60.26,78573
lich,0.09,59.34,98387
enigma,0.07,56.72,78665
viper,0.06,53.71,122896
centaur-warrunner,0.01,59.94,106350
riki,-0.02,58.98,325953
dark-seer,-0.15,54.10,52902
wraith-king,-0.21,60.36,196420
zeus,-0.25,59.02,174677
ursa,-0.40,58.87,171217
legion-commander,-0.48,53.56,384966
shadow-shaman,-0.53,57.12,124102
death-prophet,-0.60,51.17,72931
crystal-maiden,-0.71,59.38,180890
huskar,-0.83,50.49,166246
naga-siren,-0.85,50.38,37223
weaver,-0.87,53.41,122746
phantom-lancer,-0.95,49.75,91659
bristleback,-0.95,52.82,146977
shadow-fiend,-1.14,51.79,160591
timbersaw,-1.20,52.91,193329
phantom-assassin,-1.26,56.31,480721
magnus,-1.33,50.73,92451
tinker,-1.34,51.58,190471
troll-warlord,-1.45,53.60,110693
spectre,-1.48,58.78,88497
meepo,-1.49,51.54,67096
sniper,-1.51,55.40,334543
invoker,-1.53,50.61,336729
alchemist,-1.63,52.67,167094
clinkz,-1.65,49.52,112918
lifestealer,-1.70,52.67,152493
slark,-1.74,54.63,268341
outworld-devourer,-1.89,53.77,152918
sven,-2.11,57.89,215712
juggernaut,-2.63,53.31,274335
terrorblade,-2.94,52.24,50994
morphling,-3.08,51.37,115096
medusa,-3.23,54.64,92287
anti-mage,-6.23,48.65,190507
