hero,para,rate,matches
arc-warden,9.63,57.96,14131
visage,8.75,56.43,9157
io,8.68,64.47,8896
earth-spirit,8.29,58.91,9346
silencer,7.22,45.75,36472
ancient-apparition,7.04,49.00,23928
elder-titan,6.24,44.49,17119
pugna,5.31,52.63,21683
chen,5.15,57.23,5583
skywrath-mage,5.13,52.17,27122
pudge,5.06,45.70,133225
shadow-demon,5.04,52.95,14276
tidehunter,4.80,47.98,30703
nyx-assassin,4.58,48.34,40271
abaddon,4.28,42.20,30869
clockwerk,4.01,47.75,24542
venomancer,3.94,46.56,31416
warlock,3.83,42.42,23860
zeus,3.55,43.33,51369
batrider,3.52,53.17,16698
storm-spirit,3.44,48.71,47659
oracle,3.21,55.39,15585
disruptor,2.71,46.54,25293
undying,2.63,46.88,23171
medusa,2.52,45.68,38036
techies,2.50,51.67,21776
lich,2.30,42.68,30352
sniper,2.26,45.78,111644
death-prophet,2.15,50.62,25881
phoenix,1.82,45.71,16669
rubick,1.76,51.07,31356
razor,1.72,51.58,36704
juggernaut,1.64,47.04,99533
lifestealer,1.47,48.15,57395
spectre,1.39,41.92,38494
drow-ranger,1.39,45.61,89903
faceless-void,1.39,49.45,59703
outworld-devourer,1.37,46.85,39197
treant-protector,1.22,43.41,20225
riki,1.19,42.52,94502
wraith-king,1.11,40.96,66348
clinkz,1.10,51.24,46351
beastmaster,1.04,50.41,11622
alchemist,0.83,47.88,52285
enigma,0.77,44.69,25258
bane,0.75,50.89,24274
winter-wyvern,0.72,50.66,18264
tinker,0.71,49.09,48997
underlord,0.69,42.18,25309
doom,0.65,53.26,17843
puck,0.63,52.62,20878
anti-mage,0.61,49.45,79209
viper,0.59,47.64,46511
morphling,0.47,48.25,45011
magnus,0.46,49.84,29915
mirana,0.43,44.54,77048
bounty-hunter,0.38,50.42,63096
tusk,0.35,54.51,23790
dark-seer,0.29,46.99,18055
invoker,0.17,49.72,80797
queen-of-pain,0.17,54.28,32610
kunkka,0.00,48.27,55856
lion,-0.01,48.45,53347
keeper-of-the-light,-0.03,46.09,20921
necrophos,-0.16,41.44,51041
ursa,-0.17,41.83,65675
jakiro,-0.22,43.00,23855
witch-doctor,-0.24,46.24,36511
shadow-shaman,-0.35,43.44,39352
centaur-warrunner,-0.36,40.92,33437
brewmaster,-0.44,48.59,14037
lone-druid,-0.68,56.10,11038
shadow-fiend,-0.79,48.26,47972
spirit-breaker,-0.82,43.39,63218
meepo,-0.83,48.31,20514
ember-spirit,-0.88,54.34,27775
lina,-0.95,51.50,41816
leshrac,-0.97,50.17,15223
templar-assassin,-0.98,50.58,28822
broodmother,-1.06,56.21,18023
natures-prophet,-1.07,54.53,38919
dazzle,-1.11,44.06,29885
huskar,-1.15,49.54,61029
gyrocopter,-1.19,51.16,26839
dragon-knight,-1.23,46.31,33671
weaver,-1.27,46.55,48672
omniknight,-1.34,35.84,50254
luna,-1.36,41.02,53829
crystal-maiden,-1.66,40.51,54204
terrorblade,-1.67,46.42,26268
ogre-magi,-1.69,41.43,38251
night-stalker,-1.81,45.47,34212
tiny,-2.26,50.13,44253
vengeful-spirit,-2.28,42.96,38389
earthshaker,-2.74,45.06,50859
bloodseeker,-2.97,44.46,82992
chaos-knight,-3.01,44.61,33995
sand-king,-3.26,45.28,49908
slark,-3.29,43.93,100425
windranger,-3.37,49.44,54505
enchantress,-3.50,54.53,20999
legion-commander,-3.73,45.46,112716
naga-siren,-4.28,48.07,18483
phantom-lancer,-4.67,48.43,39938
slardar,-4.72,43.00,48111
bristleback,-4.90,45.36,47728
phantom-assassin,-5.01,41.78,160015
sven,-5.47,39.58,81893
troll-warlord,-5.72,43.97,43708
timbersaw,-6.96,44.18,49408
axe,-8.53,40.06,87130
