hero,para,rate,matches
enchantress,8.38,39.39,16906
leshrac,7.82,45.23,12942
broodmother,7.58,38.80,16024
gyrocopter,7.17,43.79,21377
visage,6.95,43.59,7261
batrider,6.65,44.01,13612
oracle,6.55,41.61,13176
bane,6.26,44.72,20592
brewmaster,6.23,46.49,11403
natures-prophet,5.90,39.88,32679
lina,5.41,42.85,36027
naga-siren,5.32,44.63,14805
razor,5.12,44.05,30482
winter-wyvern,5.09,44.45,15382
slardar,4.87,49.74,37795
windranger,4.44,43.30,46041
death-prophet,4.39,44.91,23184
dragon-knight,4.10,47.54,26576
tiny,4.06,43.01,34650
viper,4.05,47.03,38235
bristleback,3.95,46.63,36985
chaos-knight,3.82,48.33,26569
jakiro,3.31,51.13,21331
sand-king,3.29,47.25,39721
vengeful-spirit,3.12,50.12,33638
night-stalker,3.09,47.67,26285
queen-of-pain,3.07,39.73,28398
axe,2.96,50.22,61997
io,2.89,34.70,6626
keeper-of-the-light,2.88,47.78,17271
huskar,2.83,43.68,48060
arc-warden,2.81,40.93,11779
tusk,2.64,39.43,19029
dazzle,2.49,49.20,25882
magnus,2.42,44.01,23113
lich,2.14,51.98,26013
skywrath-mage,2.10,43.86,23064
tidehunter,2.06,47.73,23675
crystal-maiden,2.03,52.48,43605
witch-doctor,2.00,47.12,30823
weaver,1.94,46.28,39768
lion,1.81,44.91,45865
shadow-shaman,1.80,49.86,34618
pugna,1.77,43.37,19347
earthshaker,1.73,47.02,40358
sven,1.72,51.61,59514
puck,1.66,41.03,19157
centaur-warrunner,1.62,52.41,26208
kunkka,1.61,45.01,43758
troll-warlord,1.56,46.63,34623
disruptor,1.52,47.96,20875
clockwerk,1.29,47.24,19613
phantom-lancer,1.25,42.33,32125
dark-seer,1.18,46.24,14897
clinkz,1.01,42.35,38285
bloodseeker,0.85,47.13,59027
warlock,0.81,52.20,20423
luna,0.66,51.37,43435
terrorblade,0.60,45.62,20786
wraith-king,0.53,52.43,47560
techies,0.52,42.41,16634
spirit-breaker,0.51,49.07,47519
ogre-magi,0.49,50.71,31098
medusa,0.44,48.21,31073
ancient-apparition,0.38,46.96,20379
treant-protector,0.35,49.88,16316
beastmaster,0.34,42.84,11383
elder-titan,0.32,50.90,13804
silencer,0.24,50.04,31994
slark,0.20,47.22,76917
venomancer,0.14,47.83,26526
riki,0.11,50.64,74348
enigma,0.05,48.24,18101
legion-commander,0.04,45.35,73771
zeus,-0.06,50.74,44814
spectre,-0.31,51.12,28827
necrophos,-0.34,50.94,43266
nyx-assassin,-0.34,46.17,33917
mirana,-0.34,48.05,62992
undying,-0.39,46.69,18402
phantom-assassin,-0.49,48.34,124961
shadow-fiend,-0.49,43.71,40976
outworld-devourer,-0.66,46.03,34066
underlord,-0.83,50.30,21773
sniper,-1.07,47.28,91060
rubick,-1.07,41.96,28374
ember-spirit,-1.20,37.49,23417
alchemist,-1.39,44.44,41429
lifestealer,-1.51,44.42,38482
invoker,-1.85,42.15,69071
tinker,-1.87,43.00,43552
storm-spirit,-1.96,44.58,41784
timbersaw,-1.96,44.19,39669
doom,-2.02,38.96,13379
drow-ranger,-2.04,46.60,71201
templar-assassin,-2.09,40.67,24314
chen,-2.10,37.52,4838
lone-druid,-2.37,35.51,8732
bounty-hunter,-2.67,41.23,50633
shadow-demon,-3.04,40.91,11861
omniknight,-3.09,54.79,40950
meepo,-3.12,42.48,16329
juggernaut,-3.14,44.82,74285
ursa,-3.39,48.99,47933
abaddon,-3.42,50.40,24294
phoenix,-3.48,46.01,14139
pudge,-3.87,47.17,107057
faceless-void,-4.15,41.98,44679
morphling,-4.28,42.62,35434
anti-mage,-4.38,41.52,60281
earth-spirit,-5.73,36.15,7453
