hero,para,rate,matches
chaos-knight,5.69,49.02,58251
meepo,4.94,51.53,57610
crystal-maiden,3.66,43.09,126645
omniknight,3.50,37.96,138356
lifestealer,3.06,49.30,126451
dazzle,3.00,46.29,74619
vengeful-spirit,2.86,45.61,85881
underlord,2.74,43.43,55845
phantom-lancer,2.63,52.54,65429
ancient-apparition,2.29,47.22,59122
nyx-assassin,2.19,47.63,98271
legion-commander,2.04,48.57,265291
ogre-magi,1.85,43.31,113404
sand-king,1.74,48.01,131686
pudge,1.69,44.62,385504
warlock,1.65,41.91,52100
dark-seer,1.63,48.01,39060
slardar,1.48,46.19,121604
terrorblade,1.47,48.29,44295
treant-protector,1.37,43.85,39552
brewmaster,1.36,49.86,22152
broodmother,1.29,57.92,24582
axe,1.23,44.72,218936
mirana,1.02,45.19,235206
beastmaster,1.01,50.79,23803
slark,0.96,46.25,261564
naga-siren,0.88,51.05,31888
necrophos,0.88,42.25,123954
outworld-devourer,0.82,46.98,111038
storm-spirit,0.82,47.86,139179
phantom-assassin,0.82,44.73,354566
anti-mage,0.74,49.90,196363
oracle,0.73,54.44,37703
witch-doctor,0.68,47.05,86967
night-stalker,0.67,47.01,57140
shadow-fiend,0.67,49.36,115916
bounty-hunter,0.66,50.95,135530
visage,0.66,52.62,13550
chen,0.59,55.13,9967
dragon-knight,0.40,47.47,60075
lion,0.39,49.03,146171
arc-warden,0.33,53.43,27454
ursa,0.31,42.41,118338
shadow-shaman,0.29,44.10,77029
lich,0.28,42.22,65903
medusa,0.27,45.06,80082
bane,0.27,51.04,52103
disruptor,0.27,45.82,65177
morphling,0.26,48.54,133232
pugna,0.24,50.48,41707
tusk,0.13,54.77,43137
jakiro,0.12,43.52,51227
lone-druid,0.09,56.91,20092
shadow-demon,0.07,50.83,44777
kunkka,0.00,48.65,146071
earth-spirit,-0.04,54.76,24401
tiny,-0.11,51.62,88858
keeper-of-the-light,-0.14,46.43,54621
windranger,-0.17,51.46,121876
weaver,-0.17,47.46,91644
queen-of-pain,-0.18,54.47,66365
batrider,-0.24,51.62,34972
faceless-void,-0.24,49.04,148462
luna,-0.29,41.84,115912
io,-0.30,59.51,17304
puck,-0.31,52.51,57689
bristleback,-0.34,47.92,92137
centaur-warrunner,-0.37,41.28,73016
techies,-0.37,50.61,40076
spirit-breaker,-0.39,43.96,129996
gyrocopter,-0.39,51.96,42618
winter-wyvern,-0.41,50.48,39462
lycan,-0.46,50.16,29915
drow-ranger,-0.55,45.12,206312
troll-warlord,-0.57,46.76,71565
juggernaut,-0.63,46.37,256638
enchantress,-0.64,56.53,33578
venomancer,-0.67,44.88,61116
clockwerk,-0.78,45.94,53385
skywrath-mage,-0.79,49.62,55608
invoker,-0.80,49.62,269603
ember-spirit,-0.81,54.76,60146
razor,-0.85,50.66,68034
abaddon,-0.89,40.47,62649
undying,-0.98,45.61,47985
earthshaker,-1.00,46.25,122896
wraith-king,-1.06,40.44,143266
lina,-1.10,51.80,81900
doom,-1.30,52.61,37918
elder-titan,-1.36,41.68,38674
natures-prophet,-1.36,54.75,79489
bloodseeker,-1.41,45.55,154665
zeus,-1.45,41.60,111956
enigma,-1.58,44.02,60038
leshrac,-1.60,50.23,23915
rubick,-1.62,49.76,146704
timbersaw,-1.63,47.09,138884
death-prophet,-1.74,49.07,48395
huskar,-1.75,49.62,101618
tidehunter,-1.82,45.33,79539
templar-assassin,-1.97,50.45,59114
clinkz,-2.15,49.97,84362
riki,-2.33,41.41,193020
alchemist,-2.34,46.76,116849
silencer,-2.40,42.02,110850
viper,-2.41,46.59,75423
tinker,-2.61,47.85,135922
sven,-2.67,41.12,182942
spectre,-3.32,40.33,95105
phoenix,-3.49,43.69,43334
sniper,-4.45,43.15,230862
