hero,para,rate,matches
ember-spirit,6.42,40.77,70240
juggernaut,5.57,49.25,245108
visage,5.09,43.22,10754
sven,4.70,53.53,269353
phantom-assassin,4.22,51.03,344698
oracle,3.34,40.73,31767
bane,2.63,43.58,41522
lycan,2.42,44.01,23113
anti-mage,2.41,44.86,191355
slark,2.34,48.62,209396
legion-commander,2.32,46.78,212832
lion,2.23,45.48,127161
wraith-king,2.11,53.64,114195
phoenix,1.99,49.01,36491
lifestealer,1.90,46.35,100648
ogre-magi,1.75,51.74,88382
broodmother,1.73,37.05,18455
silencer,1.68,51.15,81894
rubick,1.59,43.47,88530
omniknight,1.50,57.77,109930
leshrac,1.42,42.93,18939
tinker,1.41,44.82,97148
troll-warlord,1.33,46.91,58119
alchemist,1.33,46.05,88578
dazzle,1.21,48.97,62044
terrorblade,1.20,46.28,33723
bounty-hunter,1.16,43.24,111087
bloodseeker,1.05,47.61,124793
arc-warden,1.02,40.59,20284
skywrath-mage,1.00,43.77,46959
necrophos,0.98,52.00,92819
tiny,0.93,42.10,66423
storm-spirit,0.85,46.24,97302
riki,0.73,51.35,173737
earth-spirit,0.69,38.97,19959
nyx-assassin,0.63,47.01,67644
night-stalker,0.44,46.83,39609
brewmaster,0.35,44.30,15547
pugna,0.34,43.14,33738
dark-seer,0.34,46.24,30479
dragon-knight,0.23,46.15,41727
abaddon,0.16,52.66,44640
clinkz,0.10,42.34,62951
crystal-maiden,0.04,51.84,121366
ancient-apparition,-0.06,47.13,58907
witch-doctor,-0.07,46.55,80707
templar-assassin,-0.09,41.88,42465
mirana,-0.09,48.56,179311
ursa,-0.11,51.04,90792
doom,-0.12,40.08,26963
undying,-0.17,47.18,33597
jakiro,-0.20,49.78,43228
spirit-breaker,-0.38,49.02,87425
viper,-0.41,45.39,54257
shadow-shaman,-0.42,49.16,60758
lich,-0.46,51.04,66849
lina,-0.61,40.78,64225
queen-of-pain,-0.63,38.67,54015
treant-protector,-0.63,49.78,29838
batrider,-0.64,41.38,24003
enchantress,-0.68,36.45,26098
venomancer,-0.70,47.81,49530
shadow-demon,-0.73,42.26,36756
disruptor,-0.95,47.17,68968
zeus,-0.95,50.67,82898
huskar,-1.09,42.39,73685
pudge,-1.16,48.88,261603
vengeful-spirit,-1.17,48.42,65823
tusk,-1.19,38.32,32131
centaur-warrunner,-1.33,51.27,44375
luna,-1.33,50.73,92451
warlock,-1.41,51.43,48410
chaos-knight,-1.47,46.25,41293
sand-king,-1.51,45.43,99716
puck,-1.52,40.12,41682
slardar,-1.55,47.07,73703
techies,-1.78,41.81,63157
morphling,-1.86,44.08,98443
elder-titan,-1.93,50.13,31875
chen,-1.98,37.92,8136
medusa,-2.09,47.38,63348
windranger,-2.14,40.94,85838
kunkka,-2.21,43.69,125947
earthshaker,-2.26,45.55,110027
death-prophet,-2.39,42.37,34925
outworld-devourer,-2.39,45.60,80990
beastmaster,-2.47,42.01,15620
natures-prophet,-2.48,37.08,61014
keeper-of-the-light,-2.65,45.59,47554
weaver,-2.65,44.57,67604
gyrocopter,-2.86,40.06,38245
lone-druid,-2.95,35.65,14716
sniper,-2.97,46.74,179570
clockwerk,-2.98,45.62,33404
naga-siren,-3.02,41.47,23904
meepo,-3.06,42.88,45224
underlord,-3.25,49.45,36543
timbersaw,-3.27,43.97,89635
winter-wyvern,-3.32,41.26,32329
enigma,-3.37,46.97,74425
shadow-fiend,-3.39,42.80,113495
razor,-3.41,40.84,48822
io,-3.46,32.89,14804
bristleback,-3.47,43.67,58952
spectre,-3.72,49.75,76453
phantom-lancer,-3.75,40.60,50741
faceless-void,-3.93,42.44,95637
invoker,-4.21,41.50,202008
axe,-4.85,46.77,145956
drow-ranger,-5.73,45.21,142258
tidehunter,-8.21,43.28,49620
