hero,para,rate,matches
chaos-knight,7.68,55.40,85092
necrophos,5.97,49.69,151814
sven,5.55,49.89,244316
undying,4.54,53.45,55676
omniknight,4.22,43.26,154836
enigma,4.02,51.79,63205
visage,3.73,59.44,14630
beastmaster,3.53,57.29,26827
wraith-king,3.33,47.39,179908
storm-spirit,3.25,54.25,150616
silencer,2.98,49.51,118043
lion,2.88,55.47,177806
queen-of-pain,2.69,61.14,78687
puck,2.67,59.24,58955
axe,2.57,50.49,248013
lifestealer,2.51,54.24,148415
pugna,2.50,56.80,50423
techies,2.49,57.23,49225
shadow-demon,2.45,57.22,44627
razor,2.43,57.50,85326
legion-commander,2.43,53.95,328517
dragon-knight,2.39,53.60,76712
tinker,2.33,55.47,147959
dazzle,2.28,51.14,82526
shadow-shaman,2.10,50.05,96407
death-prophet,2.09,56.15,60176
skywrath-mage,2.09,56.22,65411
bloodseeker,2.03,52.32,198284
abaddon,1.82,46.66,71934
warlock,1.81,47.06,63620
spirit-breaker,1.77,50.05,158911
zeus,1.76,48.06,136636
morphling,1.71,54.40,145564
shadow-fiend,1.65,54.99,139207
bane,1.65,56.88,58259
lina,1.62,58.34,99627
slardar,1.58,51.37,145931
batrider,1.53,57.65,38077
sand-king,1.43,53.01,139051
timbersaw,1.21,53.58,150090
windranger,1.13,57.23,149232
earthshaker,1.10,52.35,136254
terrorblade,1.07,53.23,59173
phantom-lancer,1.06,56.83,116288
doom,1.03,58.91,45935
witch-doctor,0.99,52.32,101007
tiny,0.95,57.25,104914
luna,0.90,47.39,143952
oracle,0.70,59.45,37259
ogre-magi,0.69,47.87,124053
crystal-maiden,0.68,46.89,143416
phoenix,0.58,50.63,46576
naga-siren,0.57,55.98,41157
outworld-devourer,0.52,51.94,135568
vengeful-spirit,0.49,49.63,96265
templar-assassin,0.48,56.78,69360
winter-wyvern,0.41,55.96,43022
bristleback,0.39,53.37,119737
leshrac,0.29,56.25,28749
earth-spirit,0.29,59.92,23363
chen,0.26,59.93,11569
io,0.26,64.64,18531
gyrocopter,0.23,57.32,55021
venomancer,0.11,50.29,76207
rubick,0.07,55.67,101009
juggernaut,0.07,51.77,308417
ember-spirit,0.07,60.20,71598
ancient-apparition,-0.01,51.23,64888
dark-seer,-0.02,52.30,42101
viper,-0.16,52.73,104666
pudge,-0.16,48.85,399653
magnus,-0.22,54.94,80082
meepo,-0.23,54.05,59473
disruptor,-0.24,50.64,69865
natures-prophet,-0.25,60.29,92296
treant-protector,-0.39,48.11,44739
huskar,-0.39,55.34,135087
enchantress,-0.46,61.50,42286
weaver,-0.55,52.33,117807
kunkka,-0.69,53.35,155512
tusk,-0.71,59.25,52054
lone-druid,-0.85,61.23,24636
tidehunter,-0.99,50.73,84908
clinkz,-1.08,55.51,105485
arc-warden,-1.08,57.63,29313
brewmaster,-1.18,53.62,25877
bounty-hunter,-1.25,54.98,160815
night-stalker,-1.33,51.08,71191
underlord,-1.36,46.64,63780
phantom-assassin,-1.52,48.67,450441
clockwerk,-1.60,50.54,59547
jakiro,-1.60,47.73,59319
mirana,-1.68,48.95,255636
elder-titan,-1.79,46.42,44418
centaur-warrunner,-1.81,45.60,85730
spectre,-1.97,45.80,131933
lycan,-2.02,54.32,38036
ursa,-2.35,46.18,149369
troll-warlord,-2.46,50.82,98399
alchemist,-3.05,51.34,144821
faceless-void,-3.05,52.57,179323
drow-ranger,-3.19,48.82,242124
nyx-assassin,-3.47,49.89,135854
lich,-4.02,45.22,74086
broodmother,-4.07,59.54,32066
riki,-4.73,45.17,251194
invoker,-5.16,52.24,288199
keeper-of-the-light,-5.24,48.86,78533
slark,-5.36,48.15,309775
sniper,-5.36,47.52,322804
anti-mage,-6.13,51.25,319127
