hero,para,rate,matches
drow-ranger,6.83,56.65,239143
techies,3.83,49.42,46592
ogre-magi,3.71,57.97,127635
vengeful-spirit,3.67,56.05,92040
slardar,3.44,54.71,123543
tusk,3.14,45.08,45859
riki,3.02,57.72,218341
pudge,2.93,56.12,354704
bounty-hunter,2.91,49.16,154896
spirit-breaker,2.83,55.81,138832
nyx-assassin,2.76,53.21,104315
bane,2.51,48.68,53791
bloodseeker,1.79,53.12,169378
chen,1.74,44.36,10481
crystal-maiden,1.74,57.85,142366
enchantress,1.74,42.26,36336
doom,1.54,45.79,40034
batrider,1.49,47.34,33301
night-stalker,1.45,52.45,60095
io,1.43,39.32,16780
chaos-knight,1.31,52.69,56089
skywrath-mage,1.27,48.99,58285
visage,1.23,46.69,13211
slark,1.16,53.20,220088
beastmaster,1.14,48.66,23584
ursa,1.04,56.72,112058
wraith-king,0.98,58.12,134217
shadow-demon,0.95,48.04,42932
lion,0.88,49.98,151434
keeper-of-the-light,0.87,52.35,63061
undying,0.86,52.78,51640
earthshaker,0.83,52.11,138361
phantom-assassin,0.81,54.47,317124
venomancer,0.63,53.55,67232
viper,0.61,50.95,77270
phantom-lancer,0.51,47.44,63771
witch-doctor,0.45,51.88,97493
lycan,0.44,48.21,31073
treant-protector,0.40,55.37,43852
clockwerk,0.32,52.26,54559
legion-commander,0.32,50.95,268026
tidehunter,0.21,52.34,79930
huskar,0.20,47.98,102053
sand-king,0.15,51.28,133366
leshrac,0.10,47.40,24555
shadow-shaman,-0.05,54.40,85850
spectre,-0.06,56.67,68674
tiny,-0.07,46.68,85129
lifestealer,-0.09,50.51,111525
troll-warlord,-0.16,51.28,72355
rubick,-0.30,47.67,95663
necrophos,-0.32,56.36,130361
clinkz,-0.35,47.15,80218
disruptor,-0.35,52.51,67121
dragon-knight,-0.42,50.90,58239
weaver,-0.45,50.62,88151
enigma,-0.53,53.39,57966
mirana,-0.54,53.38,209848
earth-spirit,-0.74,43.30,22302
centaur-warrunner,-0.81,56.53,74513
jakiro,-0.85,54.47,54399
axe,-0.90,53.74,225324
ancient-apparition,-0.91,51.76,63797
dazzle,-0.93,52.96,77657
lina,-0.99,45.56,85570
warlock,-1.02,56.61,57339
storm-spirit,-1.34,50.23,107761
brewmaster,-1.35,48.53,21746
zeus,-1.41,55.41,112226
silencer,-1.43,54.57,101588
abaddon,-1.46,56.75,63989
pugna,-1.48,47.32,45975
elder-titan,-1.48,55.34,42266
bristleback,-1.49,49.55,100236
lich,-1.52,55.47,69976
windranger,-1.58,46.10,112677
queen-of-pain,-1.61,43.13,61916
phoenix,-1.76,52.19,44104
faceless-void,-1.85,48.32,144256
broodmother,-1.86,40.48,26766
winter-wyvern,-1.88,46.80,40981
omniknight,-1.98,60.59,140951
natures-prophet,-2.01,42.05,81502
anti-mage,-2.03,47.86,153864
underlord,-2.04,55.00,58135
sven,-2.06,55.01,161290
kunkka,-2.07,48.71,132778
timbersaw,-2.07,49.48,124149
magnus,-2.09,47.38,63348
dark-seer,-2.22,50.02,37939
lone-druid,-2.25,40.63,19935
templar-assassin,-2.31,45.84,50815
gyrocopter,-2.32,45.16,40232
invoker,-2.40,47.20,196269
oracle,-2.43,43.28,35337
razor,-2.55,46.09,63266
naga-siren,-2.63,46.53,27858
outworld-devourer,-2.71,50.39,81697
puck,-2.74,44.47,48982
death-prophet,-2.83,47.08,46234
sniper,-2.92,51.69,208501
ember-spirit,-2.97,41.92,53092
juggernaut,-2.99,50.18,211204
tinker,-3.21,47.67,110890
luna,-3.23,54.64,92287
alchemist,-3.38,48.80,95244
terrorblade,-3.44,49.05,38929
shadow-fiend,-3.83,47.47,95150
arc-warden,-3.98,43.35,22926
morphling,-4.40,47.77,86128
meepo,-5.30,46.67,43084
