hero,para,rate,matches
anti-mage,10.13,55.54,179940
spirit-breaker,8.72,48.94,97518
arc-warden,7.84,58.39,19144
luna,7.77,46.16,88231
tidehunter,7.33,50.51,45897
zeus,6.19,45.76,88334
night-stalker,6.14,50.51,39699
ogre-magi,5.97,45.99,81495
morphling,5.61,52.08,107065
spectre,5.29,44.84,69857
wraith-king,5.00,43.83,110840
shadow-demon,4.89,54.22,29610
juggernaut,4.54,49.72,210155
pudge,4.22,46.65,316886
keeper-of-the-light,4.21,49.38,42295
treant-protector,4.16,45.98,25123
bounty-hunter,4.09,53.62,109380
phoenix,3.72,47.88,29009
mirana,3.68,47.30,193463
necrophos,3.62,44.30,90157
doom,3.53,56.11,24828
visage,3.44,55.00,8393
phantom-assassin,3.43,46.81,352280
chen,3.24,57.50,8496
clockwerk,3.18,48.69,32848
chaos-knight,3.15,48.76,40231
dragon-knight,3.12,49.67,42057
pugna,3.12,52.86,28555
shadow-shaman,3.09,46.25,58081
viper,2.99,50.09,56803
ancient-apparition,2.93,48.43,41343
broodmother,2.54,59.54,17404
omniknight,2.52,38.46,96542
bane,2.49,53.09,37272
io,2.47,62.05,14456
queen-of-pain,2.40,56.79,52567
skywrath-mage,2.33,52.09,39143
phantom-lancer,2.28,53.27,49795
faceless-void,2.19,51.15,106041
dazzle,2.06,46.77,52889
abaddon,2.06,42.57,45782
slark,1.89,47.58,210386
bloodseeker,1.88,47.98,132010
venomancer,1.75,46.87,41383
naga-siren,1.59,52.32,20207
undying,1.55,47.68,29421
natures-prophet,1.46,57.21,68065
rubick,1.40,52.19,72701
alchemist,1.38,49.45,104235
silencer,1.35,44.52,63367
crystal-maiden,1.30,43.00,104175
oracle,1.18,55.59,24897
vengeful-spirit,1.07,45.71,59705
underlord,1.04,43.59,34855
razor,0.93,52.48,50132
sniper,0.89,46.45,227387
lycan,0.79,51.69,20514
beastmaster,0.64,51.50,15814
lifestealer,0.52,48.99,94859
drow-ranger,0.45,46.47,187805
nyx-assassin,0.39,47.69,63784
puck,0.30,53.73,47560
medusa,0.27,45.95,59473
slardar,0.26,46.52,83418
tinker,0.25,50.15,124218
centaur-warrunner,0.15,42.37,47154
witch-doctor,0.15,47.70,61914
templar-assassin,0.05,52.39,47496
lion,-0.01,49.74,108184
batrider,-0.31,52.47,22550
outworld-devourer,-0.60,47.21,77480
disruptor,-0.75,46.24,42880
gyrocopter,-0.78,52.64,29895
storm-spirit,-1.12,47.82,100470
weaver,-1.22,47.84,68741
earth-spirit,-1.45,54.86,19200
tiny,-1.47,51.80,67801
tusk,-1.58,54.71,31654
brewmaster,-1.61,49.29,13016
enigma,-1.75,44.82,40248
bristleback,-1.93,48.04,70658
legion-commander,-1.96,47.55,235586
dark-seer,-1.97,47.19,24491
lone-druid,-2.14,56.50,15967
techies,-2.18,50.56,39837
death-prophet,-2.30,49.67,34406
huskar,-2.49,50.12,87252
shadow-fiend,-2.62,48.62,105325
clinkz,-2.78,50.52,67339
enchantress,-2.81,56.14,24866
troll-warlord,-2.82,46.57,62529
windranger,-2.89,50.93,96606
sand-king,-3.36,46.47,95804
invoker,-3.62,49.08,239261
axe,-3.87,43.32,185814
ursa,-3.89,41.47,93901
riki,-4.08,41.51,186357
warlock,-4.29,40.30,36776
kunkka,-4.57,47.28,111379
lina,-4.63,50.81,63715
terrorblade,-4.70,46.21,30670
magnus,-4.77,48.47,57610
earthshaker,-6.28,44.62,203072
lich,-6.80,40.05,89090
leshrac,-7.39,48.10,15258
jakiro,-7.91,40.84,35102
elder-titan,-7.95,39.70,23540
timbersaw,-10.23,43.77,114157
ember-spirit,-12.70,48.97,79419
winter-wyvern,-14.13,44.29,50181
sven,-15.80,36.31,203657
