hero,para,rate,matches
bane,8.40,46.98,32802
lion,7.27,48.67,105359
earth-spirit,5.35,41.68,19154
silencer,5.06,53.79,67768
rubick,4.91,45.81,77885
dazzle,4.43,51.47,59122
batrider,3.93,44.19,20913
lina,3.84,43.51,50081
shadow-demon,3.82,45.11,27757
nyx-assassin,3.72,49.38,58521
disruptor,3.59,50.26,38998
sand-king,3.56,48.70,79494
skywrath-mage,3.53,45.78,34732
clinkz,3.53,44.70,54417
winter-wyvern,3.33,45.01,25573
kunkka,3.10,46.98,90805
shadow-shaman,2.83,51.68,52493
oracle,2.74,41.38,22531
witch-doctor,2.71,48.76,51668
bounty-hunter,2.62,44.77,95881
windranger,2.61,43.82,78569
tusk,2.60,40.67,27328
axe,2.45,51.28,142703
timbersaw,2.25,47.39,93108
tiny,2.21,43.53,52985
phoenix,2.19,50.02,26299
mirana,2.09,50.53,172318
earthshaker,1.99,48.44,101023
ancient-apparition,1.99,49.01,37967
huskar,1.93,44.58,73744
spirit-breaker,1.86,51.03,83491
death-prophet,1.71,45.04,25493
riki,1.70,52.75,152877
elder-titan,1.65,52.88,20716
keeper-of-the-light,1.63,48.50,39410
ogre-magi,1.56,52.55,72352
doom,1.40,41.57,21511
crystal-maiden,1.40,53.45,92979
slardar,1.35,49.37,78370
razor,1.35,43.74,39290
broodmother,1.25,37.72,14543
bloodseeker,1.01,48.49,109326
night-stalker,0.97,47.98,32964
beastmaster,0.90,44.35,13654
vengeful-spirit,0.73,50.25,52355
sven,0.67,52.37,131462
legion-commander,0.60,46.89,199241
pugna,0.59,44.13,25262
bristleback,0.55,46.38,57539
jakiro,0.54,51.05,29595
natures-prophet,0.49,39.06,58755
lich,0.38,52.37,41327
troll-warlord,0.25,47.30,51254
slark,0.24,48.53,173900
leshrac,0.21,43.30,12239
enigma,0.02,49.51,35518
clockwerk,-0.00,47.92,28688
necrophos,-0.10,52.34,79256
enchantress,-0.24,37.45,20472
centaur-warrunner,-0.25,52.72,40591
pudge,-0.29,50.21,269708
brewmaster,-0.52,44.79,10948
techies,-0.53,43.22,35734
ursa,-0.56,51.70,77769
juggernaut,-0.61,47.26,170307
treant-protector,-0.66,50.65,21911
dark-seer,-0.75,46.62,20705
queen-of-pain,-0.87,39.42,37428
undying,-0.90,47.72,23956
sniper,-0.91,48.62,174046
weaver,-0.92,46.25,55854
puck,-0.92,41.22,36841
omniknight,-1.24,57.07,88803
warlock,-1.29,52.38,29443
luna,-1.49,51.54,67096
zeus,-1.51,51.27,66586
viper,-1.53,45.76,45274
lifestealer,-1.54,45.66,77274
phantom-lancer,-1.60,42.37,39362
lone-druid,-1.63,36.96,13404
gyrocopter,-1.63,41.42,22442
wraith-king,-1.77,52.48,92158
venomancer,-1.81,48.15,34564
phantom-assassin,-1.94,48.89,273054
faceless-void,-2.09,44.12,81856
morphling,-2.11,44.83,88043
underlord,-2.69,50.60,30006
drow-ranger,-2.73,47.52,141098
dragon-knight,-2.76,45.64,32524
chaos-knight,-3.03,46.38,31943
magnus,-3.06,42.88,45224
terrorblade,-3.08,45.19,24613
lycan,-3.12,42.48,16329
ember-spirit,-3.34,37.85,35380
abaddon,-3.42,51.64,36695
spectre,-3.86,50.54,52987
templar-assassin,-3.95,41.10,33127
tinker,-4.06,43.26,80386
arc-warden,-4.12,39.36,15923
anti-mage,-4.20,42.81,140137
invoker,-4.47,42.23,172235
storm-spirit,-4.86,44.47,67749
shadow-fiend,-5.25,42.82,69134
tidehunter,-5.26,45.52,43554
medusa,-5.30,46.67,43084
alchemist,-5.44,43.82,72869
outworld-devourer,-5.53,44.98,52970
naga-siren,-5.86,41.08,16402
chen,-6.06,37.14,8004
visage,-6.73,39.17,7444
io,-10.31,31.28,13285
