hero,para,rate,matches
troll-warlord,2.93,53.84,225328
weaver,2.82,54.31,293094
razor,2.52,57.77,204590
drow-ranger,2.31,51.81,731353
windranger,2.30,58.11,425831
death-prophet,2.26,56.46,140621
enchantress,2.25,63.38,97523
lich,2.10,48.32,194028
sven,2.07,48.46,627033
shadow-shaman,2.05,50.24,246756
gyrocopter,2.02,58.56,118844
witch-doctor,1.91,53.02,271296
brewmaster,1.90,55.50,55376
jakiro,1.80,49.60,154048
leshrac,1.75,57.28,62109
phantom-assassin,1.67,50.46,1313077
medusa,1.67,51.05,255636
natures-prophet,1.63,61.63,262588
chaos-knight,1.62,52.50,158222
lina,1.37,58.40,263878
ursa,1.27,48.11,364668
vengeful-spirit,1.13,50.16,275322
dragon-knight,1.10,53.13,173876
riki,1.08,48.14,701776
sniper,1.05,50.95,893496
crystal-maiden,0.93,47.21,434823
phantom-lancer,0.88,56.94,191612
broodmother,0.88,62.82,62660
lion,0.87,54.59,512789
viper,0.86,53.48,233442
ancient-apparition,0.83,51.87,196202
bristleback,0.77,53.78,289666
night-stalker,0.76,52.37,165811
pugna,0.76,56.05,127310
clockwerk,0.44,51.81,163535
faceless-void,0.43,54.66,488295
undying,0.41,51.55,131940
bane,0.40,56.39,158283
juggernaut,0.32,52.11,883522
earthshaker,0.28,52.14,403257
luna,0.25,47.30,374653
sand-king,0.23,52.59,419392
enigma,0.21,50.10,165418
shadow-fiend,0.20,54.41,411657
morphling,0.20,53.80,460724
legion-commander,0.18,52.98,958877
naga-siren,0.17,55.96,83776
tiny,0.15,57.00,280382
wraith-king,0.14,46.13,466738
omniknight,0.13,41.77,453711
silencer,0.10,48.34,324870
lifestealer,0.02,53.13,389213
skywrath-mage,0.01,55.28,177412
dazzle,-0.02,50.20,239580
terrorblade,-0.03,52.86,123550
clinkz,-0.03,56.31,260826
doom,-0.04,58.49,112746
kunkka,-0.05,53.90,474181
invoker,-0.12,55.23,956428
queen-of-pain,-0.13,59.67,220000
tusk,-0.13,59.79,130883
ember-spirit,-0.20,60.24,192161
timbersaw,-0.21,53.04,455174
warlock,-0.23,46.33,153547
outworld-devourer,-0.27,51.74,370656
batrider,-0.35,56.79,103926
lycan,-0.35,55.46,77048
necrophos,-0.36,46.93,424008
winter-wyvern,-0.38,55.73,113278
spirit-breaker,-0.42,49.18,426346
elder-titan,-0.48,47.25,109815
phoenix,-0.50,50.29,132674
ogre-magi,-0.60,47.47,391510
lone-druid,-0.62,61.57,59593
keeper-of-the-light,-0.62,51.45,195781
techies,-0.67,55.67,131663
dark-seer,-0.80,52.10,109439
disruptor,-0.80,50.57,206449
magnus,-0.83,54.81,235206
bloodseeker,-0.92,51.01,537822
slardar,-0.93,50.31,432427
oracle,-1.05,58.61,113415
chen,-1.10,59.31,30164
pudge,-1.10,48.60,1381839
tinker,-1.20,53.76,502575
nyx-assassin,-1.23,51.25,320129
axe,-1.25,48.82,702068
storm-spirit,-1.31,52.06,466196
slark,-1.45,50.34,919705
io,-1.61,63.62,51153
underlord,-1.66,46.71,165096
beastmaster,-1.67,54.62,67932
alchemist,-1.82,52.19,377543
huskar,-1.82,54.75,333440
venomancer,-1.98,49.45,187356
puck,-1.98,56.75,203539
centaur-warrunner,-1.98,45.72,220278
shadow-demon,-2.00,54.93,144207
rubick,-2.01,54.71,362761
treant-protector,-2.20,47.44,113001
tidehunter,-2.29,50.27,220188
templar-assassin,-2.31,55.41,186826
visage,-2.32,56.17,33305
abaddon,-2.53,44.87,188957
earth-spirit,-2.69,58.34,78012
anti-mage,-2.99,53.17,685453
meepo,-3.08,52.70,193463
bounty-hunter,-3.18,54.10,507291
arc-warden,-3.30,56.53,77889
spectre,-3.96,45.07,320400
zeus,-4.02,45.53,397821
