hero,para,rate,matches
chen,3.92,45.53,21542
tidehunter,2.64,53.82,179906
visage,2.60,47.53,24709
elder-titan,2.40,57.73,88438
enigma,2.39,55.17,126096
earth-spirit,2.29,44.83,57716
drow-ranger,2.21,54.41,625840
meepo,2.09,50.53,172318
sven,1.78,57.38,577000
warlock,1.76,58.41,116256
pugna,1.54,48.98,96349
faceless-void,1.53,50.20,418085
zeus,1.43,57.21,270504
pudge,1.38,55.49,1085327
clockwerk,1.34,53.01,133487
skywrath-mage,1.31,49.22,128453
underlord,1.27,57.07,132079
keeper-of-the-light,1.26,52.76,145175
io,1.23,39.45,35134
necrophos,1.22,57.44,316286
earthshaker,1.14,52.48,330628
shadow-shaman,1.14,55.26,185629
luna,1.09,57.29,292136
naga-siren,1.08,48.51,68963
shadow-demon,1.07,48.31,132264
ancient-apparition,1.01,52.97,148245
terrorblade,1.01,51.52,104186
alchemist,0.92,51.19,342308
anti-mage,0.92,49.51,640554
spectre,0.92,57.43,291955
dark-seer,0.78,51.76,80522
spirit-breaker,0.77,54.90,339016
juggernaut,0.75,52.33,784093
winter-wyvern,0.72,48.26,89461
centaur-warrunner,0.68,57.58,184155
phoenix,0.66,53.68,96366
storm-spirit,0.66,51.46,356750
crystal-maiden,0.65,57.43,316779
jakiro,0.64,55.50,114586
witch-doctor,0.60,52.18,203057
omniknight,0.58,62.37,348325
ursa,0.56,56.66,313267
abaddon,0.53,58.10,149030
timbersaw,0.49,50.98,375225
bane,0.49,47.93,156484
undying,0.47,52.79,105634
ember-spirit,0.47,43.62,158842
ogre-magi,0.44,56.35,311670
arc-warden,0.35,45.51,58462
phantom-assassin,0.22,54.36,1121894
lich,0.21,56.65,144535
tinker,0.19,49.56,385621
puck,0.15,46.00,148583
axe,0.10,54.49,597028
leshrac,0.06,47.59,46140
lion,0.02,49.76,382070
batrider,0.01,46.86,76700
beastmaster,0.01,48.32,51950
disruptor,-0.04,52.89,152218
silencer,-0.08,55.52,243283
magnus,-0.09,48.56,179311
death-prophet,-0.16,48.57,103246
wraith-king,-0.17,57.66,419734
outworld-devourer,-0.20,51.90,299709
lifestealer,-0.27,50.63,347621
venomancer,-0.33,53.25,135420
lycan,-0.34,48.05,62992
dragon-knight,-0.35,51.15,150121
brewmaster,-0.40,49.21,45217
sniper,-0.42,53.23,638909
vengeful-spirit,-0.43,54.03,204736
treant-protector,-0.53,55.06,88145
medusa,-0.54,53.38,209848
morphling,-0.54,49.91,384402
slardar,-0.56,52.80,340142
rubick,-0.57,47.75,267857
tiny,-0.58,46.65,228489
bloodseeker,-0.63,52.07,424676
night-stalker,-0.67,51.56,133543
chaos-knight,-0.71,51.85,144213
dazzle,-0.94,53.17,178762
legion-commander,-0.97,50.50,793911
slark,-1.00,52.27,787526
lina,-1.13,45.70,188851
templar-assassin,-1.19,46.57,144915
phantom-lancer,-1.20,46.84,172424
lone-druid,-1.21,41.27,47704
queen-of-pain,-1.22,43.50,159171
oracle,-1.23,44.01,85359
tusk,-1.27,43.35,101465
invoker,-1.31,47.94,723335
huskar,-1.33,47.46,266861
doom,-1.42,44.66,90671
troll-warlord,-1.45,50.83,189210
sand-king,-1.54,50.62,326646
techies,-1.57,47.06,101756
windranger,-1.81,46.20,302997
kunkka,-1.87,49.01,389928
bristleback,-2.11,49.45,250646
enchantress,-2.20,40.82,71306
razor,-2.29,46.42,154488
nyx-assassin,-2.38,50.75,248664
viper,-2.44,49.61,174157
natures-prophet,-2.51,42.04,189673
shadow-fiend,-3.13,48.02,315154
weaver,-3.42,49.31,223310
gyrocopter,-3.58,44.78,91591
bounty-hunter,-3.77,46.17,340815
riki,-3.86,54.06,536030
clinkz,-4.09,45.58,196947
broodmother,-7.00,38.54,49867
