hero,para,rate,matches
phantom-assassin,4.58,48.04,752250
phoenix,3.65,48.56,77368
alchemist,2.65,50.77,231097
witch-doctor,2.35,49.45,155655
windranger,2.33,54.37,230518
sniper,2.19,47.75,456789
bloodseeker,1.96,48.72,292955
omniknight,1.80,38.85,248817
brewmaster,1.69,51.64,31923
gyrocopter,1.53,54.56,67640
sven,1.48,44.45,353114
wraith-king,1.44,43.03,258122
dragon-knight,1.40,49.54,99409
spirit-breaker,1.36,46.32,237260
juggernaut,1.29,48.86,532226
shadow-demon,1.15,52.98,83886
axe,1.08,46.24,397925
dazzle,1.01,46.98,137546
bristleback,0.97,50.15,161545
shadow-shaman,0.95,45.98,143710
enigma,0.94,46.73,97641
enchantress,0.90,58.96,55696
naga-siren,0.90,52.66,48976
natures-prophet,0.87,57.56,149240
sand-king,0.84,49.18,232342
slardar,0.83,47.48,223520
lifestealer,0.78,49.81,224778
necrophos,0.78,43.77,251196
pudge,0.73,45.78,722060
winter-wyvern,0.70,52.64,61694
clockwerk,0.64,48.18,90844
razor,0.57,52.98,116361
batrider,0.54,53.61,60181
riki,0.51,44.17,390004
jakiro,0.36,45.20,84739
viper,0.34,49.49,132007
tidehunter,0.25,47.87,127583
crystal-maiden,0.25,43.22,236114
vengeful-spirit,0.13,45.97,149283
broodmother,0.13,58.81,38404
bane,0.02,52.49,91945
invoker,-0.04,51.59,541887
venomancer,-0.18,46.67,108760
beastmaster,-0.19,51.76,41462
mirana,-0.23,46.20,460724
tusk,-0.23,56.14,74378
magnus,-0.24,51.46,133232
slark,-0.27,47.26,567881
legion-commander,-0.34,49.02,532741
lina,-0.37,53.76,151537
shadow-fiend,-0.41,50.41,227189
lycan,-0.43,51.75,45011
terrorblade,-0.45,48.95,74445
leshrac,-0.45,52.39,35740
ogre-magi,-0.54,43.84,210488
earthshaker,-0.69,47.96,211380
lion,-0.69,50.08,287657
chaos-knight,-0.72,47.62,90551
techies,-0.75,51.98,75201
oracle,-0.80,55.17,67027
troll-warlord,-0.80,48.22,132211
spectre,-0.80,42.92,187187
weaver,-0.86,48.70,167363
luna,-0.90,43.12,218510
visage,-0.90,53.37,18333
bounty-hunter,-0.97,51.69,262940
warlock,-1.12,42.30,86938
lich,-1.14,43.15,108973
undying,-1.17,47.08,76999
queen-of-pain,-1.18,55.47,119667
io,-1.18,60.48,31644
doom,-1.20,54.22,74457
dark-seer,-1.29,48.19,62127
clinkz,-1.31,51.96,155388
faceless-void,-1.37,50.05,302538
kunkka,-1.39,49.53,270744
keeper-of-the-light,-1.39,47.40,115925
lone-druid,-1.70,57.41,36723
centaur-warrunner,-1.71,42.25,126663
ember-spirit,-1.79,55.75,112201
medusa,-1.96,45.60,145564
abaddon,-1.98,41.54,104313
treant-protector,-2.12,43.87,64276
elder-titan,-2.15,42.86,73278
arc-warden,-2.17,53.64,46771
storm-spirit,-2.19,47.98,277099
tiny,-2.24,52.06,155553
disruptor,-2.44,46.12,121675
tinker,-2.47,49.47,271200
phantom-lancer,-2.49,51.46,117319
nyx-assassin,-2.89,46.79,199733
drow-ranger,-3.04,45.52,397324
chen,-3.07,54.64,18372
timbersaw,-3.07,47.93,263756
huskar,-3.07,50.49,189868
death-prophet,-3.13,49.91,79645
pugna,-3.23,50.27,77691
puck,-3.24,52.50,108370
night-stalker,-3.40,46.63,95894
templar-assassin,-3.43,51.23,107994
silencer,-3.53,43.03,199554
ursa,-3.55,42.27,220656
earth-spirit,-3.87,54.17,46527
rubick,-3.90,50.12,200557
ancient-apparition,-3.95,45.85,189832
skywrath-mage,-3.96,49.55,106654
underlord,-3.98,42.07,102118
zeus,-4.48,41.81,206399
meepo,-5.46,47.92,107065
outworld-devourer,-6.36,45.12,232849
anti-mage,-6.62,47.74,471459
