hero,para,rate,matches
earth-spirit,5.28,42.34,44709
drow-ranger,4.97,52.00,274092
techies,3.95,45.87,69823
bounty-hunter,3.06,45.66,251603
nyx-assassin,3.00,49.74,184578
winter-wyvern,2.05,45.14,61232
puck,2.05,43.14,92287
rubick,2.03,45.25,191224
shadow-demon,2.01,45.01,99630
skywrath-mage,1.98,45.79,92702
keeper-of-the-light,1.95,49.35,105947
earthshaker,1.89,49.10,207948
clockwerk,1.88,49.52,86693
elder-titan,1.68,53.59,62281
crystal-maiden,1.68,54.30,222638
zeus,1.64,53.60,178859
ancient-apparition,1.48,49.46,109929
spirit-breaker,1.30,51.45,211790
kunkka,1.28,46.84,240000
tinker,1.26,46.35,230538
batrider,1.08,43.66,55088
bloodseeker,1.04,49.20,257853
ember-spirit,0.91,40.18,84465
axe,0.88,51.19,378962
tusk,0.84,40.64,64931
disruptor,0.80,49.60,112192
faceless-void,0.77,46.10,236313
sand-king,0.76,48.07,225532
bane,0.75,44.35,84589
lich,0.69,53.22,100949
pudge,0.60,51.35,648620
venomancer,0.55,50.01,93738
lion,0.52,46.30,272357
enigma,0.47,50.42,86595
tiny,0.44,43.45,122566
timbersaw,0.39,47.22,235911
underlord,0.17,52.78,92799
riki,-0.04,52.54,347075
alchemist,-0.04,47.00,172767
invoker,-0.15,44.82,427863
pugna,-0.24,44.45,71061
ogre-magi,-0.40,52.22,210093
centaur-warrunner,-0.45,53.29,112101
lina,-0.46,42.37,130587
jakiro,-0.47,51.22,77740
mirana,-0.54,49.91,384402
phoenix,-0.54,49.37,72211
sniper,-0.72,49.40,312371
vengeful-spirit,-0.72,50.21,133814
ursa,-0.73,52.29,158292
witch-doctor,-0.76,47.79,142518
undying,-0.76,48.47,71348
treant-protector,-0.78,51.27,60915
visage,-0.80,42.33,16340
tidehunter,-0.94,48.27,121372
shadow-shaman,-0.95,50.46,126211
chen,-0.98,39.81,16972
arc-warden,-1.00,41.30,37669
warlock,-1.09,53.16,79057
templar-assassin,-1.10,42.98,85888
lone-druid,-1.23,37.75,29724
queen-of-pain,-1.23,39.93,99392
slardar,-1.29,48.76,197034
gyrocopter,-1.30,42.22,46682
doom,-1.30,41.12,62619
storm-spirit,-1.38,46.78,218966
necrophos,-1.45,52.31,207350
dark-seer,-1.48,46.95,56552
silencer,-1.76,50.97,166520
legion-commander,-1.83,46.43,459582
night-stalker,-1.84,47.32,82444
magnus,-1.86,44.08,98443
slark,-1.88,48.17,305939
phantom-assassin,-1.90,49.59,493940
spectre,-1.95,52.21,93659
meepo,-2.11,44.83,88043
clinkz,-2.14,42.91,109912
sven,-2.20,51.55,213008
brewmaster,-2.22,44.70,27246
dazzle,-2.23,48.86,127168
outworld-devourer,-2.41,47.13,167301
bristleback,-2.41,45.68,140997
weaver,-2.43,46.21,121363
beastmaster,-2.65,43.45,37145
shadow-fiend,-2.69,44.64,168984
abaddon,-2.77,52.65,91501
wraith-king,-2.79,52.60,197933
omniknight,-2.85,56.79,240826
naga-siren,-2.88,43.04,35614
huskar,-2.93,43.11,140393
juggernaut,-3.01,46.78,304171
lifestealer,-3.02,45.64,166508
luna,-3.08,51.37,115096
windranger,-3.10,42.04,181202
natures-prophet,-3.15,38.28,128849
phantom-lancer,-3.17,42.35,78132
death-prophet,-3.20,43.53,62633
io,-3.20,34.37,30045
viper,-3.30,45.60,102808
dragon-knight,-3.31,46.05,78014
chaos-knight,-3.89,46.63,66996
razor,-3.90,42.12,87227
leshrac,-4.14,42.07,30424
enchantress,-4.23,36.57,47134
troll-warlord,-4.26,45.83,94790
lycan,-4.28,42.62,35434
medusa,-4.40,47.77,86128
broodmother,-4.47,36.21,33088
oracle,-4.57,39.07,64132
anti-mage,-4.87,43.16,211672
terrorblade,-4.96,44.96,45487
