hero,para,rate,matches
visage,9.50,56.58,8339
arc-warden,7.60,56.65,14311
templar-assassin,6.96,54.40,27304
broodmother,6.09,60.04,16093
riki,5.84,44.25,86064
chaos-knight,4.87,48.01,30138
brewmaster,4.80,50.92,13043
techies,4.62,52.50,22099
wraith-king,4.61,42.15,62620
vengeful-spirit,4.59,45.75,37745
ancient-apparition,4.53,47.62,25378
abaddon,4.41,42.03,29022
lycan,4.31,51.93,18483
treant-protector,4.28,44.49,19191
shadow-demon,3.93,52.16,16362
bounty-hunter,3.79,51.91,60488
weaver,3.65,48.65,44827
chen,3.55,56.13,5138
ursa,3.36,43.09,56481
winter-wyvern,3.03,51.60,17639
night-stalker,2.94,47.45,29796
bane,2.88,51.75,23919
nyx-assassin,2.86,47.32,41990
silencer,2.86,43.67,40588
elder-titan,2.83,42.84,17857
batrider,2.77,52.55,16840
lich,2.60,42.59,29924
clinkz,2.52,51.74,42320
slardar,2.50,46.03,47046
skywrath-mage,2.44,50.61,26419
faceless-void,2.39,49.71,70678
beastmaster,2.33,50.83,10649
spirit-breaker,1.87,44.35,56854
pugna,1.64,50.57,21049
dazzle,1.62,45.06,30436
tinker,1.59,49.30,51941
earth-spirit,1.59,55.04,9356
undying,1.36,46.08,22688
io,1.27,59.86,7945
witch-doctor,1.24,46.71,36579
enchantress,1.20,56.97,18737
viper,1.19,47.70,40069
phantom-lancer,1.07,51.13,36250
pudge,0.97,43.71,132761
disruptor,0.91,45.51,26183
drow-ranger,0.79,45.13,84627
oracle,0.70,53.82,16184
tidehunter,0.68,45.88,30858
razor,0.57,50.78,34375
windranger,0.37,51.14,50595
enigma,0.36,44.29,24936
clockwerk,0.18,45.78,23683
kunkka,0.15,48.12,57522
bristleback,0.11,47.53,43053
omniknight,0.03,36.13,54104
terrorblade,0.02,47.00,25074
venomancer,-0.06,44.55,30731
warlock,-0.10,40.61,23982
mirana,-0.22,44.04,83776
natures-prophet,-0.24,54.77,36890
lion,-0.31,48.09,57105
phantom-assassin,-0.32,43.63,144374
slark,-0.35,45.05,100389
doom,-0.38,52.50,17614
rubick,-0.50,49.72,36999
underlord,-0.53,41.46,25054
lifestealer,-0.61,46.94,53202
bloodseeker,-0.65,45.31,70847
dark-seer,-0.70,46.31,18036
medusa,-0.72,44.02,41157
invoker,-0.75,49.05,87697
shadow-shaman,-0.77,43.05,36293
magnus,-0.90,48.95,31888
morphling,-0.98,47.34,48976
lone-druid,-1.04,55.68,10300
phoenix,-1.15,44.16,17241
ogre-magi,-1.24,41.41,39944
centaur-warrunner,-1.26,40.34,32016
keeper-of-the-light,-1.28,45.30,21550
death-prophet,-1.30,48.69,24473
jakiro,-1.34,42.30,23813
queen-of-pain,-1.37,53.23,31193
luna,-1.40,40.79,53785
huskar,-1.41,49.20,50514
tusk,-1.44,53.33,21183
dragon-knight,-1.47,45.99,30512
puck,-1.66,51.21,21471
meepo,-1.68,47.68,20207
crystal-maiden,-1.82,40.24,51900
sniper,-1.95,43.69,102192
troll-warlord,-1.98,45.51,36553
lina,-2.36,50.55,38640
shadow-fiend,-2.59,47.17,47706
outworld-devourer,-2.70,44.76,42856
gyrocopter,-2.86,50.08,25240
storm-spirit,-2.95,45.48,51199
tiny,-3.00,49.54,41113
spectre,-3.28,39.78,40977
alchemist,-3.47,45.63,51065
juggernaut,-3.52,44.44,99102
earthshaker,-3.64,44.43,56204
leshrac,-3.69,48.58,14373
necrophos,-3.80,39.73,50046
zeus,-4.18,39.89,48685
anti-mage,-4.37,46.79,82132
axe,-4.64,41.56,83125
legion-commander,-4.87,44.71,106039
sven,-4.95,39.60,78633
sand-king,-5.38,44.08,52285
ember-spirit,-7.51,50.51,31376
timbersaw,-8.50,43.24,50249
