hero,para,rate,matches
enchantress,9.12,39.44,15875
leshrac,8.48,45.28,12010
visage,8.37,43.94,6960
broodmother,6.32,38.13,13265
oracle,6.30,41.29,13985
arc-warden,5.67,41.85,11535
lycan,5.32,44.63,14805
bane,5.22,44.06,20231
winter-wyvern,4.91,44.15,15707
clinkz,4.86,43.74,34013
batrider,4.76,43.01,14306
lina,4.46,42.25,32685
gyrocopter,4.36,42.43,19901
death-prophet,4.32,44.66,20315
tiny,4.23,42.86,32905
techies,4.17,43.73,15840
natures-prophet,4.12,39.00,29957
skywrath-mage,4.01,44.46,22671
pugna,3.95,44.08,17926
brewmaster,3.87,45.23,10583
clockwerk,3.40,48.00,20439
razor,3.37,43.09,27862
keeper-of-the-light,2.99,47.61,19638
queen-of-pain,2.97,39.48,26404
huskar,2.60,43.36,40820
dragon-knight,2.52,46.59,24514
ursa,2.44,51.72,45190
dark-seer,2.41,46.58,15888
viper,2.38,46.05,32989
disruptor,2.23,48.07,22932
bounty-hunter,2.10,43.04,50673
sniper,2.09,48.56,80168
night-stalker,2.02,46.95,24393
legion-commander,2.00,46.02,82819
chaos-knight,1.97,47.25,24002
nyx-assassin,1.95,47.01,36860
witch-doctor,1.95,46.88,30644
riki,1.86,51.31,70745
windranger,1.59,41.90,42159
bristleback,1.56,45.34,35736
weaver,1.54,45.88,35949
tusk,1.43,38.76,17545
lion,1.19,44.41,47423
mirana,1.08,48.51,68963
lifestealer,0.99,45.33,41394
crystal-maiden,0.97,51.71,43482
shadow-shaman,0.97,49.23,29851
enigma,0.96,48.46,22449
troll-warlord,0.95,46.12,29121
ancient-apparition,0.94,47.00,22098
dazzle,0.88,48.21,26560
bloodseeker,0.84,46.90,56456
earthshaker,0.70,46.33,41144
centaur-warrunner,0.68,51.70,27093
terrorblade,0.68,45.44,18720
phantom-lancer,0.62,41.85,27976
pudge,0.53,49.11,112596
treant-protector,0.43,49.70,16286
jakiro,0.42,49.48,19930
spirit-breaker,0.38,48.79,45464
juggernaut,0.28,46.18,73337
vengeful-spirit,0.17,48.47,30437
slark,0.11,46.96,74978
underlord,0.06,50.53,20983
silencer,0.03,49.71,33258
elder-titan,-0.04,50.50,15110
rubick,-0.09,42.16,31968
venomancer,-0.11,47.49,25896
slardar,-0.13,47.15,39612
undying,-0.16,46.58,19690
axe,-0.22,48.45,68045
beastmaster,-0.23,42.39,9239
doom,-0.26,39.45,14913
zeus,-0.27,50.41,41794
warlock,-0.37,51.37,20142
necrophos,-0.40,50.69,42691
sven,-0.59,50.22,54964
ember-spirit,-0.73,37.46,21969
tinker,-0.77,43.27,43308
outworld-devourer,-0.79,45.75,35245
anti-mage,-0.80,42.87,55732
luna,-0.85,50.38,37223
kunkka,-0.92,43.68,46609
sand-king,-0.96,45.09,42594
lich,-1.06,50.14,24570
templar-assassin,-1.08,40.88,22509
timbersaw,-1.09,44.37,42195
earth-spirit,-1.29,37.64,8259
abaddon,-1.31,51.29,23952
io,-1.41,33.05,6435
storm-spirit,-1.50,44.57,42812
chen,-1.50,37.54,4294
invoker,-1.94,41.90,72867
phantom-assassin,-2.03,47.38,109788
faceless-void,-2.19,42.63,44364
shadow-fiend,-2.25,42.73,39832
shadow-demon,-2.38,40.98,15977
drow-ranger,-2.39,46.22,58577
medusa,-2.63,46.53,27858
wraith-king,-2.66,50.55,48472
tidehunter,-2.73,45.28,26296
morphling,-2.88,43.04,35614
magnus,-3.02,41.47,23904
omniknight,-3.20,54.52,40886
ogre-magi,-3.28,48.59,33002
phoenix,-4.19,45.46,14872
alchemist,-4.32,42.91,38379
puck,-4.58,38.32,18908
lone-druid,-4.98,34.37,8289
spectre,-5.50,48.26,26161
meepo,-5.86,41.08,16402
