hero,para,rate,matches
io,15.45,62.67,27491
chen,13.78,56.09,15711
visage,12.98,52.82,18155
tidehunter,12.53,45.85,78012
techies,9.50,49.59,77678
ancient-apparition,9.06,44.43,73271
arc-warden,8.07,51.59,34549
pugna,7.75,48.33,54863
warlock,6.53,38.35,59467
dark-seer,6.38,44.46,43978
enigma,6.17,41.78,65392
venomancer,6.08,42.20,75792
elder-titan,5.95,39.17,39202
lich,5.63,38.90,81115
abaddon,5.52,37.59,79658
earth-spirit,5.16,51.82,28794
oracle,5.15,51.03,41988
disruptor,4.91,42.27,69898
witch-doctor,4.80,43.28,105395
skywrath-mage,4.15,46.36,70126
undying,4.08,42.30,52772
brewmaster,4.01,45.46,27268
winter-wyvern,4.00,46.98,43700
broodmother,3.76,53.66,34494
phoenix,3.74,41.37,47379
leshrac,3.64,47.19,30917
enchantress,3.61,53.26,46240
silencer,3.42,39.02,106204
sniper,3.35,41.09,323293
shadow-demon,3.21,46.74,43832
viper,2.87,43.49,100399
underlord,2.81,38.03,60355
outworld-devourer,2.57,42.23,110739
batrider,2.40,47.34,40108
omniknight,2.37,32.46,150418
shadow-shaman,2.29,39.51,108637
jakiro,2.24,38.99,59646
keeper-of-the-light,1.94,41.86,69474
terrorblade,1.85,42.91,52844
weaver,1.84,42.85,118647
troll-warlord,1.71,42.29,98922
magnus,1.69,45.25,79489
kunkka,1.67,43.89,160332
ursa,1.46,37.53,156630
lifestealer,1.38,42.96,151157
puck,1.38,47.81,66154
bristleback,1.34,43.19,116352
lycan,1.32,45.47,38919
lone-druid,1.32,52.05,27089
night-stalker,1.27,41.78,70834
riki,1.14,37.53,267818
lina,1.10,47.38,107344
bloodseeker,0.89,41.14,212156
dazzle,0.81,39.87,91557
crystal-maiden,0.75,36.60,171411
queen-of-pain,0.71,49.41,81357
vengeful-spirit,0.66,39.23,97771
dragon-knight,0.62,42.08,73058
rubick,0.58,45.33,105656
sven,0.44,37.13,228315
drow-ranger,0.40,40.13,253081
medusa,0.39,39.71,92296
treant-protector,0.30,38.05,49287
naga-siren,0.29,45.23,36890
gyrocopter,0.27,46.77,52757
razor,0.19,45.67,87501
tusk,0.06,49.22,55068
faceless-void,0.01,43.67,163876
lion,-0.05,43.34,168556
bane,-0.05,45.37,71024
necrophos,-0.17,36.56,150763
invoker,-0.20,44.43,312517
earthshaker,-0.23,41.18,145877
clockwerk,-0.28,40.76,61226
phantom-lancer,-0.29,45.55,84055
tiny,-0.29,46.03,108829
windranger,-0.40,45.86,157692
death-prophet,-0.46,44.24,63242
pudge,-0.60,38.30,477110
bounty-hunter,-0.66,44.81,182467
wraith-king,-0.67,35.43,184584
beastmaster,-0.69,44.46,27406
juggernaut,-0.81,40.89,297080
luna,-0.88,36.37,135012
doom,-0.89,47.37,44889
clinkz,-0.90,45.15,116428
chaos-knight,-0.93,40.57,71501
ember-spirit,-0.96,49.22,78569
nyx-assassin,-1.03,40.75,110941
zeus,-1.11,36.53,145000
morphling,-1.16,42.44,149240
slardar,-1.24,39.61,126717
huskar,-1.27,44.42,140432
centaur-warrunner,-1.78,35.55,81505
meepo,-1.89,42.79,68065
templar-assassin,-1.97,45.05,72075
tinker,-2.01,42.77,164530
ogre-magi,-2.02,36.48,123587
mirana,-2.51,38.37,262588
alchemist,-2.62,41.30,147391
shadow-fiend,-2.86,42.30,141286
axe,-2.98,37.66,250235
sand-king,-3.32,40.36,138612
timbersaw,-3.68,40.84,150872
spirit-breaker,-4.01,37.22,197900
phantom-assassin,-4.06,37.42,487522
anti-mage,-4.76,41.94,246377
legion-commander,-5.40,39.87,365132
slark,-5.60,38.13,315351
storm-spirit,-6.87,39.13,152632
spectre,-10.00,32.82,115466
