hero,para,rate,matches
death-prophet,9.94,41.86,53043
broodmother,8.52,34.16,30301
bane,7.20,39.85,51524
leshrac,6.21,39.35,24271
brewmaster,6.20,41.19,22343
visage,6.06,38.08,13461
lycan,5.90,39.88,32679
razor,5.70,39.11,71716
beastmaster,5.64,39.89,23049
drow-ranger,5.59,44.86,232037
enchantress,5.03,33.34,31069
clinkz,4.80,38.79,96397
vengeful-spirit,4.50,45.46,78087
chaos-knight,4.16,43.22,62484
ursa,4.13,47.46,126705
naga-siren,4.12,39.00,29957
gyrocopter,3.77,37.37,42604
lone-druid,3.67,32.93,20171
arc-warden,3.53,36.24,28351
night-stalker,3.26,42.53,58812
huskar,3.02,38.68,117898
batrider,2.83,37.42,28692
oracle,2.76,35.23,30275
abaddon,2.60,48.28,64999
clockwerk,2.56,42.64,48791
shadow-shaman,2.52,44.97,78506
zeus,2.52,46.80,124964
terrorblade,2.45,41.31,45335
luna,2.26,46.95,114516
dazzle,2.03,43.79,66152
pugna,1.81,38.36,41585
witch-doctor,1.80,41.89,77874
doom,1.77,35.57,31250
lich,1.76,46.57,58416
dragon-knight,1.75,41.33,65995
jakiro,1.71,45.14,44567
enigma,1.62,43.82,36327
skywrath-mage,1.59,38.62,50869
viper,1.52,40.78,82552
centaur-warrunner,1.48,47.13,67980
bristleback,1.44,40.42,103335
weaver,1.43,40.95,100136
elder-titan,1.42,46.26,29449
phantom-lancer,1.40,37.43,74569
tiny,1.33,36.94,89662
axe,1.28,44.23,186362
winter-wyvern,1.10,37.79,33123
warlock,1.02,47.13,43948
riki,1.01,45.92,206219
slark,1.00,42.47,280604
lina,0.92,36.13,81645
slardar,0.90,42.73,105807
nyx-assassin,0.88,41.64,86629
alchemist,0.78,40.36,134700
venomancer,0.77,43.00,56487
troll-warlord,0.71,41.16,82358
treant-protector,0.70,44.90,36131
windranger,0.54,36.77,128656
meepo,0.49,39.06,58755
tusk,0.44,33.83,42217
earthshaker,0.44,41.35,103537
phantom-assassin,0.18,43.56,434327
queen-of-pain,-0.01,33.80,68881
wraith-king,-0.01,47.01,145684
necrophos,-0.06,45.96,114793
lion,-0.11,39.07,119461
spectre,-0.18,46.07,105705
templar-assassin,-0.20,36.57,64512
tinker,-0.27,38.74,144037
ogre-magi,-0.32,45.19,89300
undying,-0.52,41.59,40779
pudge,-0.54,43.73,380419
bloodseeker,-0.63,41.40,158490
sand-king,-0.71,40.42,101318
omniknight,-0.72,51.06,110795
puck,-0.74,35.27,55026
phoenix,-0.84,42.22,35469
faceless-void,-0.91,38.47,144134
storm-spirit,-1.06,40.01,133410
dark-seer,-1.23,40.16,33365
bounty-hunter,-1.32,36.95,131732
disruptor,-1.37,41.59,48212
sven,-1.61,44.88,196829
shadow-demon,-1.89,36.57,31614
invoker,-1.90,37.28,280851
crystal-maiden,-1.95,45.40,112263
medusa,-2.01,42.05,81502
spirit-breaker,-2.11,42.79,141820
ancient-apparition,-2.22,40.78,52745
underlord,-2.47,44.47,47890
magnus,-2.48,37.08,61014
keeper-of-the-light,-2.49,40.36,47986
mirana,-2.51,42.04,189673
silencer,-2.52,43.67,81326
legion-commander,-2.55,39.28,226314
shadow-fiend,-2.67,37.90,124607
anti-mage,-2.83,37.37,215780
sniper,-2.94,41.44,255271
lifestealer,-2.97,38.89,109766
ember-spirit,-3.06,32.22,67049
morphling,-3.15,38.28,128849
juggernaut,-3.20,39.90,255434
timbersaw,-3.22,38.77,129609
techies,-3.48,35.98,44750
outworld-devourer,-3.49,39.84,97197
rubick,-4.27,35.89,81724
chen,-4.32,32.14,10550
kunkka,-5.42,37.17,133022
earth-spirit,-5.84,31.65,20420
tidehunter,-12.35,36.55,68297
io,-16.67,24.41,19279
