hero,para,rate,matches
bristleback,7.08,60.23,204144
centaur-warrunner,5.77,52.40,145480
spectre,5.73,52.68,193537
axe,4.33,54.60,437798
timbersaw,3.67,58.08,263704
slark,3.33,55.77,497958
razor,2.97,60.94,121747
riki,2.93,52.01,391308
tiny,2.70,61.35,157674
naga-siren,2.70,60.29,48216
spirit-breaker,2.57,53.64,252047
omniknight,2.54,45.69,258524
dragon-knight,2.50,56.82,114156
lone-druid,2.29,66.13,34544
huskar,1.75,59.63,218890
sand-king,1.70,56.30,219651
bloodseeker,1.68,55.29,310500
night-stalker,1.68,55.78,101918
broodmother,1.64,66.02,41273
clockwerk,1.62,55.35,91340
troll-warlord,1.42,55.98,136385
tidehunter,1.17,54.97,125902
phantom-lancer,1.09,59.92,115304
phantom-assassin,1.02,53.07,727535
slardar,0.99,54.21,209796
winter-wyvern,0.96,59.35,63173
underlord,0.96,50.88,100300
bane,0.83,59.49,92486
ogre-magi,0.80,51.06,207930
tusk,0.73,63.09,75557
weaver,0.70,56.09,172143
bounty-hunter,0.64,59.09,261738
storm-spirit,0.59,55.96,246618
doom,0.57,61.65,67359
earthshaker,0.56,55.19,212629
dark-seer,0.54,55.70,62791
viper,0.52,56.19,147867
brewmaster,0.51,57.63,35184
sven,0.51,50.63,349998
beastmaster,0.47,58.66,37903
abaddon,0.43,49.13,113102
gyrocopter,0.42,60.46,70591
puck,0.38,60.93,95271
venomancer,0.36,53.54,111548
mirana,0.34,53.08,409043
treant-protector,0.20,51.51,68749
queen-of-pain,0.18,62.61,117741
lycan,0.17,58.60,49161
jakiro,0.16,51.70,88217
earth-spirit,0.16,62.80,39190
natures-prophet,0.04,63.41,145233
faceless-void,0.01,57.30,254284
lion,-0.11,56.92,264702
shadow-shaman,-0.11,52.08,149532
windranger,-0.24,59.48,230168
batrider,-0.28,59.64,56998
nyx-assassin,-0.31,54.61,179176
kunkka,-0.32,56.62,248241
legion-commander,-0.45,55.52,517095
pudge,-0.47,51.79,738998
vengeful-spirit,-0.47,52.26,141015
alchemist,-0.49,55.76,229794
outworld-devourer,-0.50,54.50,191322
io,-0.53,66.91,28662
shadow-fiend,-0.53,56.87,209173
phoenix,-0.56,53.14,74344
magnus,-0.60,57.77,119177
zeus,-0.62,50.03,218060
morphling,-0.62,56.22,243147
shadow-demon,-0.70,58.48,76308
techies,-0.72,58.46,74968
luna,-0.91,49.62,202476
rubick,-0.98,58.10,182262
elder-titan,-1.03,49.86,63173
leshrac,-1.10,58.48,39184
crystal-maiden,-1.12,49.12,239363
lina,-1.15,59.72,156500
death-prophet,-1.15,57.40,86277
tinker,-1.20,56.59,239075
invoker,-1.22,57.43,465160
clinkz,-1.25,58.42,152661
terrorblade,-1.32,55.02,73822
chaos-knight,-1.32,53.83,99654
enchantress,-1.35,63.80,60058
juggernaut,-1.40,54.07,464429
oracle,-1.47,61.10,64122
ursa,-1.51,49.64,226844
lifestealer,-1.53,55.14,232371
skywrath-mage,-1.58,57.21,100600
chen,-1.61,61.72,17168
wraith-king,-1.63,48.16,276921
enigma,-1.65,52.02,93619
templar-assassin,-1.68,58.54,102187
ember-spirit,-1.69,62.03,107840
undying,-1.90,53.20,82249
disruptor,-2.21,52.68,108754
keeper-of-the-light,-2.21,53.46,101184
anti-mage,-2.25,56.37,367961
arc-warden,-2.39,59.79,42655
meepo,-2.64,55.73,87019
witch-doctor,-2.75,53.40,161182
dazzle,-2.76,51.64,154359
silencer,-2.76,49.78,186231
pugna,-3.11,56.65,78883
lich,-3.12,48.66,115279
drow-ranger,-3.33,51.76,361511
visage,-3.35,58.30,20567
warlock,-3.43,47.64,92279
sniper,-3.54,51.44,465652
medusa,-5.19,50.35,146270
ancient-apparition,-5.31,51.45,119909
