hero,para,rate,matches
centaur-warrunner,3.16,61.91,111453
spirit-breaker,2.44,58.74,214827
clockwerk,2.34,56.48,75410
pugna,2.21,52.27,57528
tusk,2.15,47.79,63326
axe,2.04,58.46,367348
sven,1.95,60.36,333077
kunkka,1.59,53.69,211589
puck,1.55,49.58,76366
earthshaker,1.54,55.62,169075
sand-king,1.43,55.08,181603
riki,1.43,59.91,338925
tidehunter,1.40,56.10,97212
zeus,1.33,60.03,167278
pudge,1.29,58.33,586183
spectre,1.24,60.48,176274
mirana,1.22,57.44,316286
drow-ranger,1.20,56.78,325743
magnus,0.98,52.00,92819
tiny,0.92,50.28,136198
bristleback,0.90,53.89,156328
ursa,0.88,59.70,201377
rubick,0.77,51.32,117388
abaddon,0.74,61.05,92511
sniper,0.71,56.73,407050
luna,0.69,59.91,180861
nyx-assassin,0.63,55.23,143198
faceless-void,0.63,52.67,224825
chaos-knight,0.56,55.42,97028
night-stalker,0.55,55.10,87413
shadow-shaman,0.51,57.79,104440
dragon-knight,0.46,54.47,98125
witch-doctor,0.38,54.96,111177
elder-titan,0.38,59.43,50254
earth-spirit,0.37,46.88,29894
enigma,0.34,56.94,69956
phantom-assassin,0.27,57.26,669664
phantom-lancer,0.20,50.41,114172
queen-of-pain,0.15,46.99,94886
ember-spirit,0.08,46.32,97793
io,0.07,41.79,20157
storm-spirit,-0.00,54.02,206550
winter-wyvern,-0.05,50.79,45543
natures-prophet,-0.06,45.96,114793
meepo,-0.10,52.34,79256
vengeful-spirit,-0.16,57.04,105040
venomancer,-0.17,56.21,85550
juggernaut,-0.19,54.72,447161
crystal-maiden,-0.20,59.76,158437
omniknight,-0.23,64.55,170628
bloodseeker,-0.24,55.15,276242
invoker,-0.26,51.34,387534
underlord,-0.28,59.02,78556
techies,-0.30,50.56,58344
medusa,-0.32,56.36,130361
lycan,-0.34,50.94,43266
naga-siren,-0.40,50.69,42691
brewmaster,-0.44,52.07,30399
jakiro,-0.44,57.74,63836
outworld-devourer,-0.45,54.64,161305
troll-warlord,-0.45,54.22,124419
slark,-0.46,55.42,467970
shadow-fiend,-0.47,52.22,181410
weaver,-0.48,53.70,147904
disruptor,-0.49,55.52,75574
undying,-0.58,55.10,71707
tinker,-0.60,52.05,206211
beastmaster,-0.63,50.90,30870
treant-protector,-0.73,57.78,51726
alchemist,-0.74,53.22,197870
warlock,-0.82,59.72,64259
timbersaw,-0.83,53.19,197018
slardar,-0.85,55.50,189219
viper,-0.92,53.26,123493
silencer,-0.97,57.85,134250
legion-commander,-1.03,53.33,480670
gyrocopter,-1.05,48.82,60500
lifestealer,-1.05,53.10,211208
ogre-magi,-1.06,58.31,149201
lina,-1.19,48.53,118296
phoenix,-1.20,55.53,53178
lich,-1.24,58.62,80380
keeper-of-the-light,-1.24,54.31,70434
skywrath-mage,-1.30,50.82,71576
wraith-king,-1.32,59.77,263547
clinkz,-1.33,49.76,133187
windranger,-1.33,49.28,185141
lone-druid,-1.39,44.00,29110
huskar,-1.40,50.28,175474
morphling,-1.45,52.31,207350
anti-mage,-1.46,51.21,359247
bane,-1.49,49.84,66420
batrider,-1.50,49.01,42415
lion,-1.55,51.84,183729
death-prophet,-1.59,50.73,66192
bounty-hunter,-1.59,50.08,214626
terrorblade,-1.61,53.04,67915
razor,-1.68,49.56,101629
doom,-1.71,47.36,56928
templar-assassin,-1.76,49.15,89810
shadow-demon,-1.77,49.80,47342
chen,-1.87,45.81,12786
leshrac,-1.93,49.49,29520
oracle,-2.09,46.46,41890
ancient-apparition,-2.37,54.02,77994
arc-warden,-2.39,47.09,35117
visage,-2.68,47.91,15693
dazzle,-3.20,54.73,92036
broodmother,-3.59,42.70,34271
dark-seer,-3.82,52.18,44354
enchantress,-3.89,42.86,46358
