hero,para,rate,matches
tinker,3.68,54.37,106597
pugna,3.65,55.62,38034
morphling,3.17,53.37,95894
clinkz,3.07,56.04,84191
storm-spirit,2.82,52.21,105168
visage,2.64,57.03,12813
phoenix,2.50,49.78,33702
drow-ranger,2.48,49.87,180883
arc-warden,2.30,57.83,23270
skywrath-mage,2.29,54.54,51156
nyx-assassin,2.29,51.06,83223
earth-spirit,2.23,59.33,18079
silencer,2.09,47.29,76415
anti-mage,2.07,53.94,167378
faceless-void,1.98,53.51,121909
keeper-of-the-light,1.97,50.78,45520
io,1.86,64.00,15164
riki,1.81,46.48,197835
alchemist,1.77,52.09,100646
chen,1.71,59.05,9395
juggernaut,1.60,50.77,210373
lycan,1.56,54.53,34212
ursa,1.44,46.19,126222
medusa,1.43,48.92,71191
timbersaw,1.40,51.89,106567
techies,1.34,54.82,42654
weaver,1.33,51.52,91616
shadow-demon,1.08,54.68,30490
elder-titan,1.04,45.99,31047
outworld-devourer,1.02,50.42,82919
sniper,0.95,48.91,225891
phantom-assassin,0.88,48.08,339846
terrorblade,0.88,51.35,44779
pudge,0.84,47.56,291582
puck,0.80,56.41,44150
ember-spirit,0.73,58.88,53876
ancient-apparition,0.70,49.81,45879
lone-druid,0.69,60.49,19292
lich,0.51,45.59,57112
bane,0.46,54.45,45215
templar-assassin,0.36,54.96,54590
oracle,0.36,57.52,28978
luna,0.28,45.34,106228
shadow-fiend,0.27,52.48,96685
brewmaster,0.23,52.62,22376
zeus,0.23,45.58,102304
bounty-hunter,0.16,54.00,125905
undying,0.05,49.39,42336
windranger,0.04,54.87,108650
rubick,0.03,53.89,66127
winter-wyvern,-0.00,53.98,32146
queen-of-pain,-0.07,57.79,60548
spectre,-0.09,44.93,77348
death-prophet,-0.27,53.11,46023
enchantress,-0.34,59.90,35779
disruptor,-0.39,48.81,49530
beastmaster,-0.43,53.35,20979
invoker,-0.50,53.06,182636
magnus,-0.59,52.99,57140
leshrac,-0.62,54.01,23408
troll-warlord,-0.64,50.01,83288
warlock,-0.73,44.15,44237
lifestealer,-0.73,50.77,116067
jakiro,-0.75,46.40,44496
broodmother,-0.78,59.92,28810
shadow-shaman,-0.79,46.89,76050
legion-commander,-0.80,50.50,229366
mirana,-0.82,47.63,165811
lion,-0.84,51.71,113561
natures-prophet,-0.89,58.22,70834
doom,-0.93,56.06,33875
kunkka,-0.94,51.47,112651
dark-seer,-0.96,50.06,31989
vengeful-spirit,-1.00,47.15,72475
batrider,-1.01,54.48,29114
sven,-1.01,45.04,165085
tiny,-1.02,54.41,82095
tusk,-1.03,57.37,43903
omniknight,-1.09,39.37,108284
lina,-1.10,55.06,79472
dragon-knight,-1.18,49.99,61329
abaddon,-1.36,43.47,56185
underlord,-1.45,44.87,48744
viper,-1.51,50.28,85719
earthshaker,-1.54,49.25,99857
wraith-king,-1.57,43.42,132777
slark,-1.64,48.30,213146
gyrocopter,-1.78,54.46,44736
axe,-1.79,46.61,185079
spirit-breaker,-1.81,46.56,128593
centaur-warrunner,-1.93,43.82,63553
necrophos,-2.01,44.23,105617
clockwerk,-2.11,48.56,46085
crystal-maiden,-2.26,43.81,107276
bloodseeker,-2.33,48.35,162708
venomancer,-2.37,47.32,57564
phantom-lancer,-2.38,53.19,71053
witch-doctor,-2.41,48.84,71702
sand-king,-2.45,49.26,102104
huskar,-2.46,52.48,118472
dazzle,-2.50,47.03,59353
naga-siren,-2.52,52.55,29796
tidehunter,-2.54,48.21,58179
treant-protector,-2.56,45.34,36755
enigma,-2.59,46.77,46196
slardar,-2.70,47.49,101245
bristleback,-3.15,49.77,95629
chaos-knight,-3.25,48.07,60484
ogre-magi,-3.33,44.26,85785
razor,-3.39,52.55,67434
meepo,-5.57,49.49,39699
