hero,para,rate,matches
visage,4.97,46.57,10691
leshrac,4.95,47.85,20140
gyrocopter,4.14,46.32,36518
winter-wyvern,3.53,47.57,27387
enchantress,3.37,41.18,29549
natures-prophet,3.26,42.53,58812
lycan,3.09,47.67,26285
broodmother,2.95,40.71,22437
jakiro,2.93,54.74,37212
warlock,2.89,57.06,37547
brewmaster,2.79,48.75,16947
pugna,2.70,47.51,32975
disruptor,2.60,52.25,42890
shadow-fiend,2.59,48.82,81433
lich,2.38,55.87,48969
sven,2.34,55.70,126823
crystal-maiden,2.25,56.35,95180
phantom-lancer,2.13,46.41,58495
enigma,2.13,53.02,36733
terrorblade,2.09,50.06,36751
troll-warlord,2.09,50.63,65955
luna,2.07,55.85,88981
naga-siren,2.02,46.95,24393
witch-doctor,2.01,50.89,62031
sniper,1.80,52.41,194786
chen,1.55,42.52,7968
batrider,1.53,45.58,22846
ancient-apparition,1.53,51.24,39687
bristleback,1.45,49.24,64352
medusa,1.45,52.45,60095
anti-mage,1.40,47.75,137832
lone-druid,1.34,40.39,15257
skywrath-mage,1.29,47.22,43699
oracle,1.23,43.14,24270
tiny,1.23,45.52,63146
lina,1.11,44.75,67581
juggernaut,1.07,50.50,169404
death-prophet,1.04,47.17,38340
viper,1.04,49.39,68688
meepo,0.97,47.98,32964
queen-of-pain,0.93,42.49,50765
razor,0.85,45.92,54073
alchemist,0.85,49.16,83093
elder-titan,0.80,54.86,23742
weaver,0.74,49.44,74565
dark-seer,0.65,49.71,23768
doom,0.63,43.62,26022
bloodseeker,0.62,50.73,126041
undying,0.58,50.86,30903
chaos-knight,0.56,50.53,47029
necrophos,0.55,55.10,87413
zeus,0.55,54.76,86488
sand-king,0.54,49.70,76376
underlord,0.53,54.69,35300
kunkka,0.51,48.21,83864
windranger,0.45,45.29,89454
magnus,0.44,46.83,39609
dragon-knight,0.42,49.55,45090
beastmaster,0.38,46.53,15110
shadow-shaman,0.29,52.82,65680
techies,0.27,45.96,32604
axe,0.19,52.57,126047
ursa,0.10,54.45,96625
vengeful-spirit,0.08,52.34,60409
legion-commander,0.05,49.04,179262
venomancer,0.03,51.47,47971
earthshaker,0.02,49.92,78836
silencer,-0.05,53.58,65649
dazzle,-0.07,51.66,52069
phantom-assassin,-0.09,52.23,274174
bane,-0.12,45.67,38840
huskar,-0.20,46.03,90426
phoenix,-0.24,51.24,26960
ember-spirit,-0.35,41.33,44728
slark,-0.41,50.61,176192
abaddon,-0.43,55.62,42324
spectre,-0.45,54.71,64235
invoker,-0.47,46.38,150592
outworld-devourer,-0.52,49.77,71114
keeper-of-the-light,-0.53,49.87,37604
clinkz,-0.59,45.29,69785
tusk,-0.61,41.71,33530
timbersaw,-0.62,48.45,75003
mirana,-0.67,51.56,133543
tidehunter,-0.68,50.12,40242
lifestealer,-0.68,48.45,87654
tinker,-0.77,47.12,88740
templar-assassin,-0.88,44.77,46031
arc-warden,-0.91,43.01,19448
wraith-king,-0.91,55.31,100578
shadow-demon,-0.96,45.39,25647
drow-ranger,-0.99,50.76,146269
riki,-1.02,53.72,153989
bounty-hunter,-1.06,45.52,103037
centaur-warrunner,-1.09,54.64,44559
omniknight,-1.12,59.45,87938
io,-1.24,36.64,12764
slardar,-1.31,50.45,70902
rubick,-1.46,45.38,62759
lion,-1.62,47.00,100375
ogre-magi,-1.68,53.24,69183
morphling,-1.84,47.32,82444
puck,-2.31,42.96,36978
treant-protector,-2.31,52.16,28886
clockwerk,-2.61,49.01,32394
faceless-void,-2.72,46.18,85802
pudge,-2.95,51.21,227206
earth-spirit,-2.99,40.64,14449
spirit-breaker,-3.06,50.91,93220
nyx-assassin,-3.58,48.23,63761
storm-spirit,-4.10,47.14,88450
