hero,para,rate,matches
outworld-devourer,4.69,52.34,248663
wraith-king,4.55,46.21,216693
timbersaw,4.40,53.52,209751
tinker,4.25,54.77,226787
medusa,3.71,50.11,135854
phoenix,3.52,50.37,61913
morphling,2.69,53.21,199733
ancient-apparition,2.45,50.76,92087
luna,2.38,46.38,174332
shadow-demon,2.33,55.45,68280
invoker,2.32,54.66,369468
storm-spirit,2.31,52.04,252389
crystal-maiden,1.93,45.77,177669
lich,1.91,46.31,90789
sand-king,1.69,51.44,201427
weaver,1.61,51.75,136467
slark,1.59,49.98,372620
keeper-of-the-light,1.42,50.59,88031
mirana,1.33,48.75,320129
oracle,1.08,58.02,55029
windranger,1.04,55.50,169986
lina,1.01,56.32,128042
abaddon,0.80,44.51,84796
dazzle,0.73,48.67,99612
natures-prophet,0.72,59.25,110941
queen-of-pain,0.70,58.32,96333
pugna,0.69,54.12,67947
leshrac,0.67,54.79,35852
elder-titan,0.63,45.89,56768
alchemist,0.60,51.58,154297
puck,0.55,56.35,78789
bloodseeker,0.46,49.82,230583
enigma,0.45,48.32,74109
necrophos,0.34,45.38,186037
faceless-void,0.28,52.70,237314
witch-doctor,0.24,50.25,121411
shadow-fiend,0.21,52.53,157233
axe,0.19,47.64,313702
bristleback,0.14,51.55,125330
phantom-assassin,0.14,47.81,482191
skywrath-mage,0.09,53.45,90754
arc-warden,0.06,56.65,37036
legion-commander,0.05,51.02,363750
sniper,-0.01,48.53,342348
lion,-0.07,52.21,216155
ogre-magi,-0.15,45.80,162696
bane,-0.15,54.21,73965
zeus,-0.19,45.48,174666
omniknight,-0.26,39.78,183509
warlock,-0.27,44.44,71877
batrider,-0.34,54.93,54860
meepo,-0.35,52.31,63784
dark-seer,-0.35,50.46,55093
disruptor,-0.38,48.90,95185
centaur-warrunner,-0.45,44.57,104896
techies,-0.46,53.93,57510
spectre,-0.54,44.81,139429
jakiro,-0.61,46.55,72013
winter-wyvern,-0.64,53.73,50757
terrorblade,-0.65,50.65,63179
silencer,-0.70,46.08,157184
drow-ranger,-0.71,48.41,288690
troll-warlord,-0.75,50.04,99212
vengeful-spirit,-0.82,47.33,117518
doom,-0.84,56.19,57803
rubick,-0.91,53.47,140939
clockwerk,-0.91,49.24,82440
ursa,-0.93,45.20,165028
earthshaker,-1.00,49.60,165216
gyrocopter,-1.00,54.98,59170
riki,-1.05,45.26,314240
enchantress,-1.12,59.51,47790
ember-spirit,-1.13,57.88,86921
undying,-1.21,48.85,66667
kunkka,-1.21,51.42,207390
anti-mage,-1.24,52.27,281896
pudge,-1.25,46.66,514703
brewmaster,-1.33,51.89,28906
razor,-1.39,53.72,97585
underlord,-1.50,44.93,93483
death-prophet,-1.79,52.38,66939
broodmother,-1.80,59.39,35934
chen,-1.80,57.10,14510
lone-druid,-1.91,59.01,28410
magnus,-1.92,52.37,98271
phantom-lancer,-1.95,53.51,90487
io,-2.13,61.58,23535
bounty-hunter,-2.15,52.84,244564
spirit-breaker,-2.17,46.47,188346
tidehunter,-2.20,48.46,108472
treant-protector,-2.27,45.56,54277
night-stalker,-2.28,48.94,83223
sven,-2.33,44.53,244924
tiny,-2.34,53.76,121119
tusk,-2.35,56.68,60718
slardar,-2.39,47.73,193981
clinkz,-2.39,53.16,126951
naga-siren,-2.43,52.68,41990
earth-spirit,-2.68,56.57,35573
shadow-shaman,-2.86,45.99,110906
venomancer,-2.91,47.15,97570
beastmaster,-3.03,52.04,33801
dragon-knight,-3.14,49.08,80969
visage,-3.24,53.84,18011
chaos-knight,-3.32,48.12,74997
huskar,-3.38,52.07,146657
juggernaut,-3.50,48.30,371132
templar-assassin,-3.93,52.69,82175
lycan,-3.94,51.66,40271
viper,-4.17,49.00,110724
lifestealer,-5.57,48.38,173752
