hero,para,rate,matches
anti-mage,7.05,50.50,282213
alchemist,4.60,51.08,152218
juggernaut,4.10,52.10,344390
io,3.90,38.63,18052
earth-spirit,3.86,43.60,27847
meepo,3.72,49.38,58521
lifestealer,3.69,50.67,166864
storm-spirit,3.59,51.01,196865
ember-spirit,3.54,43.03,78153
underlord,3.12,56.19,60750
morphling,3.00,49.74,184578
arc-warden,2.86,44.73,31102
keeper-of-the-light,2.85,51.65,67468
medusa,2.76,53.21,104315
chen,2.63,43.06,11225
sven,2.54,55.90,221783
pugna,2.44,47.48,53157
shadow-demon,2.43,47.03,57199
elder-titan,2.17,55.69,43100
terrorblade,2.13,50.16,55842
naga-siren,1.95,47.01,36860
tinker,1.93,48.49,171150
oracle,1.85,43.49,46048
invoker,1.83,47.54,309956
enigma,1.79,52.93,57756
spectre,1.76,56.02,135650
outworld-devourer,1.69,50.96,158519
sniper,1.65,52.42,279512
luna,1.60,55.68,155661
ancient-apparition,1.59,51.36,72464
timbersaw,1.57,49.61,140152
undying,1.11,51.21,49062
warlock,1.09,56.15,56853
phoenix,1.04,51.98,44558
tidehunter,1.04,51.07,66639
abaddon,0.91,56.45,66543
natures-prophet,0.88,41.64,86629
dark-seer,0.76,49.85,33849
omniknight,0.72,60.65,143369
necrophos,0.63,55.23,143198
magnus,0.63,47.01,67644
phantom-assassin,0.62,52.69,436233
faceless-void,0.60,47.84,157615
venomancer,0.56,51.83,74797
rubick,0.55,46.40,119079
puck,0.52,44.29,65087
silencer,0.46,53.95,128063
pudge,0.43,53.08,435943
zeus,0.41,54.77,139529
visage,0.39,44.63,14039
kunkka,0.37,48.24,165921
centaur-warrunner,0.28,55.49,72819
winter-wyvern,0.10,46.08,43034
jakiro,-0.05,53.25,54884
phantom-lancer,-0.15,45.46,82476
templar-assassin,-0.25,45.14,73505
lycan,-0.34,46.17,33917
queen-of-pain,-0.42,42.01,80437
shadow-fiend,-0.51,47.43,147064
doom,-0.60,43.17,46108
witch-doctor,-0.67,49.64,93366
brewmaster,-0.72,47.17,22953
disruptor,-0.72,50.65,77347
dazzle,-0.75,51.40,79202
lone-druid,-0.79,39.63,22679
ursa,-0.86,54.01,143837
legion-commander,-0.92,48.65,321185
beastmaster,-1.05,45.95,23952
bloodseeker,-1.18,49.91,189426
treant-protector,-1.23,52.83,42294
batrider,-1.32,44.38,36139
earthshaker,-1.35,49.32,119880
bristleback,-1.37,47.96,92732
wraith-king,-1.38,55.13,172729
ogre-magi,-1.40,53.47,121050
clockwerk,-1.42,49.70,51886
enchantress,-1.44,39.34,38169
windranger,-1.46,44.51,133396
skywrath-mage,-1.49,46.00,68207
lich,-1.51,53.84,69615
lina,-1.52,43.67,100687
troll-warlord,-1.68,48.85,86003
leshrac,-1.81,44.85,26536
chaos-knight,-1.82,49.42,65923
huskar,-1.86,45.35,121718
axe,-1.88,51.56,236214
lion,-1.93,46.94,165730
death-prophet,-2.18,45.75,55146
crystal-maiden,-2.18,54.00,129026
shadow-shaman,-2.22,51.59,81690
razor,-2.27,44.59,83063
vengeful-spirit,-2.31,51.18,90543
mirana,-2.38,50.75,248664
tiny,-2.39,43.97,99469
viper,-2.46,47.76,91897
weaver,-2.49,47.95,102936
dragon-knight,-2.52,48.19,68201
clinkz,-2.57,44.48,95767
bounty-hunter,-2.58,44.91,155279
gyrocopter,-2.62,43.40,49438
drow-ranger,-2.79,49.92,214883
slark,-2.80,49.48,336884
bane,-2.85,44.51,56714
spirit-breaker,-2.85,51.10,144667
slardar,-2.86,49.74,116795
sand-king,-2.92,48.07,124789
night-stalker,-3.58,48.23,63761
techies,-4.57,43.82,40693
tusk,-4.75,40.06,46361
riki,-4.87,51.72,215041
broodmother,-5.05,37.62,26656
