hero,para,rate,matches
troll-warlord,4.18,56.82,113093
phantom-assassin,3.72,53.81,634541
enchantress,3.29,66.19,48314
ursa,3.02,51.25,188115
night-stalker,2.81,55.74,85785
timbersaw,2.69,56.87,221946
windranger,2.45,60.43,202147
bristleback,2.30,56.88,153749
broodmother,2.19,65.77,30704
riki,2.18,50.95,334174
lone-druid,1.92,65.28,29672
wraith-king,1.88,49.22,236497
leshrac,1.77,59.53,31162
gyrocopter,1.71,60.60,57839
tiny,1.70,60.11,134812
bloodseeker,1.52,54.54,261734
dragon-knight,1.48,55.60,90061
clinkz,1.41,59.35,130310
shadow-fiend,1.37,57.30,187070
lycan,1.23,58.57,38251
natures-prophet,1.20,63.52,123587
legion-commander,1.18,55.77,439797
brewmaster,1.17,57.35,27534
slardar,1.12,53.62,206324
skywrath-mage,0.98,58.05,90199
spectre,0.98,49.66,163293
bane,0.97,58.92,82752
naga-siren,0.89,58.59,39944
queen-of-pain,0.83,62.40,102108
visage,0.76,60.14,15870
drow-ranger,0.75,53.28,336536
centaur-warrunner,0.73,49.24,112859
vengeful-spirit,0.73,52.23,146963
techies,0.69,58.65,67433
lina,0.66,60.18,132513
tusk,0.64,62.41,65402
razor,0.63,58.91,103117
shadow-shaman,0.62,51.80,138249
mirana,0.55,52.53,391510
death-prophet,0.53,57.73,73598
crystal-maiden,0.48,49.26,231292
axe,0.47,51.93,360632
morphling,0.42,56.16,210488
viper,0.37,55.46,122005
bounty-hunter,0.34,58.28,230144
sven,0.34,49.89,304959
alchemist,0.33,55.57,178556
lion,0.28,56.50,278749
keeper-of-the-light,0.17,54.10,99979
nyx-assassin,0.13,54.20,162696
lich,0.11,49.62,108268
luna,0.07,49.46,182392
templar-assassin,0.07,58.95,94645
batrider,0.02,59.18,51079
earthshaker,-0.01,54.23,201630
doom,-0.04,60.65,57749
jakiro,-0.06,50.94,83468
io,-0.10,66.62,26716
pudge,-0.17,51.30,629867
terrorblade,-0.18,55.01,60001
zeus,-0.19,49.59,189168
weaver,-0.25,54.92,144831
anti-mage,-0.31,56.84,330709
ember-spirit,-0.35,62.27,94313
medusa,-0.62,52.13,124053
winter-wyvern,-0.65,57.77,56384
invoker,-0.66,57.12,438476
kunkka,-0.66,55.78,230402
spirit-breaker,-0.70,51.27,226785
silencer,-0.70,50.18,170232
puck,-0.75,59.62,92174
necrophos,-0.76,48.97,216337
clockwerk,-0.76,53.41,80038
arc-warden,-0.76,60.16,36426
tinker,-0.76,56.20,226382
venomancer,-0.78,52.28,94619
outworld-devourer,-0.79,53.69,178029
juggernaut,-0.82,53.74,422549
sniper,-0.86,52.21,403929
sand-king,-0.90,54.21,211894
faceless-void,-0.90,56.14,230334
ancient-apparition,-0.91,53.19,100836
pugna,-0.97,57.27,66758
storm-spirit,-0.98,54.45,224032
dazzle,-1.01,51.92,128747
beastmaster,-1.11,57.11,34997
rubick,-1.12,57.39,170565
slark,-1.13,52.73,436310
chaos-knight,-1.28,53.21,81041
lifestealer,-1.28,54.64,209648
disruptor,-1.28,52.54,111142
magnus,-1.37,56.69,113404
huskar,-1.38,57.17,166144
omniknight,-1.39,43.30,239010
oracle,-1.40,60.53,59144
enigma,-1.42,51.50,85647
witch-doctor,-1.48,53.45,154355
phoenix,-1.57,51.96,70118
earth-spirit,-1.62,61.08,39066
shadow-demon,-1.86,57.17,77985
dark-seer,-1.95,53.69,57483
chen,-2.07,60.83,15496
phantom-lancer,-2.16,57.37,94365
abaddon,-2.53,47.05,97464
underlord,-2.54,48.48,82566
treant-protector,-2.60,49.43,58801
undying,-3.00,51.97,74068
tidehunter,-3.04,52.05,119556
warlock,-3.16,47.14,85316
elder-titan,-3.92,47.77,58714
meepo,-4.58,54.01,81495
