hero,para,rate,matches
sniper,4.13,57.98,388950
medusa,3.71,57.97,127635
templar-assassin,3.37,51.04,89538
sven,3.07,60.37,290863
clinkz,2.16,50.85,119000
juggernaut,2.11,55.32,415240
abaddon,1.98,61.16,70037
riki,1.86,59.51,261700
magnus,1.75,51.74,88382
ursa,1.66,59.51,169986
io,1.62,41.79,15715
meepo,1.56,52.55,72352
shadow-fiend,1.55,52.62,177129
faceless-void,1.51,52.47,207007
tinker,1.28,52.37,206170
warlock,1.21,60.31,49418
invoker,1.20,51.43,396539
chen,1.09,46.53,9596
luna,1.06,59.48,174407
alchemist,1.02,53.50,171058
puck,0.91,48.60,81027
troll-warlord,0.86,54.27,103135
weaver,0.85,53.75,136600
outworld-devourer,0.82,54.68,178639
zeus,0.82,59.09,151446
drow-ranger,0.78,55.90,321694
omniknight,0.74,64.58,118612
kunkka,0.73,52.57,171335
undying,0.70,55.16,50654
timbersaw,0.68,53.34,194913
ember-spirit,0.68,45.94,85743
terrorblade,0.68,53.61,55990
winter-wyvern,0.66,50.49,31248
anti-mage,0.60,51.61,319762
lycan,0.49,50.71,31098
tiny,0.44,49.38,111478
mirana,0.44,56.35,311670
arc-warden,0.39,47.78,30396
pudge,0.35,57.14,471586
lifestealer,0.34,53.19,176245
phoenix,0.33,55.74,45471
underlord,0.26,58.70,60050
elder-titan,0.25,58.72,33199
lich,0.25,58.87,59390
enigma,0.21,56.22,51826
silencer,0.21,57.90,118312
pugna,0.13,50.55,43410
ancient-apparition,0.08,54.72,56581
lone-druid,0.08,44.01,24826
keeper-of-the-light,-0.06,54.31,53932
dark-seer,-0.09,53.55,39353
jakiro,-0.11,57.30,44641
dragon-knight,-0.14,53.49,80539
witch-doctor,-0.15,54.02,74724
bloodseeker,-0.25,54.50,212898
treant-protector,-0.29,57.40,32930
rubick,-0.31,50.11,92384
natures-prophet,-0.32,45.19,89300
techies,-0.37,49.87,41672
clockwerk,-0.37,54.34,64155
slark,-0.37,54.83,414153
disruptor,-0.38,54.93,57782
morphling,-0.40,52.22,210093
doom,-0.42,47.34,45426
batrider,-0.44,48.89,41462
spectre,-0.46,58.83,152891
enchantress,-0.51,43.72,35468
phantom-assassin,-0.55,56.15,592531
centaur-warrunner,-0.56,59.05,89419
gyrocopter,-0.59,48.40,50699
axe,-0.71,56.25,275998
skywrath-mage,-0.72,50.47,56436
wraith-king,-0.80,59.46,210229
phantom-lancer,-0.84,49.24,89352
bounty-hunter,-0.89,49.78,157652
brewmaster,-0.94,51.16,22118
leshrac,-0.96,49.32,22353
spirit-breaker,-0.98,56.14,165899
legion-commander,-0.98,52.72,376953
earth-spirit,-1.00,45.59,22486
bristleback,-1.05,52.20,130445
necrophos,-1.06,58.31,149201
windranger,-1.06,48.77,175320
storm-spirit,-1.09,52.79,207159
shadow-demon,-1.10,49.50,43797
death-prophet,-1.13,50.32,60476
crystal-maiden,-1.18,58.55,114041
venomancer,-1.18,55.00,64870
tidehunter,-1.20,54.01,87619
lina,-1.26,47.85,96969
sand-king,-1.32,52.94,145165
huskar,-1.34,49.67,145747
queen-of-pain,-1.39,45.63,91753
nyx-assassin,-1.40,53.47,121050
tusk,-1.41,45.48,47713
earthshaker,-1.42,53.36,107157
visage,-1.54,47.82,10692
dazzle,-1.65,54.97,66858
night-stalker,-1.68,53.24,69183
razor,-1.72,48.89,93860
slardar,-1.79,54.34,170257
viper,-1.87,52.11,110805
vengeful-spirit,-1.91,55.41,84668
beastmaster,-1.93,49.59,27002
shadow-shaman,-2.02,55.70,70807
chaos-knight,-2.26,53.23,74255
oracle,-2.74,45.51,33950
lion,-3.10,50.39,126074
naga-siren,-3.28,48.59,33002
broodmother,-4.12,41.84,25223
bane,-4.36,47.76,45292
