hero,para,rate,matches
spectre,5.68,58.41,192788
wraith-king,4.63,56.93,285310
slark,4.49,62.00,523959
lifestealer,4.18,63.85,246780
phantom-assassin,4.03,60.26,762238
chaos-knight,3.84,62.19,106914
huskar,3.25,65.86,220242
legion-commander,2.67,62.69,579046
viper,2.66,62.83,153213
storm-spirit,2.52,62.47,250913
riki,2.35,57.27,432849
spirit-breaker,2.17,58.95,260614
slardar,1.86,60.14,230378
centaur-warrunner,1.79,55.97,131656
bristleback,1.70,62.57,193189
bounty-hunter,1.52,64.87,260665
sven,1.38,56.58,406971
shadow-shaman,1.25,58.26,169865
anti-mage,1.19,63.64,379337
ogre-magi,1.09,56.70,239010
tusk,1.00,68.26,77392
alchemist,0.98,61.93,220843
clockwerk,0.84,60.31,89773
tiny,0.83,65.40,163034
lycan,0.76,64.16,50254
ember-spirit,0.74,68.53,109555
pudge,0.72,57.86,739731
night-stalker,0.72,60.63,108284
phantom-lancer,0.52,64.75,138514
troll-warlord,0.51,60.82,149882
kunkka,0.36,62.28,277658
dragon-knight,0.34,60.96,109820
abaddon,0.31,54.54,115370
juggernaut,0.29,60.34,570898
brewmaster,0.25,62.72,39347
beastmaster,0.18,63.70,40891
nyx-assassin,0.17,60.22,183509
winter-wyvern,0.15,64.05,74500
witch-doctor,0.15,60.32,174827
tidehunter,0.14,59.77,132660
naga-siren,-0.01,63.87,54104
batrider,-0.08,64.87,61155
mirana,-0.09,58.23,453711
treant-protector,-0.11,56.76,72605
gyrocopter,-0.22,65.16,73139
ursa,-0.24,55.70,253651
phoenix,-0.34,58.61,80867
lone-druid,-0.42,69.17,35285
skywrath-mage,-0.44,63.05,112323
earthshaker,-0.45,59.95,233035
sniper,-0.47,58.42,483683
zeus,-0.49,55.50,220868
earth-spirit,-0.53,67.30,43750
lion,-0.57,61.88,311356
puck,-0.58,65.39,105089
bane,-0.58,63.79,103616
sand-king,-0.67,60.26,238814
keeper-of-the-light,-0.83,59.50,119597
broodmother,-0.87,69.14,42161
windranger,-1.03,64.08,244008
queen-of-pain,-1.04,66.76,126759
natures-prophet,-1.10,67.54,150418
morphling,-1.11,61.15,248817
crystal-maiden,-1.27,54.42,273355
dazzle,-1.32,57.71,182162
axe,-1.35,56.96,449746
doom,-1.46,65.37,83605
io,-1.48,70.82,31822
meepo,-1.51,61.54,96542
elder-titan,-1.66,54.89,66614
disruptor,-1.69,58.23,132580
bloodseeker,-1.69,58.71,338524
jakiro,-1.78,56.02,95402
invoker,-1.79,62.21,534445
templar-assassin,-1.82,63.49,111451
shadow-fiend,-1.83,61.27,218967
timbersaw,-1.83,60.19,265852
silencer,-1.88,55.55,247712
magnus,-2.03,62.04,138356
techies,-2.03,62.75,84932
necrophos,-2.06,54.30,267447
venomancer,-2.06,57.51,116276
clinkz,-2.06,62.98,162362
warlock,-2.07,53.64,101361
vengeful-spirit,-2.14,56.66,160177
tinker,-2.16,61.17,274698
death-prophet,-2.26,61.84,89272
chen,-2.30,66.12,18745
enchantress,-2.38,67.84,62542
lina,-2.39,63.94,162694
leshrac,-2.40,62.74,40429
underlord,-2.49,54.44,98230
arc-warden,-2.76,64.46,48659
drow-ranger,-2.85,57.23,410980
razor,-2.87,62.48,125016
medusa,-3.00,56.74,154836
rubick,-3.11,61.87,234502
terrorblade,-3.24,59.07,78216
weaver,-3.30,58.99,182172
pugna,-3.35,61.52,79340
lich,-3.40,53.77,131122
dark-seer,-3.42,58.64,68666
oracle,-3.75,64.49,88840
visage,-3.78,62.94,21619
luna,-3.85,53.38,219121
faceless-void,-3.96,60.06,312734
ancient-apparition,-4.02,57.28,134367
shadow-demon,-4.14,61.41,109278
outworld-devourer,-5.06,57.07,222176
undying,-5.53,56.29,87584
enigma,-6.25,54.64,116055
