hero,para,rate,matches
huskar,3.83,58.58,222566
pudge,2.87,64.62,618972
sven,2.67,66.08,398785
axe,2.57,64.14,442807
sniper,2.49,63.14,431270
outworld-devourer,2.43,61.68,235389
crystal-maiden,2.20,66.43,139217
bloodseeker,1.87,61.74,267060
zeus,1.69,65.48,174870
tinker,1.60,58.69,247615
spirit-breaker,1.59,63.58,202810
magnus,1.50,57.77,109930
sand-king,1.49,60.54,179967
legion-commander,1.43,60.10,508292
rubick,1.03,56.93,104107
troll-warlord,0.89,60.34,134245
techies,0.78,56.57,50557
tusk,0.75,52.63,59886
ogre-magi,0.74,64.58,118612
kunkka,0.72,58.66,209003
nyx-assassin,0.72,60.65,143369
viper,0.67,59.51,131945
tiny,0.67,55.63,135991
phantom-assassin,0.66,62.76,904885
drow-ranger,0.66,61.80,350940
mirana,0.58,62.37,348325
leshrac,0.55,56.19,28832
luna,0.53,64.98,192309
keeper-of-the-light,0.52,60.64,58585
arc-warden,0.51,53.97,38673
slark,0.37,61.21,522202
templar-assassin,0.36,55.67,105512
clockwerk,0.36,60.73,77459
witch-doctor,0.35,60.30,91165
earthshaker,0.30,60.29,144166
slardar,0.23,61.41,204413
shadow-fiend,0.21,57.98,207103
clinkz,0.21,55.98,138098
riki,0.16,64.33,320776
puck,0.09,54.32,92253
lina,0.08,54.61,115170
shadow-shaman,0.03,62.74,89574
windranger,0.03,55.40,205909
io,0.01,47.15,17647
invoker,-0.00,56.89,457250
disruptor,-0.03,61.07,65469
ursa,-0.05,64.30,225204
vengeful-spirit,-0.10,62.32,98324
timbersaw,-0.15,58.91,227677
pugna,-0.19,56.45,49973
silencer,-0.21,63.47,128152
gyrocopter,-0.22,54.66,61615
ancient-apparition,-0.22,60.51,63106
necrophos,-0.23,64.55,170628
skywrath-mage,-0.23,56.77,65566
dragon-knight,-0.28,59.40,97874
venomancer,-0.31,61.39,75173
bounty-hunter,-0.43,56.07,191638
razor,-0.48,55.57,107859
queen-of-pain,-0.64,52.04,108588
faceless-void,-0.65,57.36,231363
dazzle,-0.67,61.40,80334
natures-prophet,-0.72,51.06,110795
alchemist,-0.78,58.52,216206
bane,-0.86,55.55,58222
centaur-warrunner,-0.87,64.55,110502
lion,-0.87,57.54,159836
jakiro,-0.90,62.64,53191
spectre,-0.98,64.22,165445
doom,-1.06,53.07,52182
underlord,-1.06,63.66,72101
death-prophet,-1.10,56.34,71992
lich,-1.12,63.77,68584
night-stalker,-1.12,59.45,87938
ember-spirit,-1.16,51.14,100441
bristleback,-1.17,58.10,165130
meepo,-1.24,57.07,88803
chen,-1.29,51.46,11416
earth-spirit,-1.38,51.44,27631
batrider,-1.40,54.43,46603
enigma,-1.42,61.13,69028
weaver,-1.71,58.30,159643
warlock,-1.78,64.15,56703
chaos-knight,-1.88,59.29,95597
winter-wyvern,-1.90,55.17,37614
medusa,-1.98,60.59,140951
undying,-2.00,59.52,58688
shadow-demon,-2.05,54.98,44043
beastmaster,-2.08,55.47,30985
enchantress,-2.10,48.98,44450
treant-protector,-2.15,62.04,41048
storm-spirit,-2.24,58.05,244492
dark-seer,-2.48,58.12,46415
anti-mage,-2.50,55.93,374911
lone-druid,-2.51,48.80,28486
terrorblade,-2.66,57.69,67797
phantom-lancer,-2.67,54.26,108015
wraith-king,-2.73,63.85,262784
morphling,-2.85,56.79,240826
tidehunter,-2.86,58.90,101841
elder-titan,-2.90,62.49,40956
visage,-3.00,53.03,14707
lycan,-3.09,54.79,40950
lifestealer,-3.12,57.18,204898
brewmaster,-3.19,55.86,29155
naga-siren,-3.20,54.52,40886
phoenix,-3.26,59.49,51223
juggernaut,-3.30,58.17,430350
abaddon,-3.54,63.35,84361
oracle,-4.20,50.68,37063
broodmother,-5.84,46.82,34719
