hero,para,rate,matches
omniknight,7.60,35.51,88840
techies,7.18,50.10,19706
tidehunter,6.52,44.92,39145
dark-seer,6.09,45.86,26424
visage,6.04,51.13,8990
elder-titan,5.96,40.64,21655
io,5.06,58.56,10426
treant-protector,4.92,41.27,21388
legion-commander,4.89,45.71,134407
disruptor,4.34,43.52,37425
ancient-apparition,4.09,43.89,40178
batrider,3.78,49.50,23788
lich,3.23,39.44,34665
storm-spirit,3.23,44.86,70897
abaddon,2.94,38.08,32735
venomancer,2.72,42.32,32891
wraith-king,2.62,37.99,66525
jakiro,2.61,40.57,26894
warlock,2.57,38.33,27120
necrophos,2.37,38.90,66146
ogre-magi,2.22,39.47,59144
crystal-maiden,2.10,38.48,65176
slardar,2.07,42.39,62285
arc-warden,1.92,50.15,16709
zeus,1.88,39.04,57100
skywrath-mage,1.87,46.82,32235
silencer,1.63,39.76,53171
underlord,1.59,38.98,29982
mirana,1.53,41.39,113415
ember-spirit,1.34,51.85,29183
winter-wyvern,1.23,47.21,21503
brewmaster,1.00,45.61,12459
morphling,1.00,44.83,67027
phoenix,0.99,41.70,21729
centaur-warrunner,0.99,37.94,35997
dragon-knight,0.62,43.53,28470
riki,0.30,38.60,95574
ursa,0.25,38.47,63526
keeper-of-the-light,0.19,42.57,31925
pudge,0.18,40.01,183428
pugna,0.14,46.38,23408
shadow-shaman,0.13,40.08,40622
lifestealer,0.13,43.87,59297
lion,0.10,44.85,81618
slark,0.10,41.86,128276
spectre,-0.09,37.80,44624
clockwerk,-0.17,42.23,28176
leshrac,-0.47,46.77,14009
night-stalker,-0.49,42.48,28978
queen-of-pain,-0.51,50.27,34494
witch-doctor,-0.55,42.50,45983
chen,-0.57,50.48,5921
vengeful-spirit,-0.66,40.12,45393
axe,-0.67,39.95,108265
dazzle,-0.76,40.66,45779
earthshaker,-0.77,42.38,55566
tiny,-0.78,47.25,42368
spirit-breaker,-0.80,39.86,64359
naga-siren,-0.81,46.18,16184
magnus,-0.86,45.56,37703
timbersaw,-0.86,43.46,64893
phantom-assassin,-0.91,40.04,175450
sven,-0.92,37.99,89174
sand-king,-0.93,42.77,65527
medusa,-1.01,40.55,37259
terrorblade,-1.04,43.11,22635
broodmother,-1.07,52.61,14156
enchantress,-1.11,52.29,18161
enigma,-1.18,40.28,27260
bristleback,-1.28,43.49,43879
juggernaut,-1.33,42.09,123983
weaver,-1.34,42.94,45373
tinker,-1.38,44.47,71038
meepo,-1.44,44.41,24897
nyx-assassin,-1.46,41.98,55029
rubick,-1.56,45.80,50245
bounty-hunter,-1.61,45.82,73013
gyrocopter,-1.65,47.32,21156
lone-druid,-1.67,51.96,10252
earth-spirit,-1.68,49.89,14263
windranger,-1.68,46.70,60569
troll-warlord,-1.74,42.27,33319
lina,-1.79,47.46,43216
invoker,-1.79,45.15,129566
sniper,-1.93,40.38,109403
alchemist,-1.98,42.99,55554
huskar,-2.03,45.51,53852
puck,-2.08,47.61,28753
shadow-fiend,-2.15,44.02,54159
kunkka,-2.16,43.65,75322
bloodseeker,-2.20,41.28,76949
shadow-demon,-2.23,45.70,27840
undying,-2.29,41.10,24721
beastmaster,-2.56,45.05,13066
chaos-knight,-2.80,41.19,26773
luna,-3.42,36.77,58362
viper,-3.48,42.20,38335
phantom-lancer,-3.64,45.42,30679
lycan,-3.72,44.61,15585
doom,-3.78,47.40,19670
bane,-3.87,45.04,30801
tusk,-3.91,48.68,20265
faceless-void,-4.13,43.25,77229
drow-ranger,-4.49,39.53,97817
anti-mage,-4.78,43.32,95192
natures-prophet,-4.85,48.97,41988
clinkz,-5.13,44.61,43783
outworld-devourer,-5.78,40.13,60382
templar-assassin,-5.86,44.64,29156
razor,-6.08,44.19,35387
death-prophet,-6.60,42.87,25752
